"ranking_date","player_id","player_name","atp_rank","atp_points","atp_points_change","atp_rank_change","country","age"
"2026-07-27","206173","Jannik Sinner","1","13450","0.0","0.0","ITA","24"
"2026-07-27","100644","Alexander Zverev","2","8480","0.0","0.0","GER","29"
"2026-07-27","207989","Carlos Alcaraz","3","8160","0.0","0.0","ESP","23"
"2026-07-27","","Felix Auger-Aliassime","4","4740","0.0","0.0","",""
"2026-07-27","104925","Novak Djokovic","5","3760","0.0","2.0","SRB","39"
"2026-07-27","200282","Alex De Minaur","6","3660","-450.0","-1.0","AUS","27"
"2026-07-27","106421","Daniil Medvedev","7","3620","-50.0","1.0","RUS","30"
"2026-07-27","210097","Ben Shelton","8","3580","-190.0","-2.0","USA","23"
"2026-07-27","207925","Flavio Cobolli","9","3420","-40.0","0.0","ITA","24"
"2026-07-27","126203","Taylor Fritz","10","3300","-65.0","0.0","USA","28"
"2026-07-27","122330","Alexander Bublik","11","2525","-85.0","0.0","KAZ","29"
"2026-07-27","208103","Jiri Lehecka","12","2470","-40.0","0.0","CZE","24"
"2026-07-27","134770","Casper Ruud","13","2435","0.0","0.0","NOR","27"
"2026-07-27","126094","Andrey Rublev","14","2420","40.0","0.0","RUS","28"
"2026-07-27","207518","Lorenzo Musetti","15","2315","0.0","0.0","ITA","24"
"2026-07-27","210530","Learner Tien","16","2245","-25.0","0.0","USA","20"
"2026-07-27","210084","Jakub Mensik","17","2205","0.0","1.0","CZE","20"
"2026-07-27","200473","Valentin Vacherot","18","2188","0.0","1.0","MON","27"
"2026-07-27","126207","Frances Tiafoe","19","2180","-50.0","-2.0","USA","28"
"2026-07-27","202103","Francisco Cerundolo","20","2060","0.0","2.0","ARG","27"
"2026-07-27","126205","Tommy Paul","21","2025","50.0","3.0","USA","29"
"2026-07-27","209950","Arthur Fils","22","1990","0.0","1.0","FRA","22"
"2026-07-27","209260","Luciano Darderi","23","1975","-150.0","-2.0","ITA","24"
"2026-07-27","212588","Rafael Jodar","24","1927","0.0","1.0","ESP","19"
"2026-07-27","200221","Alejandro Davidovich Fokina","25","1880","-280.0","-5.0","ESP","27"
"2026-07-27","111575","Karen Khachanov","26","1780","0.0","0.0","RUS","30"
"2026-07-27","211663","Joao Fonseca","27","1710","0.0","1.0","BRA","19"
"2026-07-27","126239","Arthur Rinderknech","28","1633","-90.0","-1.0","FRA","31"
"2026-07-27","200005","Ugo Humbert","29","1575","0.0","0.0","FRA","28"
"2026-07-27","126214","Alejandro Tabilo","30","1558","50.0","0.0","CHI","29"
"2026-07-27","144869","Tomas Martin Etcheverry","31","1510","50.0","0.0","ARG","27"
"2026-07-27","210696","Alexander Blockx","32","1376","158.0","6.0","BEL","21"
"2026-07-27","206909","Brandon Nakashima","33","1360","-75.0","-1.0","USA","24"
"2026-07-27","209860","Ignacio Buse","34","1350","38.0","1.0","PER","22"
"2026-07-27","208286","Matteo Arnaldi","35","1349","-50.0","-2.0","ITA","25"
"2026-07-27","200267","Zizou Bergs","36","1340","0.0","-2.0","BEL","27"
"2026-07-27","209259","Arthur Fery","37","1285","-12.0","-1.0","GBR","24"
"2026-07-27","209920","Raphael Collignon","38","1234","0.0","-1.0","BEL","24"
"2026-07-27","111815","Cameron Norrie","39","1165","-40.0","0.0","GBR","30"
"2026-07-27","210506","Alex Michelsen","40","1165","115.0","4.0","USA","21"
"2026-07-27","126610","Matteo Berrettini","41","1075","0.0","1.0","ITA","30"
"2026-07-27","","Jan-Lennard Struff","42","1066","-38.0","-1.0","",""
"2026-07-27","144719","Jaume Munar","43","1050","-25.0","0.0","ESP","29"
"2026-07-27","208363","Mariano Navone","44","1030","25.0","3.0","ARG","25"
"2026-07-27","105870","Yannick Hanfmann","45","1011","37.0","7.0","GER","34"
"2026-07-27","210319","Ethan Quinn","46","1009","-12.0","-1.0","USA","22"
"2026-07-27","105173","Adrian Mannarino","47","1005","0.0","-1.0","FRA","38"
"2026-07-27","209414","Luca Van Assche","48","998","243.0","30.0","FRA","22"
"2026-07-27","132686","Nuno Borges","49","995","0.0","-1.0","POR","29"
"2026-07-27","207678","Juan Manuel Cerundolo","50","989","0.0","0.0","ARG","24"
"2026-07-27","126774","Stefanos Tsitsipas","51","980","0.0","0.0","GRE","27"
"2026-07-27","111460","Quentin Halys","52","980","237.0","31.0","FRA","29"
"2026-07-27","202104","Sebastian Baez","53","975","25.0","3.0","ARG","25"
"2026-07-27","207830","Tomas Machac","54","970","0.0","-1.0","CZE","25"
"2026-07-27","206681","Fabian Marozsan","55","970","0.0","-1.0","HUN","26"
"2026-07-27","209279","Terence Atmane","56","967","-25.0","-7.0","FRA","24"
"2026-07-27","144895","Corentin Moutet","57","965","-158.0","-17.0","FRA","27"
"2026-07-27","208882","Roman Andres Burruchaga","58","962","37.0","2.0","ARG","24"
"2026-07-27","200624","Sebastian Korda","59","950","50.0","5.0","USA","26"
"2026-07-27","200175","Miomir Kecmanovic","60","930","0.0","-2.0","SRB","26"
"2026-07-27","","Daniel Merida","61","925","0.0","-2.0","",""
"2026-07-27","127157","Daniel Altmaier","62","924","0.0","-1.0","GER","27"
"2026-07-27","211776","Martin Landaluce","63","920","0.0","-1.0","ESP","20"
"2026-07-27","202058","Thiago Agustin Tirante","64","919","-17.0","-7.0","ARG","25"
"2026-07-27","209226","Adolfo Daniel Vallejo","65","918","0.0","-2.0","PAR","22"
"2026-07-27","105807","Pablo Carreno Busta","66","905","9.0","-1.0","ESP","35"
"2026-07-27","134868","Tallon Griekspoor","67","895","0.0","-1.0","NED","30"
"2026-07-27","133430","Denis Shapovalov","68","890","0.0","-1.0","CAN","27"
"2026-07-27","122298","Botic Van De Zandschulp","69","882","-87.0","-14.0","NED","30"
"2026-07-27","200240","Vit Kopriva","70","868","-13.0","-2.0","CZE","29"
"2026-07-27","128034","Hubert Hurkacz","71","865","0.0","-1.0","POL","29"
"2026-07-27","111794","Kamil Majchrzak","72","857","0.0","-1.0","POL","30"
"2026-07-27","209098","Hamad Medjedovic","73","844","0.0","-1.0","SRB","23"
"2026-07-27","144684","Alex Molcan","74","793","46.0","7.0","SVK","28"
"2026-07-27","200116","Camilo Ugo Carabelli","75","790","-90.0","-6.0","ARG","27"
"2026-07-27","208260","Zachary Svajda","76","781","-41.0","-3.0","USA","23"
