rank,feature,importance
1,ELO_SURFACE_DIFF,0.19513474
2,ELO_DIFF,0.04898427
3,WIN_LAST_50_DIFF,0.040576592
4,WIN_LAST_100_DIFF,0.029893601
5,WIN_LAST_25_DIFF,0.028973531
6,DIFF_N_GAMES,0.027104259
7,WIN_LAST_10_DIFF,0.020624971
8,ATP_POINT_DIFF,0.01818543
9,ELO_GRAD_35_DIFF,0.018096017
10,ELO_GRAD_20_DIFF,0.017761337
11,ELO_GRAD_50_DIFF,0.01593427
12,ELO_GRAD_100_DIFF,0.015221234
13,ATP_RANK_DIFF,0.014762616
14,ELO_GRAD_250_DIFF,0.013352697
15,WIN_LAST_5_DIFF,0.013292929
16,ELO_GRAD_10_DIFF,0.011464835
17,WIN_LAST_3_DIFF,0.011300796
18,P_2ND_WON_LAST_100_DIFF,0.010066168
19,P_BP_SAVED_LAST_200_DIFF,0.009950604
20,P_2ND_WON_LAST_2000_DIFF,0.009655336
21,AGE_DIFF,0.009644248
22,H2H_SURFACE_DIFF,0.009515226
23,H2H_DIFF,0.009345252
24,DRAW_SIZE,0.009160635
25,P_BP_SAVED_LAST_2000_DIFF,0.009058503
26,P_BP_SAVED_LAST_300_DIFF,0.008983549
27,P_1ST_WON_LAST_200_DIFF,0.008913169
28,P_BP_SAVED_LAST_100_DIFF,0.008880162
29,P_2ND_WON_LAST_300_DIFF,0.008794412
30,ELO_GRAD_5_DIFF,0.0085339695
31,P_1ST_WON_LAST_300_DIFF,0.00834026
32,P_2ND_WON_LAST_200_DIFF,0.008223997
33,P_1ST_WON_LAST_2000_DIFF,0.008024253
34,P_1ST_IN_LAST_20_DIFF,0.007991121
35,P_1ST_WON_LAST_50_DIFF,0.007946913
36,P_2ND_WON_LAST_50_DIFF,0.007929682
37,P_1ST_IN_LAST_2000_DIFF,0.007840138
38,P_ACE_LAST_200_DIFF,0.0076733287
39,P_1ST_IN_LAST_100_DIFF,0.0076383585
40,P_2ND_WON_LAST_10_DIFF,0.007633443
41,P_1ST_IN_LAST_50_DIFF,0.0075686495
42,P_2ND_WON_LAST_20_DIFF,0.0075466176
43,P_1ST_WON_LAST_100_DIFF,0.0075385245
44,P_ACE_LAST_300_DIFF,0.007503148
45,P_1ST_IN_LAST_300_DIFF,0.0074212593
46,P_1ST_WON_LAST_3_DIFF,0.007396751
47,P_ACE_LAST_100_DIFF,0.007351527
48,P_ACE_LAST_50_DIFF,0.0073475814
49,P_ACE_LAST_2000_DIFF,0.0073391832
50,P_BP_SAVED_LAST_50_DIFF,0.0073387604
51,P_1ST_WON_LAST_10_DIFF,0.007284299
52,P_ACE_LAST_5_DIFF,0.0071941745
53,P_ACE_LAST_10_DIFF,0.0071598357
54,P_ACE_LAST_3_DIFF,0.00709563
55,P_ACE_LAST_20_DIFF,0.0070509166
56,P_1ST_WON_LAST_5_DIFF,0.0070420946
57,P_1ST_WON_LAST_20_DIFF,0.0070170206
58,P_DF_LAST_300_DIFF,0.0070120473
59,P_2ND_WON_LAST_3_DIFF,0.0069874586
60,P_1ST_IN_LAST_5_DIFF,0.0069822236
61,P_1ST_IN_LAST_200_DIFF,0.006959715
62,P_1ST_IN_LAST_10_DIFF,0.006931824
63,P_DF_LAST_20_DIFF,0.0068807974
64,P_1ST_IN_LAST_3_DIFF,0.006848919
65,P_DF_LAST_2000_DIFF,0.0068318835
66,P_DF_LAST_5_DIFF,0.0068170256
67,HEIGHT_DIFF,0.006794919
68,P_DF_LAST_200_DIFF,0.0067635034
69,P_DF_LAST_3_DIFF,0.006743546
70,P_DF_LAST_100_DIFF,0.0067079
71,P_DF_LAST_50_DIFF,0.0066678524
72,P_DF_LAST_10_DIFF,0.006665944
73,P_BP_SAVED_LAST_20_DIFF,0.006654846
74,P_BP_SAVED_LAST_5_DIFF,0.0065994062
75,P_BP_SAVED_LAST_3_DIFF,0.006575627
76,P_BP_SAVED_LAST_10_DIFF,0.006538296
77,P_2ND_WON_LAST_5_DIFF,0.0064334935
