"ranking_date","player_id","player_name","atp_rank","atp_points"
"20260525","206173","Jannik Sinner","1","14750"
"20260525","207989","Carlos Alcaraz","2","11960"
"20260525","100644","Alexander Zverev","3","5705"
"20260525","104925","Novak Djokovic","4","4460"
"20260525","210097","Ben Shelton","5","4070"
"20260525","200000","Felix Auger Aliassime","6","4050"
"20260525","200282","Alex De Minaur","7","3855"
"20260525","106421","Daniil Medvedev","8","3760"
"20260525","126203","Taylor Fritz","9","3720"
"20260525","122330","Alexander Bublik","10","3320"
"20260525","207518","Lorenzo Musetti","11","3115"
"20260525","208103","Jiri Lehecka","12","2665"
"20260525","126094","Andrey Rublev","13","2460"
"20260525","207925","Flavio Cobolli","14","2340"
"20260525","111575","Karen Khachanov","15","2320"
"20260525","134770","Casper Ruud","16","2275"
"20260525","209260","Luciano Darderi","17","2260"
"20260525","210530","Learner Tien","18","2180"
"20260525","200473","Valentin Vacherot","19","2103"
"20260525","209950","Arthur Fils","20","2040"
"20260525","126205","Tommy Paul","21","1945"
"20260525","126207","Frances Tiafoe","22","1905"
"20260525","200221","Alejandro Davidovich Fokina","23","1860"
"20260525","111815","Cameron Norrie","24","1785"
"20260525","126239","Arthur Rinderknech","25","1736"
"20260525","202103","Francisco Cerundolo","26","1570"
"20260525","210150","Jakub Mensik","27","1550"
"20260525","144869","Tomas Martin Etcheverry","28","1510"
"20260525","212588","Rafael Jodar","29","1461"
"20260525","211663","Joao Fonseca","30","1435"
"20260525","209860","Ignacio Buse","31","1412"
"20260525","200005","Ugo Humbert","32","1370"
"20260525","134868","Tallon Griekspoor","33","1340"
"20260525","144895","Corentin Moutet","34","1323"
"20260525","206909","Brandon Nakashima","35","1295"
"20260525","126214","Alejandro Tabilo","36","1278"
"20260525","210696","Alexander Blockx","37","1238"
"20260525","208363","Mariano Navone","38","1215"
"20260525","133430","Denis Shapovalov","39","1170"
"20260525","200267","Zizou Bergs","40","1150"
"20260525","144719","Jaume Munar","41","1145"
"20260525","210506","Alex Michelsen","42","1115"
"20260525","207830","Tomas Machac","43","1080"
"20260525","208029","Holger Rune","44","1060"
"20260525","105173","Adrian Mannarino","45","1037"
"20260525","105227","Marin Cilic","46","1010"
"20260525","200624","Sebastian Korda","47","1000"
"20260525","200175","Miomir Kecmanovic","48","980"
"20260525","209113","Gabriel Diallo","49","975"
"20260525","210319","Ethan Quinn","50","974"
"20260525","132686","Nuno Borges","51","970"
"20260525","209279","Terence Atmane","52","938"
"20260525","105870","Yannick Hanfmann","53","936"
"20260525","206681","Fabian Marozsan","54","935"
"20260525","122298","Botic Van De Zandschulp","55","935"
"20260525","207678","Juan Manuel Cerundolo","56","935"
"20260525","127157","Daniel Altmaier","57","930"
"20260525","209098","Hamad Medjedovic","58","894"
"20260525","200116","Camilo Ugo Carabelli","59","890"
"20260525","202058","Thiago Agustin Tirante","60","887"
"20260525","200615","Alexei Popyrin","61","870"
"20260525","209920","Raphael Collignon","62","866"
"20260525","202385","Jenson Brooksby","63","865"
"20260525","202104","Sebastian Baez","64","860"
"20260525","105916","Marton Fucsovics","65","859"
"20260525","200240","Vit Kopriva","66","856"
"20260525","206499","Aleksandar Kovacevic","67","837"
"20260525","208882","Roman Andres Burruchaga","68","833"
"20260525","212021","Martin Landaluce","69","827"
"20260525","132283","Lorenzo Sonego","70","815"
"20260525","209226","Adolfo Daniel Vallejo","71","786"
"20260525","209976","Dino Prizmic","72","785"
"20260525","208233","Mattia Bellucci","73","777"
"20260525","208316","Valentin Royer","74","773"
"20260525","207733","Jack Draper","75","760"
"20260525","124187","Reilly Opelka","76","758"
"20260525","209070","Arthur Cazaux","77","757"
"20260525","111794","Kamil Majchrzak","78","747"
"20260525","126774","Stefanos Tsitsipas","79","740"
"20260525","105526","Jan Lennard Struff","80","739"
"20260525","105477","Marco Trungelliti","81","731"
"20260525","105902","James Duckworth","82","722"
"20260525","208659","Giovanni Mpetshi Perricard","83","710"
"20260525","106218","Marcos Giron","84","705"
"20260525","208260","Zachary Svajda","85","696"
"20260525","210017","Daniel Merida Aguilar","86","696"
"20260525","106000","Damir Dzumhur","87","694"
"20260525","207686","Alexander Shevchenko","88","689"
"20260525","105807","Pablo Carreno Busta","89","685"
"20260525","111460","Quentin Halys","90","678"
"20260525","208118","Eliot Spizzirri","91","660"
"20260525","200059","Yibing Wu","92","655"
"20260525","200516","Patrick Kypson","93","649"
"20260525","207182","Emilio Nava","94","631"
"20260525","126127","Benjamin Bonzi","95","629"
"20260525","126846","Aleksandar Vukic","96","626"
"20260525","200443","Adam Walton","97","614"
"20260525","208014","Rinky Hijikata","98","612"
"20260525","128034","Hubert Hurkacz","99","600"
"20260525","209414","Luca Van Assche","100","599"
"20260525","123828","Jan Choinski","101","599"
"20260525","207681","Francisco Comesana","102","598"
"20260525","200647","Sho Shimabukuro","103","596"
"20260525","208286","Matteo Arnaldi","104","586"
"20260525","126610","Matteo Berrettini","105","585"
"20260525","207411","Jesper De Jong","106","580"
"20260525","208169","Titouan Droguet","107","578"
"20260525","207494","Dalibor Svrcina","108","577"
"20260525","209409","Coleman Wong","109","574"
"20260525","144684","Alex Molcan","110","571"
"20260525","105932","Nikoloz Basilashvili","111","569"
"20260525","124116","Sebastian Ofner","112","558"
"20260525","104527","Stan Wawrinka","113","553"
"20260525","106426","Cristian Garin","114","552"
"20260525","210262","Jaime Faria","115","548"
"20260525","102093","Martin Damm","116","547"
"20260525","105138","Roberto Bautista Agut","117","542"
"20260525","200384","Hugo Gaston","118","533"
"20260525","210012","Henrique Rocha","119","528"
"20260525","209857","Leandro Riedi","120","525"
"20260525","149282","Nicolai Budkov Kjaer","121","520"
"20260525","208010","Pablo Llamas Ruiz","122","515"
"20260525","209262","Tristan Schoolkate","123","512"
"20260525","126504","Andrea Pellegrino","124","507"
"20260525","207985","Jacob Fearnley","125","505"
"20260525","111456","Mackenzie Mcdonald","126","501"
"20260525","124186","Alexandre Muller","127","494"
"20260525","208353","Francesco Maestrelli","128","490"
"20260525","209209","Filip Misolic","129","489"
"20260525","208278","Shintaro Mochizuki","130","480"
"20260525","208013","Dane Sweeny","131","468"
"20260525","209957","Jack Pinnington Jones","132","468"
"20260525","209147","Vilius Gaubas","133","464"
"20260525","202261","Otto Virtanen","134","462"
"20260525","210338","Arthur Gea","135","460"
"20260525","144642","Tomas Barrios Vera","136","450"
"20260525","105583","Dusan Lajovic","137","446"
"20260525","105882","Stefano Travaglia","138","443"
"20260525","121411","Moez Echargui","139","441"
"20260525","124079","Pedro Martinez","140","431"
"20260525","126128","Roman Safiullin","141","430"
"20260525","209284","Elmer Moller","142","426"
"20260525","144750","Lloyd Harris","143","423"
"20260525","106198","Hugo Dellien","144","421"
"20260525","126535","Carlos Taberner","145","420"
"20260525","210116","Michael Zheng","146","414"
