"tournament_id","tournament_slug","tournament_name","year","match_date","surface","round","round_display","round_order","id_num","draw_match_number","player_1_id","player_1_name","player_2_id","player_2_name","winner_id","winner_name","score","match_id","has_match_statistics"
"2026-8998","adelaide-australia-2026-hard","Adelaide Australia","2026","2026-01-12","Hard","Round of 32","Round of 32","30","MS016","16.0","207830","Tomas Machac","105902","James Duckworth","207830","Tomas Machac","6-3 6-3","2026-01-12-adelaide-australia-2026-hard-round-of-32-207830-105902","true"
"2026-8998","adelaide-australia-2026-hard","Adelaide Australia","2026","2026-01-12","Hard","Round of 32","Round of 32","30","MS017","17.0","111460","Quentin Halys","207985","Jacob Fearnley","111460","Quentin Halys","6-3 6-4","2026-01-12-adelaide-australia-2026-hard-round-of-32-111460-207985","true"
"2026-8998","adelaide-australia-2026-hard","Adelaide Australia","2026","2026-01-12","Hard","Round of 32","Round of 32","30","MS018","18.0","144719","Jaume Munar","127157","Daniel Altmaier","144719","Jaume Munar","6-3 6-0","2026-01-12-adelaide-australia-2026-hard-round-of-32-144719-127157","true"
"2026-8998","adelaide-australia-2026-hard","Adelaide Australia","2026","2026-01-12","Hard","Round of 32","Round of 32","30","MS021","21.0","124187","Reilly Opelka","200615","Alexei Popyrin","124187","Reilly Opelka","6-3 7-6(6)","2026-01-12-adelaide-australia-2026-hard-round-of-32-124187-200615","true"
"2026-8998","adelaide-australia-2026-hard","Adelaide Australia","2026","2026-01-12","Hard","Round of 32","Round of 32","30","MS022","22.0","126846","Aleksandar Vukic","126774","Stefanos Tsitsipas","126846","Aleksandar Vukic","7-6(3) 7-6(5)","2026-01-12-adelaide-australia-2026-hard-round-of-32-126846-126774","true"
"2026-8998","adelaide-australia-2026-hard","Adelaide Australia","2026","2026-01-12","Hard","Round of 32","Round of 32","30","MS023","23.0","131934","Andrea Vavassori","209113","Gabriel Diallo","131934","Andrea Vavassori","6-3 7-6(4)","2026-01-12-adelaide-australia-2026-hard-round-of-32-131934-209113","true"
"2026-8998","adelaide-australia-2026-hard","Adelaide Australia","2026","2026-01-12","Hard","Round of 32","Round of 32","30","MS024","24.0","200005","Ugo Humbert","209279","Terence Atmane","200005","Ugo Humbert","6-3 7-6(3)","2026-01-12-adelaide-australia-2026-hard-round-of-32-200005-209279","true"
"2026-8998","adelaide-australia-2026-hard","Adelaide Australia","2026","2026-01-12","Hard","Round of 32","Round of 32","30","MS026","26.0","207686","Alexander Shevchenko","106000","Damir Dzumhur","207686","Alexander Shevchenko","4-6 6-4 7-5","2026-01-12-adelaide-australia-2026-hard-round-of-32-207686-106000","true"
"2026-8998","adelaide-australia-2026-hard","Adelaide Australia","2026","2026-01-12","Hard","Round of 32","Round of 32","30","MS027","27.0","105916","Marton Fucsovics","210319","Ethan Quinn","105916","Marton Fucsovics","6-4 6-4","2026-01-12-adelaide-australia-2026-hard-round-of-32-105916-210319","true"
"2026-8998","adelaide-australia-2026-hard","Adelaide Australia","2026","2026-01-12","Hard","Round of 32","Round of 32","30","MS029","29.0","208014","Rinky Hijikata","209262","Tristan Schoolkate","208014","Rinky Hijikata","6-4 6-4","2026-01-12-adelaide-australia-2026-hard-round-of-32-208014-209262","true"
"2026-8998","adelaide-australia-2026-hard","Adelaide Australia","2026","2026-01-12","Hard","Round of 32","Round of 32","30","MS030","30.0","200473","Valentin Vacherot","200175","Miomir Kecmanovic","200473","Valentin Vacherot","7-6(5) 6-4","2026-01-12-adelaide-australia-2026-hard-round-of-32-200473-200175","true"
"2026-8998","adelaide-australia-2026-hard","Adelaide Australia","2026","2026-01-12","Hard","Round of 32","Round of 32","30","MS031","31.0","106423","Thanasi Kokkinakis","200624","Sebastian Korda","106423","Thanasi Kokkinakis","3-6 6-3 7-6(3)","2026-01-12-adelaide-australia-2026-hard-round-of-32-106423-200624","true"
"2026-8998","adelaide-australia-2026-hard","Adelaide Australia","2026","2026-01-12","Hard","Round of 16","Round of 16","40","MS008","8.0","207830","Tomas Machac","111460","Quentin Halys","207830","Tomas Machac","6-4 6-2","2026-01-12-adelaide-australia-2026-hard-round-of-16-207830-111460","true"
"2026-8998","adelaide-australia-2026-hard","Adelaide Australia","2026","2026-01-12","Hard","Round of 16","Round of 16","40","MS009","9.0","144719","Jaume Munar","202103","Francisco Cerundolo","144719","Jaume Munar","3-6 7-5 6-4","2026-01-12-adelaide-australia-2026-hard-round-of-16-144719-202103","true"
"2026-8998","adelaide-australia-2026-hard","Adelaide Australia","2026","2026-01-12","Hard","Round of 16","Round of 16","40","MS010","10.0","126205","Tommy Paul","124187","Reilly Opelka","126205","Tommy Paul","6-4 6-4","2026-01-12-adelaide-australia-2026-hard-round-of-16-126205-124187","true"
"2026-8998","adelaide-australia-2026-hard","Adelaide Australia","2026","2026-01-12","Hard","Round of 16","Round of 16","40","MS011","11.0","126846","Aleksandar Vukic","131934","Andrea Vavassori","126846","Aleksandar Vukic","6-2 7-6(5)","2026-01-12-adelaide-australia-2026-hard-round-of-16-126846-131934","true"
"2026-8998","adelaide-australia-2026-hard","Adelaide Australia","2026","2026-01-12","Hard","Round of 16","Round of 16","40","MS012","12.0","200005","Ugo Humbert","134868","Tallon Griekspoor","200005","Ugo Humbert","6-4 6-1","2026-01-12-adelaide-australia-2026-hard-round-of-16-200005-134868","true"
"2026-8998","adelaide-australia-2026-hard","Adelaide Australia","2026","2026-01-12","Hard","Round of 16","Round of 16","40","MS013","13.0","207686","Alexander Shevchenko","105916","Marton Fucsovics","207686","Alexander Shevchenko","6-3 7-6(6)","2026-01-12-adelaide-australia-2026-hard-round-of-16-207686-105916","true"
"2026-8998","adelaide-australia-2026-hard","Adelaide Australia","2026","2026-01-12","Hard","Round of 16","Round of 16","40","MS014","14.0","200221","Alejandro Davidovich Fokina","208014","Rinky Hijikata","200221","Alejandro Davidovich Fokina","6-3 6-2","2026-01-12-adelaide-australia-2026-hard-round-of-16-200221-208014","true"
