"tournament_id","tournament_slug","tournament_name","year","match_date","surface","round","round_display","round_order","id_num","draw_match_number","player_1_id","player_1_name","player_2_id","player_2_name","winner_id","winner_name","score","match_id","has_match_statistics"
"2026-0301","auckland-new-zealand-2026-hard","Auckland New Zealand","2026","2026-01-12","Hard","Round of 32","Round of 32","30","MS017","17.0","209098","Hamad Medjedovic","206499","Aleksandar Kovacevic","209098","Hamad Medjedovic","6-4 3-6 7-6(2)","2026-01-12-auckland-new-zealand-2026-hard-round-of-32-209098-206499","true"
"2026-0301","auckland-new-zealand-2026-hard","Auckland New Zealand","2026","2026-01-12","Hard","Round of 32","Round of 32","30","MS018","18.0","208659","Giovanni Mpetshi Perricard","105138","Roberto Bautista Agut","208659","Giovanni Mpetshi Perricard","6-3 7-6(2)","2026-01-12-auckland-new-zealand-2026-hard-round-of-32-208659-105138","true"
"2026-0301","auckland-new-zealand-2026-hard","Auckland New Zealand","2026","2026-01-12","Hard","Round of 32","Round of 32","30","MS019","19.0","111815","Cameron Norrie","200384","Hugo Gaston","111815","Cameron Norrie","6-3 6-4","2026-01-12-auckland-new-zealand-2026-hard-round-of-32-111815-200384","true"
"2026-0301","auckland-new-zealand-2026-hard","Auckland New Zealand","2026","2026-01-12","Hard","Round of 32","Round of 32","30","MS020","20.0","206681","Fabian Marozsan","104792","Gael Monfils","206681","Fabian Marozsan","5-7 6-3 6-4","2026-01-12-auckland-new-zealand-2026-hard-round-of-32-206681-104792","true"
"2026-0301","auckland-new-zealand-2026-hard","Auckland New Zealand","2026","2026-01-12","Hard","Round of 32","Round of 32","30","MS022","22.0","208118","Eliot Spizzirri","105173","Adrian Mannarino","208118","Eliot Spizzirri","6-4 6-3","2026-01-12-auckland-new-zealand-2026-hard-round-of-32-208118-105173","true"
"2026-0301","auckland-new-zealand-2026-hard","Auckland New Zealand","2026","2026-01-12","Hard","Round of 32","Round of 32","30","MS023","23.0","132686","Nuno Borges","144869","Tomas Martin Etcheverry","132686","Nuno Borges","7-5 3-6 7-6(2)","2026-01-12-auckland-new-zealand-2026-hard-round-of-32-132686-144869","true"
"2026-0301","auckland-new-zealand-2026-hard","Auckland New Zealand","2026","2026-01-12","Hard","Round of 32","Round of 32","30","MS024","24.0","202104","Sebastian Baez","207182","Emilio Nava","202104","Sebastian Baez","4-6 7-5 6-3","2026-01-12-auckland-new-zealand-2026-hard-round-of-32-202104-207182","true"
"2026-0301","auckland-new-zealand-2026-hard","Auckland New Zealand","2026","2026-01-12","Hard","Round of 32","Round of 32","30","MS025","25.0","202385","Jenson Brooksby","211767","James Watt","202385","Jenson Brooksby","6-4 6-3","2026-01-12-auckland-new-zealand-2026-hard-round-of-32-202385-211767","true"
"2026-0301","auckland-new-zealand-2026-hard","Auckland New Zealand","2026","2026-01-12","Hard","Round of 32","Round of 32","30","MS027","27.0","207681","Francisco Comesana","208316","Valentin Royer","207681","Francisco Comesana","6-4 6-4","2026-01-12-auckland-new-zealand-2026-hard-round-of-32-207681-208316","true"
"2026-0301","auckland-new-zealand-2026-hard","Auckland New Zealand","2026","2026-01-12","Hard","Round of 32","Round of 32","30","MS028","28.0","106218","Marcos Giron","124186","Alexandre Muller","106218","Marcos Giron","6-2 6-2","2026-01-12-auckland-new-zealand-2026-hard-round-of-32-106218-124186","true"
"2026-0301","auckland-new-zealand-2026-hard","Auckland New Zealand","2026","2026-01-12","Hard","Round of 32","Round of 32","30","MS029","29.0","210506","Alex Michelsen","208363","Mariano Navone","210506","Alex Michelsen","2-6 6-2 7-5","2026-01-12-auckland-new-zealand-2026-hard-round-of-32-210506-208363","true"
"2026-0301","auckland-new-zealand-2026-hard","Auckland New Zealand","2026","2026-01-12","Hard","Round of 32","Round of 32","30","MS031","31.0","126214","Alejandro Tabilo","200116","Camilo Ugo Carabelli","126214","Alejandro Tabilo","6-4 6-2","2026-01-12-auckland-new-zealand-2026-hard-round-of-32-126214-200116","true"
"2026-0301","auckland-new-zealand-2026-hard","Auckland New Zealand","2026","2026-01-12","Hard","Round of 16","Round of 16","40","MS008","8.0","210150","Jakub Mensik","209098","Hamad Medjedovic","210150","Jakub Mensik","6-1 3-6 6-3","2026-01-12-auckland-new-zealand-2026-hard-round-of-16-210150-209098","true"
