"tournament_id","tournament_slug","tournament_name","year","match_date","surface","round","round_display","round_order","id_num","draw_match_number","player_1_id","player_1_name","player_2_id","player_2_name","winner_id","winner_name","score","match_id","has_match_statistics"
"2026-0580","australian-open-2026-hard","Australian Open","2026","2026-01-19","Hard","Round of 64","Round of 64","20","MS032","32.0","207989","Carlos Alcaraz","105870","Yannick Hanfmann","207989","Carlos Alcaraz","7-6(4) 6-3 6-2","2026-01-19-australian-open-2026-hard-round-of-64-207989-105870","true"
"2026-0580","australian-open-2026-hard","Australian Open","2026","2026-01-19","Hard","Round of 64","Round of 64","20","MS033","33.0","144895","Corentin Moutet","210116","Michael Zheng","144895","Corentin Moutet","3-6 6-1 6-3 2-0 RET","2026-01-19-australian-open-2026-hard-round-of-64-144895-210116","true"
"2026-0580","australian-open-2026-hard","Australian Open","2026","2026-01-19","Hard","Round of 64","Round of 64","20","MS034","34.0","126205","Tommy Paul","202058","Thiago Agustin Tirante","126205","Tommy Paul","6-3 6-4 6-2","2026-01-19-australian-open-2026-hard-round-of-64-126205-202058","true"
"2026-0580","australian-open-2026-hard","Australian Open","2026","2026-01-19","Hard","Round of 64","Round of 64","20","MS035","35.0","200221","Alejandro Davidovich Fokina","124187","Reilly Opelka","200221","Alejandro Davidovich Fokina","6-3 7-6(3) 5-7 4-6 6-4","2026-01-19-australian-open-2026-hard-round-of-64-200221-124187","true"
"2026-0580","australian-open-2026-hard","Australian Open","2026","2026-01-19","Hard","Round of 64","Round of 64","20","MS036","36.0","122330","Alexander Bublik","105916","Marton Fucsovics","122330","Alexander Bublik","7-5 6-4 7-5","2026-01-19-australian-open-2026-hard-round-of-64-122330-105916","true"
"2026-0580","australian-open-2026-hard","Australian Open","2026","2026-01-19","Hard","Round of 64","Round of 64","20","MS037","37.0","144869","Tomas Martin Etcheverry","209259","Arthur Fery","144869","Tomas Martin Etcheverry","7-6(4) 6-1 6-3","2026-01-19-australian-open-2026-hard-round-of-64-144869-209259","true"
"2026-0580","australian-open-2026-hard","Australian Open","2026","2026-01-19","Hard","Round of 64","Round of 64","20","MS038","38.0","126207","Frances Tiafoe","207681","Francisco Comesana","126207","Frances Tiafoe","6-4 6-3 4-6 6-2","2026-01-19-australian-open-2026-hard-round-of-64-126207-207681","true"
"2026-0580","australian-open-2026-hard","Australian Open","2026","2026-01-19","Hard","Round of 64","Round of 64","20","MS039","39.0","200282","Alex De Minaur","209098","Hamad Medjedovic","200282","Alex De Minaur","6-7(5) 6-2 6-2 6-1","2026-01-19-australian-open-2026-hard-round-of-64-200282-209098","true"
"2026-0580","australian-open-2026-hard","Australian Open","2026","2026-01-19","Hard","Round of 64","Round of 64","20","MS040","40.0","100644","Alexander Zverev","124186","Alexandre Muller","100644","Alexander Zverev","6-3 4-6 6-3 6-4","2026-01-19-australian-open-2026-hard-round-of-64-100644-124186","true"
"2026-0580","australian-open-2026-hard","Australian Open","2026","2026-01-19","Hard","Round of 64","Round of 64","20","MS041","41.0","111815","Cameron Norrie","207182","Emilio Nava","111815","Cameron Norrie","6-1 7-6(3) 4-6 7-6(5)","2026-01-19-australian-open-2026-hard-round-of-64-111815-207182","true"
"2026-0580","australian-open-2026-hard","Australian Open","2026","2026-01-19","Hard","Round of 64","Round of 64","20","MS042","42.0","202103","Francisco Cerundolo","106000","Damir Dzumhur","202103","Francisco Cerundolo","6-3 6-2 6-1","2026-01-19-australian-open-2026-hard-round-of-64-202103-106000","true"
"2026-0580","australian-open-2026-hard","Australian Open","2026","2026-01-19","Hard","Round of 64","Round of 64","20","MS043","43.0","126094","Andrey Rublev","210262","Jaime Faria","126094","Andrey Rublev","6-4 6-3 4-6 7-5","2026-01-19-australian-open-2026-hard-round-of-64-126094-210262","true"
"2026-0580","australian-open-2026-hard","Australian Open","2026","2026-01-19","Hard","Round of 64","Round of 64","20","MS044","44.0","106421","Daniil Medvedev","111460","Quentin Halys","106421","Daniil Medvedev","6-7(9) 6-3 6-4 6-2","2026-01-19-australian-open-2026-hard-round-of-64-106421-111460","true"
"2026-0580","australian-open-2026-hard","Australian Open","2026","2026-01-19","Hard","Round of 64","Round of 64","20","MS045","45.0","206681","Fabian Marozsan","111794","Kamil Majchrzak","206681","Fabian Marozsan","6-3 6-4 7-6(5)","2026-01-19-australian-open-2026-hard-round-of-64-206681-111794","true"
"2026-0580","australian-open-2026-hard","Australian Open","2026","2026-01-19","Hard","Round of 64","Round of 64","20","MS046","46.0","210530","Learner Tien","207686","Alexander Shevchenko","210530","Learner Tien","6-2 5-7 6-1 6-0","2026-01-19-australian-open-2026-hard-round-of-64-210530-207686","true"
