"tournament_id","tournament_slug","tournament_name","year","match_date","surface","round","round_display","round_order","id_num","draw_match_number","player_1_id","player_1_name","player_2_id","player_2_name","winner_id","winner_name","score","match_id","has_match_statistics"
"2026-0425","barcelona-spain-2026-clay","Barcelona Spain","2026","2026-04-13","Clay","Round of 32","Round of 32","30","MS016","16.0","209950","Arthur Fils","209279","Terence Atmane","209950","Arthur Fils","4-6 6-4 7-6(7)","2026-04-13-barcelona-spain-2026-clay-round-of-32-209950-209279","true"
"2026-0425","barcelona-spain-2026-clay","Barcelona Spain","2026","2026-04-13","Clay","Round of 32","Round of 32","30","MS017","17.0","206909","Brandon Nakashima","207678","Juan Manuel Cerundolo","206909","Brandon Nakashima","6-3 7-5","2026-04-13-barcelona-spain-2026-clay-round-of-32-206909-207678","true"
"2026-0425","barcelona-spain-2026-clay","Barcelona Spain","2026","2026-04-13","Clay","Round of 32","Round of 32","30","MS018","18.0","207518","Lorenzo Musetti","212021","Martin Landaluce","207518","Lorenzo Musetti","7-5 6-2","2026-04-13-barcelona-spain-2026-clay-round-of-32-207518-212021","true"
"2026-0425","barcelona-spain-2026-clay","Barcelona Spain","2026","2026-04-13","Clay","Round of 32","Round of 32","30","MS019","19.0","144895","Corentin Moutet","209860","Ignacio Buse","144895","Corentin Moutet","6-4 6-4","2026-04-13-barcelona-spain-2026-clay-round-of-32-144895-209860","true"
"2026-0425","barcelona-spain-2026-clay","Barcelona Spain","2026","2026-04-13","Clay","Round of 32","Round of 32","30","MS020","20.0","212588","Rafael Jodar","144719","Jaume Munar","212588","Rafael Jodar","6-1 6-2","2026-04-13-barcelona-spain-2026-clay-round-of-32-212588-144719","true"
"2026-0425","barcelona-spain-2026-clay","Barcelona Spain","2026","2026-04-13","Clay","Round of 32","Round of 32","30","MS021","21.0","200116","Camilo Ugo Carabelli","111575","Karen Khachanov","200116","Camilo Ugo Carabelli","6-3 6-4","2026-04-13-barcelona-spain-2026-clay-round-of-32-200116-111575","true"
"2026-0425","barcelona-spain-2026-clay","Barcelona Spain","2026","2026-04-13","Clay","Round of 32","Round of 32","30","MS022","22.0","111815","Cameron Norrie","104527","Stan Wawrinka","111815","Cameron Norrie","6-4 6-7(5) 6-4","2026-04-13-barcelona-spain-2026-clay-round-of-32-111815-104527","true"
"2026-0425","barcelona-spain-2026-clay","Barcelona Spain","2026","2026-04-13","Clay","Round of 32","Round of 32","30","MS023","23.0","210319","Ethan Quinn","124187","Reilly Opelka","210319","Ethan Quinn","7-5 7-6(7)","2026-04-13-barcelona-spain-2026-clay-round-of-32-210319-124187","true"
"2026-0425","barcelona-spain-2026-clay","Barcelona Spain","2026","2026-04-13","Clay","Round of 32","Round of 32","30","MS024","24.0","126094","Andrey Rublev","208363","Mariano Navone","126094","Andrey Rublev","6-4 7-5","2026-04-13-barcelona-spain-2026-clay-round-of-32-126094-208363","true"
"2026-0425","barcelona-spain-2026-clay","Barcelona Spain","2026","2026-04-13","Clay","Round of 32","Round of 32","30","MS025","25.0","132283","Lorenzo Sonego","124079","Pedro Martinez","132283","Lorenzo Sonego","6-2 2-6 6-4","2026-04-13-barcelona-spain-2026-clay-round-of-32-132283-124079","true"
