"tournament_id","tournament_slug","tournament_name","year","match_date","surface","round","round_display","round_order","id_num","draw_match_number","player_1_id","player_1_name","player_2_id","player_2_name","winner_id","winner_name","score","match_id","has_match_statistics"
"2026-0316","bastad-sweden-2026-clay","Bastad Sweden","2026","2026-07-13","Clay","Round of 32","Round of 32","30","MS017","17.0","126504","Andrea Pellegrino","149282","Nicolai Budkov Kjaer","126504","Andrea Pellegrino","6-3 6-2","2026-07-13-bastad-sweden-2026-clay-round-of-32-126504-149282","true"
"2026-0316","bastad-sweden-2026-clay","Bastad Sweden","2026","2026-07-13","Clay","Round of 32","Round of 32","30","MS018","18.0","207411","Jesper De Jong","209147","Vilius Gaubas","207411","Jesper De Jong","7-6(1) 7-5","2026-07-13-bastad-sweden-2026-clay-round-of-32-207411-209147","true"
"2026-0316","bastad-sweden-2026-clay","Bastad Sweden","2026","2026-07-13","Clay","Round of 32","Round of 32","30","MS019","19.0","202104","Sebastian Baez","211609","Max Dahlin","202104","Sebastian Baez","4-6 6-4 6-1","2026-07-13-bastad-sweden-2026-clay-round-of-32-202104-211609","true"
"2026-0316","bastad-sweden-2026-clay","Bastad Sweden","2026","2026-07-13","Clay","Round of 32","Round of 32","30","MS021","21.0","210510","Lautaro Midon","207680","Facundo Diaz Acosta","210510","Lautaro Midon","3-6 6-4 6-2","2026-07-13-bastad-sweden-2026-clay-round-of-32-210510-207680","true"
"2026-0316","bastad-sweden-2026-clay","Bastad Sweden","2026","2026-07-13","Clay","Round of 32","Round of 32","30","MS022","22.0","105932","Nikoloz Basilashvili","123828","Jan Choinski","105932","Nikoloz Basilashvili","6-4 7-6(4)","2026-07-13-bastad-sweden-2026-clay-round-of-32-105932-123828","true"
"2026-0316","bastad-sweden-2026-clay","Bastad Sweden","2026","2026-07-13","Clay","Round of 32","Round of 32","30","MS023","23.0","202058","Thiago Agustin Tirante","124116","Sebastian Ofner","202058","Thiago Agustin Tirante","6-3 6-4","2026-07-13-bastad-sweden-2026-clay-round-of-32-202058-124116","true"
"2026-0316","bastad-sweden-2026-clay","Bastad Sweden","2026","2026-07-13","Clay","Round of 32","Round of 32","30","MS024","24.0","122298","Botic Van De Zandschulp","106121","Taro Daniel","122298","Botic Van De Zandschulp","7-6(0) 6-4","2026-07-13-bastad-sweden-2026-clay-round-of-32-122298-106121","true"
"2026-0316","bastad-sweden-2026-clay","Bastad Sweden","2026","2026-07-13","Clay","Round of 32","Round of 32","30","MS025","25.0","209226","Adolfo Daniel Vallejo","207732","Miguel Damas","209226","Adolfo Daniel Vallejo","6-3 6-3","2026-07-13-bastad-sweden-2026-clay-round-of-32-209226-207732","true"
"2026-0316","bastad-sweden-2026-clay","Bastad Sweden","2026","2026-07-13","Clay","Round of 32","Round of 32","30","MS026","26.0","105882","Stefano Travaglia","209322","Martin Krumich","105882","Stefano Travaglia","6-4 6-2","2026-07-13-bastad-sweden-2026-clay-round-of-32-105882-209322","true"
"2026-0316","bastad-sweden-2026-clay","Bastad Sweden","2026","2026-07-13","Clay","Round of 32","Round of 32","30","MS028","28.0","132686","Nuno Borges","213608","Moise Kouame","132686","Nuno Borges","6-4 6-2","2026-07-13-bastad-sweden-2026-clay-round-of-32-132686-213608","true"
"2026-0316","bastad-sweden-2026-clay","Bastad Sweden","2026","2026-07-13","Clay","Round of 32","Round of 32","30","MS029","29.0","105777","Grigor Dimitrov","207494","Dalibor Svrcina","105777","Grigor Dimitrov","7-6(5) 1-6 6-4","2026-07-13-bastad-sweden-2026-clay-round-of-32-105777-207494","true"
"2026-0316","bastad-sweden-2026-clay","Bastad Sweden","2026","2026-07-13","Clay","Round of 32","Round of 32","30","MS030","30.0","127157","Daniel Altmaier","200384","Hugo Gaston","127157","Daniel Altmaier","6-2 7-5","2026-07-13-bastad-sweden-2026-clay-round-of-32-127157-200384","true"
