"tournament_id","tournament_slug","tournament_name","year","match_date","surface","round","round_display","round_order","id_num","draw_match_number","player_1_id","player_1_name","player_2_id","player_2_name","winner_id","winner_name","score","match_id","has_match_statistics"
"2026-0339","brisbane-australia-2026-hard","Brisbane Australia","2026","2026-01-04","Hard","Round of 32","Round of 32","30","MS016","16.0","106421","Daniil Medvedev","105916","Marton Fucsovics","106421","Daniil Medvedev","6-2 6-3","2026-01-04-brisbane-australia-2026-hard-round-of-32-106421-105916","true"
"2026-0339","brisbane-australia-2026-hard","Brisbane Australia","2026","2026-01-04","Hard","Round of 32","Round of 32","30","MS017","17.0","126207","Frances Tiafoe","126846","Aleksandar Vukic","126207","Frances Tiafoe","6-2 6-2","2026-01-04-brisbane-australia-2026-hard-round-of-32-126207-126846","true"
"2026-0339","brisbane-australia-2026-hard","Brisbane Australia","2026","2026-01-04","Hard","Round of 32","Round of 32","30","MS018","18.0","111794","Kamil Majchrzak","127157","Daniel Altmaier","111794","Kamil Majchrzak","7-6(4) 6-0","2026-01-04-brisbane-australia-2026-hard-round-of-32-111794-127157","true"
"2026-0339","brisbane-australia-2026-hard","Brisbane Australia","2026","2026-01-04","Hard","Round of 32","Round of 32","30","MS019","19.0","124187","Reilly Opelka","208013","Dane Sweeny","124187","Reilly Opelka","6-3 7-5","2026-01-04-brisbane-australia-2026-hard-round-of-32-124187-208013","true"
"2026-0339","brisbane-australia-2026-hard","Brisbane Australia","2026","2026-01-04","Hard","Round of 32","Round of 32","30","MS020","20.0","210506","Alex Michelsen","105902","James Duckworth","210506","Alex Michelsen","6-7(4) 7-6(2) 6-3","2026-01-04-brisbane-australia-2026-hard-round-of-32-210506-105902","true"
"2026-0339","brisbane-australia-2026-hard","Brisbane Australia","2026","2026-01-04","Hard","Round of 32","Round of 32","30","MS021","21.0","210530","Learner Tien","200116","Camilo Ugo Carabelli","210530","Learner Tien","7-6(4) 6-3","2026-01-04-brisbane-australia-2026-hard-round-of-32-210530-200116","true"
"2026-0339","brisbane-australia-2026-hard","Brisbane Australia","2026","2026-01-04","Hard","Round of 32","Round of 32","30","MS022","22.0","200624","Sebastian Korda","200473","Valentin Vacherot","200624","Sebastian Korda","7-6(1) 6-3","2026-01-04-brisbane-australia-2026-hard-round-of-32-200624-200473","true"
"2026-0339","brisbane-australia-2026-hard","Brisbane Australia","2026","2026-01-04","Hard","Round of 32","Round of 32","30","MS023","23.0","208103","Jiri Lehecka","207830","Tomas Machac","208103","Jiri Lehecka","6-4 6-7(5) 6-2","2026-01-04-brisbane-australia-2026-hard-round-of-32-208103-207830","true"
"2026-0339","brisbane-australia-2026-hard","Brisbane Australia","2026","2026-01-04","Hard","Round of 32","Round of 32","30","MS024","24.0","206909","Brandon Nakashima","200221","Alejandro Davidovich Fokina","206909","Brandon Nakashima","7-6(4) 6-4","2026-01-04-brisbane-australia-2026-hard-round-of-32-206909-200221","true"
"2026-0339","brisbane-australia-2026-hard","Brisbane Australia","2026","2026-01-04","Hard","Round of 32","Round of 32","30","MS025","25.0","111460","Quentin Halys","200615","Alexei Popyrin","111460","Quentin Halys","5-7 6-3 6-4","2026-01-04-brisbane-australia-2026-hard-round-of-32-111460-200615","true"
"2026-0339","brisbane-australia-2026-hard","Brisbane Australia","2026","2026-01-04","Hard","Round of 32","Round of 32","30","MS026","26.0","209920","Raphael Collignon","133430","Denis Shapovalov","209920","Raphael Collignon","6-4 6-2","2026-01-04-brisbane-australia-2026-hard-round-of-32-209920-133430","true"
"2026-0339","brisbane-australia-2026-hard","Brisbane Australia","2026","2026-01-04","Hard","Round of 32","Round of 32","30","MS027","27.0","105777","Grigor Dimitrov","105807","Pablo Carreno Busta","105777","Grigor Dimitrov","6-3 6-2","2026-01-04-brisbane-australia-2026-hard-round-of-32-105777-105807","true"
"2026-0339","brisbane-australia-2026-hard","Brisbane Australia","2026","2026-01-04","Hard","Round of 32","Round of 32","30","MS028","28.0","206499","Aleksandar Kovacevic","106401","Nick Kyrgios","206499","Aleksandar Kovacevic","6-3 6-4","2026-01-04-brisbane-australia-2026-hard-round-of-32-206499-106401","true"
