"tournament_id","tournament_slug","tournament_name","year","match_date","surface","round","round_display","round_order","id_num","draw_match_number","player_1_id","player_1_name","player_2_id","player_2_name","winner_id","winner_name","score","match_id","has_match_statistics"
"2026-4462","bucharest-romania-2026-clay","Bucharest Romania","2026","2026-03-30","Clay","Round of 32","Round of 32","30","MS016","16.0","208363","Mariano Navone","106331","Christopher Oconnell","208363","Mariano Navone","6-4 7-6(8)","2026-03-30-bucharest-romania-2026-clay-round-of-32-208363-106331","true"
"2026-4462","bucharest-romania-2026-clay","Bucharest Romania","2026","2026-03-30","Clay","Round of 32","Round of 32","30","MS017","17.0","209284","Elmer Moller","206589","Gabi Adrian Boitan","209284","Elmer Moller","6-3 7-5","2026-03-30-bucharest-romania-2026-clay-round-of-32-209284-206589","true"
"2026-4462","bucharest-romania-2026-clay","Bucharest Romania","2026","2026-03-30","Clay","Round of 32","Round of 32","30","MS018","18.0","144684","Alex Molcan","208286","Matteo Arnaldi","144684","Alex Molcan","6-3 6-1","2026-03-30-bucharest-romania-2026-clay-round-of-32-144684-208286","true"
"2026-4462","bucharest-romania-2026-clay","Bucharest Romania","2026","2026-03-30","Clay","Round of 32","Round of 32","30","MS020","20.0","122298","Botic Van De Zandschulp","208353","Francesco Maestrelli","122298","Botic Van De Zandschulp","6-3 6-2","2026-03-30-bucharest-romania-2026-clay-round-of-32-122298-208353","true"
"2026-4462","bucharest-romania-2026-clay","Bucharest Romania","2026","2026-03-30","Clay","Round of 32","Round of 32","30","MS021","21.0","207686","Alexander Shevchenko","212886","Radu David Turcanu","207686","Alexander Shevchenko","6-2 6-4","2026-03-30-bucharest-romania-2026-clay-round-of-32-207686-212886","true"
"2026-4462","bucharest-romania-2026-clay","Bucharest Romania","2026","2026-03-30","Clay","Round of 32","Round of 32","30","MS022","22.0","106000","Damir Dzumhur","202262","Filip Cristian Jianu","106000","Damir Dzumhur","6-3 4-6 7-6(4)","2026-03-30-bucharest-romania-2026-clay-round-of-32-106000-202262","true"
"2026-4462","bucharest-romania-2026-clay","Bucharest Romania","2026","2026-03-30","Clay","Round of 32","Round of 32","30","MS024","24.0","210017","Daniel Merida Aguilar","202261","Otto Virtanen","210017","Daniel Merida Aguilar","7-6(4) 5-7 7-5","2026-03-30-bucharest-romania-2026-clay-round-of-32-210017-202261","true"
"2026-4462","bucharest-romania-2026-clay","Bucharest Romania","2026","2026-03-30","Clay","Round of 32","Round of 32","30","MS026","26.0","208169","Titouan Droguet","105138","Roberto Bautista Agut","208169","Titouan Droguet","6-1 1-6 6-1","2026-03-30-bucharest-romania-2026-clay-round-of-32-208169-105138","true"
"2026-4462","bucharest-romania-2026-clay","Bucharest Romania","2026","2026-03-30","Clay","Round of 32","Round of 32","30","MS027","27.0","202104","Sebastian Baez","209147","Vilius Gaubas","202104","Sebastian Baez","6-3 6-1","2026-03-30-bucharest-romania-2026-clay-round-of-32-202104-209147","true"
"2026-4462","bucharest-romania-2026-clay","Bucharest Romania","2026","2026-03-30","Clay","Round of 32","Round of 32","30","MS029","29.0","208852","Stefanos Sakellaridis","123828","Jan Choinski","208852","Stefanos Sakellaridis","6-3 6-4","2026-03-30-bucharest-romania-2026-clay-round-of-32-208852-123828","true"
"2026-4462","bucharest-romania-2026-clay","Bucharest Romania","2026","2026-03-30","Clay","Round of 32","Round of 32","30","MS030","30.0","127157","Daniel Altmaier","124079","Pedro Martinez","127157","Daniel Altmaier","6-1 6-4","2026-03-30-bucharest-romania-2026-clay-round-of-32-127157-124079","true"
