"tournament_id","tournament_slug","tournament_name","year","match_date","surface","round","round_display","round_order","id_num","draw_match_number","player_1_id","player_1_name","player_2_id","player_2_name","winner_id","winner_name","score","match_id","has_match_statistics"
"2026-0506","buenos-aires-argentina-2026-clay","Buenos Aires Argentina","2026","2026-02-09","Clay","Round of 32","Round of 32","30","MS017","17.0","106198","Hugo Dellien","106000","Damir Dzumhur","106198","Hugo Dellien","6-4 6-1","2026-02-09-buenos-aires-argentina-2026-clay-round-of-32-106198-106000","true"
"2026-0506","buenos-aires-argentina-2026-clay","Buenos Aires Argentina","2026","2026-02-09","Clay","Round of 32","Round of 32","30","MS018","18.0","200240","Vit Kopriva","209875","Alex Barrena","200240","Vit Kopriva","6-4 3-6 6-4","2026-02-09-buenos-aires-argentina-2026-clay-round-of-32-200240-209875","true"
"2026-0506","buenos-aires-argentina-2026-clay","Buenos Aires Argentina","2026","2026-02-09","Clay","Round of 32","Round of 32","30","MS019","19.0","126610","Matteo Berrettini","105948","Federico Coria","126610","Matteo Berrettini","7-5 7-5","2026-02-09-buenos-aires-argentina-2026-clay-round-of-32-126610-105948","true"
"2026-0506","buenos-aires-argentina-2026-clay","Buenos Aires Argentina","2026","2026-02-09","Clay","Round of 32","Round of 32","30","MS020","20.0","144869","Tomas Martin Etcheverry","126504","Andrea Pellegrino","144869","Tomas Martin Etcheverry","6-3 6-4","2026-02-09-buenos-aires-argentina-2026-clay-round-of-32-144869-126504","true"
"2026-0506","buenos-aires-argentina-2026-clay","Buenos Aires Argentina","2026","2026-02-09","Clay","Round of 32","Round of 32","30","MS021","21.0","208882","Roman Andres Burruchaga","111513","Laslo Djere","208882","Roman Andres Burruchaga","6-2 6-4","2026-02-09-buenos-aires-argentina-2026-clay-round-of-32-208882-111513","true"
"2026-0506","buenos-aires-argentina-2026-clay","Buenos Aires Argentina","2026","2026-02-09","Clay","Round of 32","Round of 32","30","MS022","22.0","126214","Alejandro Tabilo","207680","Facundo Diaz Acosta","126214","Alejandro Tabilo","7-6(5) 6-3","2026-02-09-buenos-aires-argentina-2026-clay-round-of-32-126214-207680","true"
"2026-0506","buenos-aires-argentina-2026-clay","Buenos Aires Argentina","2026","2026-02-09","Clay","Round of 32","Round of 32","30","MS025","25.0","144642","Tomas Barrios Vera","205734","Thiago Seyboth Wild","144642","Tomas Barrios Vera","4-6 6-5 RET","2026-02-09-buenos-aires-argentina-2026-clay-round-of-32-144642-205734","true"
"2026-0506","buenos-aires-argentina-2026-clay","Buenos Aires Argentina","2026","2026-02-09","Clay","Round of 32","Round of 32","30","MS026","26.0","124079","Pedro Martinez","210510","Lautaro Midon","124079","Pedro Martinez","6-4 6-1","2026-02-09-buenos-aires-argentina-2026-clay-round-of-32-124079-210510","true"
"2026-0506","buenos-aires-argentina-2026-clay","Buenos Aires Argentina","2026","2026-02-09","Clay","Round of 32","Round of 32","30","MS027","27.0","207678","Juan Manuel Cerundolo","127157","Daniel Altmaier","207678","Juan Manuel Cerundolo","6-2 6-2","2026-02-09-buenos-aires-argentina-2026-clay-round-of-32-207678-127157","true"
"2026-0506","buenos-aires-argentina-2026-clay","Buenos Aires Argentina","2026","2026-02-09","Clay","Round of 32","Round of 32","30","MS029","29.0","209860","Ignacio Buse","208859","Francesco Passaro","209860","Ignacio Buse","5-7 7-5 6-4","2026-02-09-buenos-aires-argentina-2026-clay-round-of-32-209860-208859","true"
"2026-0506","buenos-aires-argentina-2026-clay","Buenos Aires Argentina","2026","2026-02-09","Clay","Round of 32","Round of 32","30","MS030","30.0","200116","Camilo Ugo Carabelli","207681","Francisco Comesana","200116","Camilo Ugo Carabelli","6-4 7-6(3)","2026-02-09-buenos-aires-argentina-2026-clay-round-of-32-200116-207681","true"
"2026-0506","buenos-aires-argentina-2026-clay","Buenos Aires Argentina","2026","2026-02-09","Clay","Round of 32","Round of 32","30","MS031","31.0","208363","Mariano Navone","207182","Emilio Nava","208363","Mariano Navone","6-2 6-1","2026-02-09-buenos-aires-argentina-2026-clay-round-of-32-208363-207182","true"
"2026-0506","buenos-aires-argentina-2026-clay","Buenos Aires Argentina","2026","2026-02-09","Clay","Round of 16","Round of 16","40","MS008","8.0","202103","Francisco Cerundolo","106198","Hugo Dellien","202103","Francisco Cerundolo","6-0 7-6(6)","2026-02-09-buenos-aires-argentina-2026-clay-round-of-16-202103-106198","true"
"2026-0506","buenos-aires-argentina-2026-clay","Buenos Aires Argentina","2026","2026-02-09","Clay","Round of 16","Round of 16","40","MS009","9.0","200240","Vit Kopriva","126610","Matteo Berrettini","200240","Vit Kopriva","6-4 6-3","2026-02-09-buenos-aires-argentina-2026-clay-round-of-16-200240-126610","true"
"2026-0506","buenos-aires-argentina-2026-clay","Buenos Aires Argentina","2026","2026-02-09","Clay","Round of 16","Round of 16","40","MS010","10.0","144869","Tomas Martin Etcheverry","208882","Roman Andres Burruchaga","144869","Tomas Martin Etcheverry","7-6(5) 6-7(3) 6-4","2026-02-09-buenos-aires-argentina-2026-clay-round-of-16-144869-208882","true"
"2026-0506","buenos-aires-argentina-2026-clay","Buenos Aires Argentina","2026","2026-02-09","Clay","Round of 16","Round of 16","40","MS011","11.0","126214","Alejandro Tabilo","211663","Joao Fonseca","126214","Alejandro Tabilo","6-3 3-6 7-5","2026-02-09-buenos-aires-argentina-2026-clay-round-of-16-126214-211663","true"
"2026-0506","buenos-aires-argentina-2026-clay","Buenos Aires Argentina","2026","2026-02-09","Clay","Round of 16","Round of 16","40","MS012","12.0","209260","Luciano Darderi","144642","Tomas Barrios Vera","209260","Luciano Darderi","6-1 6-3","2026-02-09-buenos-aires-argentina-2026-clay-round-of-16-209260-144642","true"
"2026-0506","buenos-aires-argentina-2026-clay","Buenos Aires Argentina","2026","2026-02-09","Clay","Round of 16","Round of 16","40","MS013","13.0","124079","Pedro Martinez","207678","Juan Manuel Cerundolo","124079","Pedro Martinez","7-6(5) 6-4","2026-02-09-buenos-aires-argentina-2026-clay-round-of-16-124079-207678","true"
"2026-0506","buenos-aires-argentina-2026-clay","Buenos Aires Argentina","2026","2026-02-09","Clay","Round of 16","Round of 16","40","MS014","14.0","202104","Sebastian Baez","209860","Ignacio Buse","202104","Sebastian Baez","6-4 6-3","2026-02-09-buenos-aires-argentina-2026-clay-round-of-16-202104-209860","true"
"2026-0506","buenos-aires-argentina-2026-clay","Buenos Aires Argentina","2026","2026-02-09","Clay","Round of 16","Round of 16","40","MS015","15.0","200116","Camilo Ugo Carabelli","208363","Mariano Navone","200116","Camilo Ugo Carabelli","6-2 7-5","2026-02-09-buenos-aires-argentina-2026-clay-round-of-16-200116-208363","true"
"2026-0506","buenos-aires-argentina-2026-clay","Buenos Aires Argentina","2026","2026-02-09","Clay","Quarter-Finals","Quarter-Finals","50","MS004","4.0","202103","Francisco Cerundolo","200240","Vit Kopriva","202103","Francisco Cerundolo","6-4 6-3","2026-02-09-buenos-aires-argentina-2026-clay-quarter-finals-202103-200240","true"
"2026-0506","buenos-aires-argentina-2026-clay","Buenos Aires Argentina","2026","2026-02-09","Clay","Quarter-Finals","Quarter-Finals","50","MS005","5.0","144869","Tomas Martin Etcheverry","126214","Alejandro Tabilo","144869","Tomas Martin Etcheverry","1-6 6-3 6-4","2026-02-09-buenos-aires-argentina-2026-clay-quarter-finals-144869-126214","true"
"2026-0506","buenos-aires-argentina-2026-clay","Buenos Aires Argentina","2026","2026-02-09","Clay","Quarter-Finals","Quarter-Finals","50","MS006","6.0","209260","Luciano Darderi","124079","Pedro Martinez","209260","Luciano Darderi","7-5 6-1","2026-02-09-buenos-aires-argentina-2026-clay-quarter-finals-209260-124079","true"
"2026-0506","buenos-aires-argentina-2026-clay","Buenos Aires Argentina","2026","2026-02-09","Clay","Quarter-Finals","Quarter-Finals","50","MS007","7.0","202104","Sebastian Baez","200116","Camilo Ugo Carabelli","202104","Sebastian Baez","7-6(5) 6-2","2026-02-09-buenos-aires-argentina-2026-clay-quarter-finals-202104-200116","true"
"2026-0506","buenos-aires-argentina-2026-clay","Buenos Aires Argentina","2026","2026-02-09","Clay","Semi-Finals","Semi-Finals","60","MS002","2.0","202103","Francisco Cerundolo","144869","Tomas Martin Etcheverry","202103","Francisco Cerundolo","6-3 7-5","2026-02-09-buenos-aires-argentina-2026-clay-semi-finals-202103-144869","true"
"2026-0506","buenos-aires-argentina-2026-clay","Buenos Aires Argentina","2026","2026-02-09","Clay","Semi-Finals","Semi-Finals","60","MS003","3.0","209260","Luciano Darderi","202104","Sebastian Baez","209260","Luciano Darderi","7-6(2) 6-1","2026-02-09-buenos-aires-argentina-2026-clay-semi-finals-209260-202104","true"
"2026-0506","buenos-aires-argentina-2026-clay","Buenos Aires Argentina","2026","2026-02-09","Clay","Finals","Finals","70","MS001","1.0","202103","Francisco Cerundolo","209260","Luciano Darderi","202103","Francisco Cerundolo","6-4 6-2","2026-02-09-buenos-aires-argentina-2026-clay-finals-202103-209260","true"
