"tournament_id","tournament_slug","tournament_name","year","match_date","surface","round","round_display","round_order","id_num","draw_match_number","player_1_id","player_1_name","player_2_id","player_2_name","winner_id","winner_name","score","match_id","has_match_statistics"
"2026-0424","dallas-united-states-2026-hard","Dallas United States","2026","2026-02-09","Hard","Round of 32","Round of 32","30","MS016","16.0","210097","Ben Shelton","209113","Gabriel Diallo","210097","Ben Shelton","6-4 6-4","2026-02-09-dallas-united-states-2026-hard-round-of-32-210097-209113","true"
"2026-0424","dallas-united-states-2026-hard","Dallas United States","2026","2026-02-09","Hard","Round of 32","Round of 32","30","MS017","17.0","105173","Adrian Mannarino","200443","Adam Walton","105173","Adrian Mannarino","6-4 6-2","2026-02-09-dallas-united-states-2026-hard-round-of-32-105173-200443","true"
"2026-0424","dallas-united-states-2026-hard","Dallas United States","2026","2026-02-09","Hard","Round of 32","Round of 32","30","MS018","18.0","200175","Miomir Kecmanovic","200647","Sho Shimabukuro","200175","Miomir Kecmanovic","6-7(3) 6-3 7-6(3)","2026-02-09-dallas-united-states-2026-hard-round-of-32-200175-200647","true"
"2026-0424","dallas-united-states-2026-hard","Dallas United States","2026","2026-02-09","Hard","Round of 32","Round of 32","30","MS019","19.0","126205","Tommy Paul","202385","Jenson Brooksby","126205","Tommy Paul","4-6 6-4 7-6(4)","2026-02-09-dallas-united-states-2026-hard-round-of-32-126205-202385","true"
"2026-0424","dallas-united-states-2026-hard","Dallas United States","2026","2026-02-09","Hard","Round of 32","Round of 32","30","MS020","20.0","133430","Denis Shapovalov","212588","Rafael Jodar","133430","Denis Shapovalov","6-1 6-2","2026-02-09-dallas-united-states-2026-hard-round-of-32-133430-212588","true"
"2026-0424","dallas-united-states-2026-hard","Dallas United States","2026","2026-02-09","Hard","Round of 32","Round of 32","30","MS021","21.0","206499","Aleksandar Kovacevic","200516","Patrick Kypson","206499","Aleksandar Kovacevic","6-4 7-6(1)","2026-02-09-dallas-united-states-2026-hard-round-of-32-206499-200516","true"
"2026-0424","dallas-united-states-2026-hard","Dallas United States","2026","2026-02-09","Hard","Round of 32","Round of 32","30","MS022","22.0","200221","Alejandro Davidovich Fokina","208260","Zachary Svajda","200221","Alejandro Davidovich Fokina","6-4 7-6(1)","2026-02-09-dallas-united-states-2026-hard-round-of-32-200221-208260","true"
"2026-0424","dallas-united-states-2026-hard","Dallas United States","2026","2026-02-09","Hard","Round of 32","Round of 32","30","MS023","23.0","210506","Alex Michelsen","105777","Grigor Dimitrov","210506","Alex Michelsen","5-7 6-4 6-4","2026-02-09-dallas-united-states-2026-hard-round-of-32-210506-105777","true"
"2026-0424","dallas-united-states-2026-hard","Dallas United States","2026","2026-02-09","Hard","Round of 32","Round of 32","30","MS024","24.0","126203","Taylor Fritz","106218","Marcos Giron","126203","Taylor Fritz","6-4 5-7 7-6(1)","2026-02-09-dallas-united-states-2026-hard-round-of-32-126203-106218","true"
"2026-0424","dallas-united-states-2026-hard","Dallas United States","2026","2026-02-09","Hard","Round of 32","Round of 32","30","MS025","25.0","206909","Brandon Nakashima","208233","Mattia Bellucci","206909","Brandon Nakashima","6-3 6-4","2026-02-09-dallas-united-states-2026-hard-round-of-32-206909-208233","true"
"2026-0424","dallas-united-states-2026-hard","Dallas United States","2026","2026-02-09","Hard","Round of 32","Round of 32","30","MS026","26.0","200624","Sebastian Korda","210116","Michael Zheng","200624","Sebastian Korda","6-3 6-4","2026-02-09-dallas-united-states-2026-hard-round-of-32-200624-210116","true"
"2026-0424","dallas-united-states-2026-hard","Dallas United States","2026","2026-02-09","Hard","Round of 32","Round of 32","30","MS027","27.0","126207","Frances Tiafoe","209279","Terence Atmane","126207","Frances Tiafoe","4-6 6-2 6-2","2026-02-09-dallas-united-states-2026-hard-round-of-32-126207-209279","true"
"2026-0424","dallas-united-states-2026-hard","Dallas United States","2026","2026-02-09","Hard","Round of 32","Round of 32","30","MS028","28.0","105227","Marin Cilic","210530","Learner Tien","105227","Marin Cilic","7-5 7-6(4)","2026-02-09-dallas-united-states-2026-hard-round-of-32-105227-210530","true"
"2026-0424","dallas-united-states-2026-hard","Dallas United States","2026","2026-02-09","Hard","Round of 32","Round of 32","30","MS029","29.0","210319","Ethan Quinn","212216","Trevor Svajda","210319","Ethan Quinn","7-6(3) 7-5","2026-02-09-dallas-united-states-2026-hard-round-of-32-210319-212216","true"
"2026-0424","dallas-united-states-2026-hard","Dallas United States","2026","2026-02-09","Hard","Round of 32","Round of 32","30","MS030","30.0","209957","Jack Pinnington Jones","207925","Flavio Cobolli","209957","Jack Pinnington Jones","6-2 6-2","2026-02-09-dallas-united-states-2026-hard-round-of-32-209957-207925","true"
"2026-0424","dallas-united-states-2026-hard","Dallas United States","2026","2026-02-09","Hard","Round of 32","Round of 32","30","MS031","31.0","208118","Eliot Spizzirri","105902","James Duckworth","208118","Eliot Spizzirri","6-2 6-4","2026-02-09-dallas-united-states-2026-hard-round-of-32-208118-105902","true"
"2026-0424","dallas-united-states-2026-hard","Dallas United States","2026","2026-02-09","Hard","Round of 16","Round of 16","40","MS008","8.0","210097","Ben Shelton","105173","Adrian Mannarino","210097","Ben Shelton","7-6(2) 6-7(4) 6-3","2026-02-09-dallas-united-states-2026-hard-round-of-16-210097-105173","true"
"2026-0424","dallas-united-states-2026-hard","Dallas United States","2026","2026-02-09","Hard","Round of 16","Round of 16","40","MS009","9.0","200175","Miomir Kecmanovic","126205","Tommy Paul","200175","Miomir Kecmanovic","5-7 6-4 6-4","2026-02-09-dallas-united-states-2026-hard-round-of-16-200175-126205","true"
"2026-0424","dallas-united-states-2026-hard","Dallas United States","2026","2026-02-09","Hard","Round of 16","Round of 16","40","MS010","10.0","133430","Denis Shapovalov","206499","Aleksandar Kovacevic","133430","Denis Shapovalov","6-4 6-4","2026-02-09-dallas-united-states-2026-hard-round-of-16-133430-206499","true"
"2026-0424","dallas-united-states-2026-hard","Dallas United States","2026","2026-02-09","Hard","Round of 16","Round of 16","40","MS011","11.0","200221","Alejandro Davidovich Fokina","210506","Alex Michelsen","200221","Alejandro Davidovich Fokina","6-4 6-4","2026-02-09-dallas-united-states-2026-hard-round-of-16-200221-210506","true"
"2026-0424","dallas-united-states-2026-hard","Dallas United States","2026","2026-02-09","Hard","Round of 16","Round of 16","40","MS012","12.0","126203","Taylor Fritz","206909","Brandon Nakashima","126203","Taylor Fritz","6-3 6-4","2026-02-09-dallas-united-states-2026-hard-round-of-16-126203-206909","true"
"2026-0424","dallas-united-states-2026-hard","Dallas United States","2026","2026-02-09","Hard","Round of 16","Round of 16","40","MS013","13.0","200624","Sebastian Korda","126207","Frances Tiafoe","200624","Sebastian Korda","7-5 6-1","2026-02-09-dallas-united-states-2026-hard-round-of-16-200624-126207","true"
"2026-0424","dallas-united-states-2026-hard","Dallas United States","2026","2026-02-09","Hard","Round of 16","Round of 16","40","MS014","14.0","105227","Marin Cilic","210319","Ethan Quinn","105227","Marin Cilic","7-6(4) 6-3","2026-02-09-dallas-united-states-2026-hard-round-of-16-105227-210319","true"
"2026-0424","dallas-united-states-2026-hard","Dallas United States","2026","2026-02-09","Hard","Round of 16","Round of 16","40","MS015","15.0","209957","Jack Pinnington Jones","208118","Eliot Spizzirri","209957","Jack Pinnington Jones","7-6(5) 4-6 7-6(4)","2026-02-09-dallas-united-states-2026-hard-round-of-16-209957-208118","true"
"2026-0424","dallas-united-states-2026-hard","Dallas United States","2026","2026-02-09","Hard","Quarter-Finals","Quarter-Finals","50","MS004","4.0","210097","Ben Shelton","200175","Miomir Kecmanovic","210097","Ben Shelton","5-7 6-3 6-4","2026-02-09-dallas-united-states-2026-hard-quarter-finals-210097-200175","true"
"2026-0424","dallas-united-states-2026-hard","Dallas United States","2026","2026-02-09","Hard","Quarter-Finals","Quarter-Finals","50","MS005","5.0","133430","Denis Shapovalov","200221","Alejandro Davidovich Fokina","133430","Denis Shapovalov","5-7 6-4 6-3","2026-02-09-dallas-united-states-2026-hard-quarter-finals-133430-200221","true"
"2026-0424","dallas-united-states-2026-hard","Dallas United States","2026","2026-02-09","Hard","Quarter-Finals","Quarter-Finals","50","MS006","6.0","126203","Taylor Fritz","200624","Sebastian Korda","126203","Taylor Fritz","6-7(2) 6-4 7-6(5)","2026-02-09-dallas-united-states-2026-hard-quarter-finals-126203-200624","true"
