"tournament_id","tournament_slug","tournament_name","year","match_date","surface","round","round_display","round_order","id_num","draw_match_number","player_1_id","player_1_name","player_2_id","player_2_name","winner_id","winner_name","score","match_id","has_match_statistics"
"2026-8096","davis-cup-qualifiers-1st-rd-2026","Davis Cup Qualifiers 1st Rd","2026","2026-02-06","Clay","Round Robin","Round Robin","90","","","144642","Tomas Barrios Vera","105583","Dusan Lajovic","144642","Tomas Barrios Vera","7-5 7-6(7)","2026-02-06-davis-cup-qualifiers-1st-rd-2026-round-robin-144642-105583","true"
"2026-8096","davis-cup-qualifiers-1st-rd-2026","Davis Cup Qualifiers 1st Rd","2026","2026-02-06","Clay","Round Robin","Round Robin","90","","","126214","Alejandro Tabilo","212207","Ognjen Milic","126214","Alejandro Tabilo","6-7(3) 6-2 6-4","2026-02-06-davis-cup-qualifiers-1st-rd-2026-round-robin-126214-212207","true"
"2026-8096","davis-cup-qualifiers-1st-rd-2026","Davis Cup Qualifiers 1st Rd","2026","2026-02-06","Clay","Round Robin","Round Robin","90","","","207130","Matias Soto","210025","Branko Djuric","207130","Matias Soto","6-7(2) 7-6(4) [10-7]","2026-02-06-davis-cup-qualifiers-1st-rd-2026-round-robin-207130-210025","true"
"2026-8096","davis-cup-qualifiers-1st-rd-2026","Davis Cup Qualifiers 1st Rd","2026","2026-02-06","Clay","Round Robin","Round Robin","90","","","212886","Radu David Turcanu","213547","Alex Santino Nunez Vera","212886","Radu David Turcanu","6-1 3-6 7-6(2)","2026-02-06-davis-cup-qualifiers-1st-rd-2026-round-robin-212886-213547","true"
"2026-8096","davis-cup-qualifiers-1st-rd-2026","Davis Cup Qualifiers 1st Rd","2026","2026-02-06","Clay","Round Robin","Round Robin","90","","","118808","Daniel Vallejo","212244","Gabriel Ghetu","118808","Daniel Vallejo","6-1 6-4","2026-02-06-davis-cup-qualifiers-1st-rd-2026-round-robin-118808-212244","true"
"2026-8096","davis-cup-qualifiers-1st-rd-2026","Davis Cup Qualifiers 1st Rd","2026","2026-02-06","Clay","Round Robin","Round Robin","90","","","118808","Daniel Vallejo","207502","Stefan Palosi","118808","Daniel Vallejo","6-1 6-2","2026-02-06-davis-cup-qualifiers-1st-rd-2026-round-robin-118808-207502","true"
"2026-8096","davis-cup-qualifiers-1st-rd-2026","Davis Cup Qualifiers 1st Rd","2026","2026-02-06","Clay","Round Robin","Round Robin","90","","","207368","Mert Alkaya","210274","Sebastian Dominko","207368","Mert Alkaya","7-5 7-6(4)","2026-02-06-davis-cup-qualifiers-1st-rd-2026-round-robin-207368-210274","true"
"2026-8096","davis-cup-qualifiers-1st-rd-2026","Davis Cup Qualifiers 1st Rd","2026","2026-02-06","Clay","Round Robin","Round Robin","90","","","207129","Yanki Erel","210107","Bor Artnak","207129","Yanki Erel","7-6(2) 6-1","2026-02-06-davis-cup-qualifiers-1st-rd-2026-round-robin-207129-210107","true"
"2026-8096","davis-cup-qualifiers-1st-rd-2026","Davis Cup Qualifiers 1st Rd","2026","2026-02-06","Clay","Round Robin","Round Robin","90","","","210731","Filip Jeff Planinsek","213933","Kaan Isak Kosaner","210731","Filip Jeff Planinsek","6-7(4) 6-1 [10-4]","2026-02-06-davis-cup-qualifiers-1st-rd-2026-round-robin-210731-213933","true"
"2026-8096","davis-cup-qualifiers-1st-rd-2026","Davis Cup Qualifiers 1st Rd","2026","2026-02-07","Clay","Round Robin","Round Robin","90","","","208223","Alvaro Guillen Meza","208014","Rinky Hijikata","208223","Alvaro Guillen Meza","6-4 1-6 6-4","2026-02-07-davis-cup-qualifiers-1st-rd-2026-round-robin-208223-208014","true"
"2026-8096","davis-cup-qualifiers-1st-rd-2026","Davis Cup Qualifiers 1st Rd","2026","2026-02-07","Clay","Round Robin","Round Robin","90","","","200748","Andres Andrade","105902","James Duckworth","200748","Andres Andrade","3-6 6-3 7-5","2026-02-07-davis-cup-qualifiers-1st-rd-2026-round-robin-200748-105902","true"
"2026-8096","davis-cup-qualifiers-1st-rd-2026","Davis Cup Qualifiers 1st Rd","2026","2026-02-07","Clay","Round Robin","Round Robin","90","","","106186","Jason Kubler","214304","Emilio Camacho","106186","Jason Kubler","6-4 6-2","2026-02-07-davis-cup-qualifiers-1st-rd-2026-round-robin-106186-214304","true"
"2026-8096","davis-cup-qualifiers-1st-rd-2026","Davis Cup Qualifiers 1st Rd","2026","2026-02-07","Clay","Round Robin","Round Robin","90","","","209920","Raphael Collignon","211651","Alexander Vasilev","209920","Raphael Collignon","6-3 6-3","2026-02-07-davis-cup-qualifiers-1st-rd-2026-round-robin-209920-211651","true"
"2026-8096","davis-cup-qualifiers-1st-rd-2026","Davis Cup Qualifiers 1st Rd","2026","2026-02-07","Clay","Round Robin","Round Robin","90","","","210696","Alexander Blockx","210721","Iliyan Radulov","210696","Alexander Blockx","6-7(3) 6-4 6-1","2026-02-07-davis-cup-qualifiers-1st-rd-2026-round-robin-210696-210721","true"
"2026-8096","davis-cup-qualifiers-1st-rd-2026","Davis Cup Qualifiers 1st Rd","2026","2026-02-07","Clay","Round Robin","Round Robin","90","","","209920","Raphael Collignon","129814","Ivan Ivanov","209920","Raphael Collignon","6-2 6-2","2026-02-07-davis-cup-qualifiers-1st-rd-2026-round-robin-209920-129814","true"
"2026-8096","davis-cup-qualifiers-1st-rd-2026","Davis Cup Qualifiers 1st Rd","2026","2026-02-07","Clay","Round Robin","Round Robin","90","","","126205","Tommy Paul","200436","Zsombor Piros","126205","Tommy Paul","7-6(3) 6-3","2026-02-07-davis-cup-qualifiers-1st-rd-2026-round-robin-126205-200436","true"
"2026-8096","davis-cup-qualifiers-1st-rd-2026","Davis Cup Qualifiers 1st Rd","2026","2026-02-07","Clay","Round Robin","Round Robin","90","","","210319","Ethan Quinn","206681","Fabian Marozsan","210319","Ethan Quinn","3-6 6-3 7-6(11)","2026-02-07-davis-cup-qualifiers-1st-rd-2026-round-robin-210319-206681","true"
"2026-8096","davis-cup-qualifiers-1st-rd-2026","Davis Cup Qualifiers 1st Rd","2026","2026-02-07","Clay","Round Robin","Round Robin","90","","","207182","Emilio Nava","200538","Matyas Fuele","207182","Emilio Nava","6-2 6-3","2026-02-07-davis-cup-qualifiers-1st-rd-2026-round-robin-207182-200538","true"
"2026-8096","davis-cup-qualifiers-1st-rd-2026","Davis Cup Qualifiers 1st Rd","2026","2026-02-07","Clay","Round Robin","Round Robin","90","","","212190","Karol Filar","209403","Faris Zakaryia","212190","Karol Filar","6-2 6-0","2026-02-07-davis-cup-qualifiers-1st-rd-2026-round-robin-212190-209403","true"
"2026-8096","davis-cup-qualifiers-1st-rd-2026","Davis Cup Qualifiers 1st Rd","2026","2026-02-07","Clay","Round Robin","Round Robin","90","","","209874","Maks Kasnikowski","209971","Michael Bassem Sobhy","209874","Maks Kasnikowski","6-1 7-6(7)","2026-02-07-davis-cup-qualifiers-1st-rd-2026-round-robin-209874-209971","true"
"2026-8096","davis-cup-qualifiers-1st-rd-2026","Davis Cup Qualifiers 1st Rd","2026","2026-02-07","Clay","Round Robin","Round Robin","90","","","210091","Filip Pieczonka","210456","Karim Ibrahim","210091","Filip Pieczonka","7-5 6-2","2026-02-07-davis-cup-qualifiers-1st-rd-2026-round-robin-210091-210456","true"
"2026-8096","davis-cup-qualifiers-1st-rd-2026","Davis Cup Qualifiers 1st Rd","2026","2026-02-07","Clay","Round Robin","Round Robin","90","","","210730","Reda Bennani","202075","Adria Soriano Barrera","210730","Reda Bennani","7-6(4) 7-5","2026-02-07-davis-cup-qualifiers-1st-rd-2026-round-robin-210730-202075","true"
"2026-8096","davis-cup-qualifiers-1st-rd-2026","Davis Cup Qualifiers 1st Rd","2026","2026-02-07","Clay","Round Robin","Round Robin","90","","","200711","Nicolas Mejia","207220","Taha Baadi","200711","Nicolas Mejia","6-3 6-2","2026-02-07-davis-cup-qualifiers-1st-rd-2026-round-robin-200711-207220","true"
"2026-8096","davis-cup-qualifiers-1st-rd-2026","Davis Cup Qualifiers 1st Rd","2026","2026-02-07","Clay","Round Robin","Round Robin","90","","","200711","Nicolas Mejia","210730","Reda Bennani","200711","Nicolas Mejia","6-1 4-6 6-2","2026-02-07-davis-cup-qualifiers-1st-rd-2026-round-robin-200711-210730","true"
"2026-8096","davis-cup-qualifiers-1st-rd-2026","Davis Cup Qualifiers 1st Rd","2026","2026-02-06","Grass","Round Robin","Round Robin","90","","","207836","Muzammil Murtaza","212171","Nicolas Jadoun","207836","Muzammil Murtaza","6-3 1-6 7-5","2026-02-06-davis-cup-qualifiers-1st-rd-2026-round-robin-207836-212171","true"
"2026-8096","davis-cup-qualifiers-1st-rd-2026","Davis Cup Qualifiers 1st Rd","2026","2026-02-06","Grass","Round Robin","Round Robin","90","","","103499","Aqeel Khan","210252","Seydina Andre","103499","Aqeel Khan","6-7(3) 7-6(6) 6-2","2026-02-06-davis-cup-qualifiers-1st-rd-2026-round-robin-103499-210252","true"
"2026-8096","davis-cup-qualifiers-1st-rd-2026","Davis Cup Qualifiers 1st Rd","2026","2026-02-06","Grass","Round Robin","Round Robin","90","","","207836","Muzammil Murtaza","144997","Yannick Languina","207836","Muzammil Murtaza","Walkover","2026-02-06-davis-cup-qualifiers-1st-rd-2026-round-robin-207836-144997","true"
"2026-8096","davis-cup-qualifiers-1st-rd-2026","Davis Cup Qualifiers 1st Rd","2026","2026-02-06","Grass","Round Robin","Round Robin","90","","","207841","Muhammad Shoaib","212171","Nicolas Jadoun","207841","Muhammad Shoaib","7-5 6-2","2026-02-06-davis-cup-qualifiers-1st-rd-2026-round-robin-207841-212171","true"
"2026-8096","davis-cup-qualifiers-1st-rd-2026","Davis Cup Qualifiers 1st Rd","2026","2026-02-05","Hard","Round Robin","Round Robin","90","","","207733","Jack Draper","126340","Viktor Durasovic","207733","Jack Draper","6-2 6-2","2026-02-05-davis-cup-qualifiers-1st-rd-2026-round-robin-207733-126340","true"
"2026-8096","davis-cup-qualifiers-1st-rd-2026","Davis Cup Qualifiers 1st Rd","2026","2026-02-05","Hard","Round Robin","Round Robin","90","","","111815","Cameron Norrie","149282","Nicolai Budkov Kjaer","111815","Cameron Norrie","6-4 6-4","2026-02-05-davis-cup-qualifiers-1st-rd-2026-round-robin-111815-149282","true"
"2026-8096","davis-cup-qualifiers-1st-rd-2026","Davis Cup Qualifiers 1st Rd","2026","2026-02-05","Hard","Round Robin","Round Robin","90","","","207985","Jacob Fearnley","149282","Nicolai Budkov Kjaer","207985","Jacob Fearnley","3-6 6-3 10-7","2026-02-05-davis-cup-qualifiers-1st-rd-2026-round-robin-207985-149282","true"
"2026-8096","davis-cup-qualifiers-1st-rd-2026","Davis Cup Qualifiers 1st Rd","2026","2026-02-06","Hard","Round Robin","Round Robin","90","","","208119","Liam Draxl","206307","Joao Lucas Reis Da Silva","208119","Liam Draxl","6-3 6-3","2026-02-06-davis-cup-qualifiers-1st-rd-2026-round-robin-208119-206307","true"
"2026-8096","davis-cup-qualifiers-1st-rd-2026","Davis Cup Qualifiers 1st Rd","2026","2026-02-06","Hard","Round Robin","Round Robin","90","","","208361","Gustavo Heide","209113","Gabriel Diallo","208361","Gustavo Heide","7-6(4) 3-6 7-6(3)","2026-02-06-davis-cup-qualifiers-1st-rd-2026-round-robin-208361-209113","true"
"2026-8096","davis-cup-qualifiers-1st-rd-2026","Davis Cup Qualifiers 1st Rd","2026","2026-02-06","Hard","Round Robin","Round Robin","90","","","209113","Gabriel Diallo","207799","Matheus Pucinelli De Almeida","209113","Gabriel Diallo","3-6 6-1 7-6(4)","2026-02-06-davis-cup-qualifiers-1st-rd-2026-round-robin-209113-207799","true"
"2026-8096","davis-cup-qualifiers-1st-rd-2026","Davis Cup Qualifiers 1st Rd","2026","2026-02-06","Hard","Round Robin","Round Robin","90","","","208119","Liam Draxl","208361","Gustavo Heide","208119","Liam Draxl","6-3 6-4","2026-02-06-davis-cup-qualifiers-1st-rd-2026-round-robin-208119-208361","true"
"2026-8096","davis-cup-qualifiers-1st-rd-2026","Davis Cup Qualifiers 1st Rd","2026","2026-02-06","Hard","Round Robin","Round Robin","90","","","209284","Elmer Moller","212063","Matej Dodig","209284","Elmer Moller","6-4 7-6(3)","2026-02-06-davis-cup-qualifiers-1st-rd-2026-round-robin-209284-212063","true"
"2026-8096","davis-cup-qualifiers-1st-rd-2026","Davis Cup Qualifiers 1st Rd","2026","2026-02-06","Hard","Round Robin","Round Robin","90","","","209976","Dino Prizmic","200416","August Holmgren","209976","Dino Prizmic","5-7 6-0 6-2","2026-02-06-davis-cup-qualifiers-1st-rd-2026-round-robin-209976-200416","true"
"2026-8096","davis-cup-qualifiers-1st-rd-2026","Davis Cup Qualifiers 1st Rd","2026","2026-02-06","Hard","Round Robin","Round Robin","90","","","209976","Dino Prizmic","209284","Elmer Moller","209976","Dino Prizmic","7-6(5) 7-6(2)","2026-02-06-davis-cup-qualifiers-1st-rd-2026-round-robin-209976-209284","true"
"2026-8096","davis-cup-qualifiers-1st-rd-2026","Davis Cup Qualifiers 1st Rd","2026","2026-02-06","Hard","Round Robin","Round Robin","90","","","105870","Yannick Hanfmann","208293","Gonzalo Bueno","105870","Yannick Hanfmann","6-4 6-4","2026-02-06-davis-cup-qualifiers-1st-rd-2026-round-robin-105870-208293","true"
"2026-8096","davis-cup-qualifiers-1st-rd-2026","Davis Cup Qualifiers 1st Rd","2026","2026-02-06","Hard","Round Robin","Round Robin","90","","","105526","Jan Lennard Struff","122669","Juan Pablo Varillas","105526","Jan Lennard Struff","6-4 6-2","2026-02-06-davis-cup-qualifiers-1st-rd-2026-round-robin-105526-122669","true"
