"tournament_id","tournament_slug","tournament_name","year","match_date","surface","round","round_display","round_order","id_num","draw_match_number","player_1_id","player_1_name","player_2_id","player_2_name","winner_id","winner_name","score","match_id","has_match_statistics"
"2026-0499","delray-beach-united-states-2026-hard","Delray Beach United States","2026","2026-02-16","Hard","Round of 32","Round of 32","30","MS016","16.0","200624","Sebastian Korda","111456","Mackenzie Mcdonald","200624","Sebastian Korda","6-4 7-5","2026-02-16-delray-beach-united-states-2026-hard-round-of-32-200624-111456","true"
"2026-0499","delray-beach-united-states-2026-hard","Delray Beach United States","2026","2026-02-16","Hard","Round of 32","Round of 32","30","MS017","17.0","210506","Alex Michelsen","200473","Valentin Vacherot","210506","Alex Michelsen","7-6(4) 6-4","2026-02-16-delray-beach-united-states-2026-hard-round-of-32-210506-200473","true"
"2026-0499","delray-beach-united-states-2026-hard","Delray Beach United States","2026","2026-02-16","Hard","Round of 32","Round of 32","30","MS019","19.0","106218","Marcos Giron","200647","Sho Shimabukuro","106218","Marcos Giron","6-3 7-5","2026-02-16-delray-beach-united-states-2026-hard-round-of-32-106218-200647","true"
"2026-0499","delray-beach-united-states-2026-hard","Delray Beach United States","2026","2026-02-16","Hard","Round of 32","Round of 32","30","MS021","21.0","209279","Terence Atmane","200516","Patrick Kypson","209279","Terence Atmane","6-3 2-6 6-4","2026-02-16-delray-beach-united-states-2026-hard-round-of-32-209279-200516","true"
"2026-0499","delray-beach-united-states-2026-hard","Delray Beach United States","2026","2026-02-16","Hard","Round of 32","Round of 32","30","MS022","22.0","209409","Coleman Wong","132686","Nuno Borges","209409","Coleman Wong","7-6(5) 4-6 6-3","2026-02-16-delray-beach-united-states-2026-hard-round-of-32-209409-132686","true"
"2026-0499","delray-beach-united-states-2026-hard","Delray Beach United States","2026","2026-02-16","Hard","Round of 32","Round of 32","30","MS023","23.0","206909","Brandon Nakashima","105227","Marin Cilic","206909","Brandon Nakashima","7-6(4) 7-6(5)","2026-02-16-delray-beach-united-states-2026-hard-round-of-32-206909-105227","true"
"2026-0499","delray-beach-united-states-2026-hard","Delray Beach United States","2026","2026-02-16","Hard","Round of 32","Round of 32","30","MS024","24.0","126205","Tommy Paul","144895","Corentin Moutet","126205","Tommy Paul","4-6 6-3 6-4","2026-02-16-delray-beach-united-states-2026-hard-round-of-32-126205-144895","true"
"2026-0499","delray-beach-united-states-2026-hard","Delray Beach United States","2026","2026-02-16","Hard","Round of 32","Round of 32","30","MS025","25.0","200443","Adam Walton","209113","Gabriel Diallo","200443","Adam Walton","7-6(4) 6-3","2026-02-16-delray-beach-united-states-2026-hard-round-of-32-200443-209113","true"
"2026-0499","delray-beach-united-states-2026-hard","Delray Beach United States","2026","2026-02-16","Hard","Round of 32","Round of 32","30","MS027","27.0","212588","Rafael Jodar","210319","Ethan Quinn","212588","Rafael Jodar","6-2 6-3","2026-02-16-delray-beach-united-states-2026-hard-round-of-32-212588-210319","true"
"2026-0499","delray-beach-united-states-2026-hard","Delray Beach United States","2026","2026-02-16","Hard","Round of 32","Round of 32","30","MS029","29.0","200175","Miomir Kecmanovic","208233","Mattia Bellucci","200175","Miomir Kecmanovic","6-1 6-4","2026-02-16-delray-beach-united-states-2026-hard-round-of-32-200175-208233","true"
