"tournament_id","tournament_slug","tournament_name","year","match_date","surface","round","round_display","round_order","id_num","draw_match_number","player_1_id","player_1_name","player_2_id","player_2_name","winner_id","winner_name","score","match_id","has_match_statistics"
"2026-0495","dubai-united-arab-emirates-2026-hard","Dubai United Arab Emirates","2026","2026-02-23","Hard","Round of 32","Round of 32","30","MS016","16.0","106421","Daniil Medvedev","209992","Juncheng Shang","106421","Daniil Medvedev","6-1 6-3","2026-02-23-dubai-united-arab-emirates-2026-hard-round-of-32-106421-209992","true"
"2026-0495","dubai-united-arab-emirates-2026-hard","Dubai United Arab Emirates","2026","2026-02-23","Hard","Round of 32","Round of 32","30","MS017","17.0","104527","Stan Wawrinka","133975","Benjamin Hassan","104527","Stan Wawrinka","7-5 6-3","2026-02-23-dubai-united-arab-emirates-2026-hard-round-of-32-104527-133975","true"
"2026-0495","dubai-united-arab-emirates-2026-hard","Dubai United Arab Emirates","2026","2026-02-23","Hard","Round of 32","Round of 32","30","MS018","18.0","202385","Jenson Brooksby","200267","Zizou Bergs","202385","Jenson Brooksby","6-3 6-4","2026-02-23-dubai-united-arab-emirates-2026-hard-round-of-32-202385-200267","true"
"2026-0495","dubai-united-arab-emirates-2026-hard","Dubai United Arab Emirates","2026","2026-02-23","Hard","Round of 32","Round of 32","30","MS019","19.0","111575","Karen Khachanov","207686","Alexander Shevchenko","111575","Karen Khachanov","6-7(5) 6-2 6-3","2026-02-23-dubai-united-arab-emirates-2026-hard-round-of-32-111575-207686","true"
"2026-0495","dubai-united-arab-emirates-2026-hard","Dubai United Arab Emirates","2026","2026-02-23","Hard","Round of 32","Round of 32","30","MS020","20.0","200000","Felix Auger Aliassime","111190","Zhizhen Zhang","200000","Felix Auger Aliassime","6-3 7-6(4)","2026-02-23-dubai-united-arab-emirates-2026-hard-round-of-32-200000-111190","true"
"2026-0495","dubai-united-arab-emirates-2026-hard","Dubai United Arab Emirates","2026","2026-02-23","Hard","Round of 32","Round of 32","30","MS021","21.0","208659","Giovanni Mpetshi Perricard","121411","Moez Echargui","208659","Giovanni Mpetshi Perricard","7-6(3) 6-7(3) 7-6(4)","2026-02-23-dubai-united-arab-emirates-2026-hard-round-of-32-208659-121411","true"
"2026-0495","dubai-united-arab-emirates-2026-hard","Dubai United Arab Emirates","2026","2026-02-23","Hard","Round of 32","Round of 32","30","MS022","22.0","208103","Jiri Lehecka","208134","Luca Nardi","208103","Jiri Lehecka","4-6 6-4 6-2","2026-02-23-dubai-united-arab-emirates-2026-hard-round-of-32-208103-208134","true"
"2026-0495","dubai-united-arab-emirates-2026-hard","Dubai United Arab Emirates","2026","2026-02-23","Hard","Round of 32","Round of 32","30","MS023","23.0","105807","Pablo Carreno Busta","133430","Denis Shapovalov","105807","Pablo Carreno Busta","6-2 6-4","2026-02-23-dubai-united-arab-emirates-2026-hard-round-of-32-105807-133430","true"
"2026-0495","dubai-united-arab-emirates-2026-hard","Dubai United Arab Emirates","2026","2026-02-23","Hard","Round of 32","Round of 32","30","MS024","24.0","134868","Tallon Griekspoor","202261","Otto Virtanen","134868","Tallon Griekspoor","6-3 6-4","2026-02-23-dubai-united-arab-emirates-2026-hard-round-of-32-134868-202261","true"
"2026-0495","dubai-united-arab-emirates-2026-hard","Dubai United Arab Emirates","2026","2026-02-23","Hard","Round of 32","Round of 32","30","MS025","25.0","122330","Alexander Bublik","105526","Jan Lennard Struff","122330","Alexander Bublik","6-3 6-4","2026-02-23-dubai-united-arab-emirates-2026-hard-round-of-32-122330-105526","true"
