"tournament_id","tournament_slug","tournament_name","year","match_date","surface","round","round_display","round_order","id_num","draw_match_number","player_1_id","player_1_name","player_2_id","player_2_name","winner_id","winner_name","score","match_id","has_match_statistics"
"2026-0741","eastbourne-great-britain-2026-grass","Eastbourne Great Britain","2026","2026-06-22","Grass","Round of 32","Round of 32","30","MS017","17.0","123828","Jan Choinski","200615","Alexei Popyrin","123828","Jan Choinski","1-6 6-2 6-2","2026-06-22-eastbourne-great-britain-2026-grass-round-of-32-123828-200615","true"
"2026-0741","eastbourne-great-britain-2026-grass","Eastbourne Great Britain","2026","2026-06-22","Grass","Round of 32","Round of 32","30","MS018","18.0","127157","Daniel Altmaier","206499","Aleksandar Kovacevic","127157","Daniel Altmaier","6-4 7-6(4)","2026-06-22-eastbourne-great-britain-2026-grass-round-of-32-127157-206499","true"
"2026-0741","eastbourne-great-britain-2026-grass","Eastbourne Great Britain","2026","2026-06-22","Grass","Round of 32","Round of 32","30","MS019","19.0","200267","Zizou Bergs","144719","Jaume Munar","200267","Zizou Bergs","6-2 6-4","2026-06-22-eastbourne-great-britain-2026-grass-round-of-32-200267-144719","true"
"2026-0741","eastbourne-great-britain-2026-grass","Eastbourne Great Britain","2026","2026-06-22","Grass","Round of 32","Round of 32","30","MS021","21.0","202058","Thiago Agustin Tirante","207171","Hamish Stewart","202058","Thiago Agustin Tirante","7-5 6-2","2026-06-22-eastbourne-great-britain-2026-grass-round-of-32-202058-207171","true"
"2026-0741","eastbourne-great-britain-2026-grass","Eastbourne Great Britain","2026","2026-06-22","Grass","Round of 32","Round of 32","30","MS022","22.0","209259","Arthur Fery","208882","Roman Andres Burruchaga","209259","Arthur Fery","6-2 4-6 7-5","2026-06-22-eastbourne-great-britain-2026-grass-round-of-32-209259-208882","true"
"2026-0741","eastbourne-great-britain-2026-grass","Eastbourne Great Britain","2026","2026-06-22","Grass","Round of 32","Round of 32","30","MS023","23.0","207678","Juan Manuel Cerundolo","209920","Raphael Collignon","207678","Juan Manuel Cerundolo","6-4 4-6 7-6(5)","2026-06-22-eastbourne-great-britain-2026-grass-round-of-32-207678-209920","true"
"2026-0741","eastbourne-great-britain-2026-grass","Eastbourne Great Britain","2026","2026-06-22","Grass","Round of 32","Round of 32","30","MS024","24.0","207733","Jack Draper","106218","Marcos Giron","207733","Jack Draper","6-4 7-6(5)","2026-06-22-eastbourne-great-britain-2026-grass-round-of-32-207733-106218","true"
"2026-0741","eastbourne-great-britain-2026-grass","Eastbourne Great Britain","2026","2026-06-22","Grass","Round of 32","Round of 32","30","MS025","25.0","209957","Jack Pinnington Jones","105477","Marco Trungelliti","209957","Jack Pinnington Jones","5-7 6-3 7-5","2026-06-22-eastbourne-great-britain-2026-grass-round-of-32-209957-105477","true"
"2026-0741","eastbourne-great-britain-2026-grass","Eastbourne Great Britain","2026","2026-06-22","Grass","Round of 32","Round of 32","30","MS026","26.0","209113","Gabriel Diallo","209279","Terence Atmane","209113","Gabriel Diallo","6-7(7) 6-4 7-5","2026-06-22-eastbourne-great-britain-2026-grass-round-of-32-209113-209279","true"
"2026-0741","eastbourne-great-britain-2026-grass","Eastbourne Great Britain","2026","2026-06-22","Grass","Round of 32","Round of 32","30","MS028","28.0","200005","Ugo Humbert","208233","Mattia Bellucci","200005","Ugo Humbert","7-6(5) 6-7(1) 6-4","2026-06-22-eastbourne-great-britain-2026-grass-round-of-32-200005-208233","true"
"2026-0741","eastbourne-great-britain-2026-grass","Eastbourne Great Britain","2026","2026-06-22","Grass","Round of 32","Round of 32","30","MS029","29.0","202385","Jenson Brooksby","126846","Aleksandar Vukic","202385","Jenson Brooksby","7-5 6-1","2026-06-22-eastbourne-great-britain-2026-grass-round-of-32-202385-126846","true"
"2026-0741","eastbourne-great-britain-2026-grass","Eastbourne Great Britain","2026","2026-06-22","Grass","Round of 32","Round of 32","30","MS030","30.0","208144","Giles Hussey","208286","Matteo Arnaldi","208144","Giles Hussey","6-4 6-2","2026-06-22-eastbourne-great-britain-2026-grass-round-of-32-208144-208286","true"
"2026-0741","eastbourne-great-britain-2026-grass","Eastbourne Great Britain","2026","2026-06-22","Grass","Round of 16","Round of 16","40","MS008","8.0","123828","Jan Choinski","208269","Felix Gill","123828","Jan Choinski","6-4 6-7(4) 6-2","2026-06-22-eastbourne-great-britain-2026-grass-round-of-16-123828-208269","true"
"2026-0741","eastbourne-great-britain-2026-grass","Eastbourne Great Britain","2026","2026-06-22","Grass","Round of 16","Round of 16","40","MS009","9.0","200267","Zizou Bergs","127157","Daniel Altmaier","200267","Zizou Bergs","6-3 3-2","2026-06-22-eastbourne-great-britain-2026-grass-round-of-16-200267-127157","true"
"2026-0741","eastbourne-great-britain-2026-grass","Eastbourne Great Britain","2026","2026-06-22","Grass","Round of 16","Round of 16","40","MS010","10.0","210389","Toby Samuel","202058","Thiago Agustin Tirante","210389","Toby Samuel","6-1 7-6(7)","2026-06-22-eastbourne-great-britain-2026-grass-round-of-16-210389-202058","true"
"2026-0741","eastbourne-great-britain-2026-grass","Eastbourne Great Britain","2026","2026-06-22","Grass","Round of 16","Round of 16","40","MS011","11.0","207678","Juan Manuel Cerundolo","209259","Arthur Fery","207678","Juan Manuel Cerundolo","6-2 7-6(2)","2026-06-22-eastbourne-great-britain-2026-grass-round-of-16-207678-209259","true"
"2026-0741","eastbourne-great-britain-2026-grass","Eastbourne Great Britain","2026","2026-06-22","Grass","Round of 16","Round of 16","40","MS012","12.0","207733","Jack Draper","209957","Jack Pinnington Jones","207733","Jack Draper","7-5 6-4","2026-06-22-eastbourne-great-britain-2026-grass-round-of-16-207733-209957","true"
"2026-0741","eastbourne-great-britain-2026-grass","Eastbourne Great Britain","2026","2026-06-22","Grass","Round of 16","Round of 16","40","MS013","13.0","209113","Gabriel Diallo","144869","Tomas Martin Etcheverry","209113","Gabriel Diallo","6-7(11) 6-3 6-2","2026-06-22-eastbourne-great-britain-2026-grass-round-of-16-209113-144869","true"
"2026-0741","eastbourne-great-britain-2026-grass","Eastbourne Great Britain","2026","2026-06-22","Grass","Round of 16","Round of 16","40","MS014","14.0","200005","Ugo Humbert","202385","Jenson Brooksby","200005","Ugo Humbert","6-3 6-2","2026-06-22-eastbourne-great-britain-2026-grass-round-of-16-200005-202385","true"
"2026-0741","eastbourne-great-britain-2026-grass","Eastbourne Great Britain","2026","2026-06-22","Grass","Round of 16","Round of 16","40","MS015","15.0","111460","Quentin Halys","208144","Giles Hussey","111460","Quentin Halys","6-1 7-5","2026-06-22-eastbourne-great-britain-2026-grass-round-of-16-111460-208144","true"
"2026-0741","eastbourne-great-britain-2026-grass","Eastbourne Great Britain","2026","2026-06-22","Grass","Quarterfinals","Quarterfinals","50","MS004","4.0","200267","Zizou Bergs","123828","Jan Choinski","200267","Zizou Bergs","6-3 6-3","2026-06-22-eastbourne-great-britain-2026-grass-quarterfinals-200267-123828","true"
