"tournament_id","tournament_slug","tournament_name","year","match_date","surface","round","round_display","round_order","id_num","draw_match_number","player_1_id","player_1_name","player_2_id","player_2_name","winner_id","winner_name","score","match_id","has_match_statistics"
"2026-7290","estoril-portugal-2026-clay","Estoril Portugal","2026","2026-07-20","Clay","Round of 32","Round of 32","30","MS017","17.0","207608","Timofey Skatov","207411","Jesper De Jong","207608","Timofey Skatov","1-6 6-4 6-3","2026-07-20-estoril-portugal-2026-clay-round-of-32-207608-207411","true"
"2026-7290","estoril-portugal-2026-clay","Estoril Portugal","2026","2026-07-20","Clay","Round of 32","Round of 32","30","MS018","18.0","209414","Luca Van Assche","106393","Frederico Ferreira Silva","209414","Luca Van Assche","7-5 6-7(4) 6-1","2026-07-20-estoril-portugal-2026-clay-round-of-32-209414-106393","true"
"2026-7290","estoril-portugal-2026-clay","Estoril Portugal","2026","2026-07-20","Clay","Round of 32","Round of 32","30","MS019","19.0","105807","Pablo Carreno Busta","209147","Vilius Gaubas","105807","Pablo Carreno Busta","6-1 6-3","2026-07-20-estoril-portugal-2026-clay-round-of-32-105807-209147","true"
"2026-7290","estoril-portugal-2026-clay","Estoril Portugal","2026","2026-07-20","Clay","Round of 32","Round of 32","30","MS021","21.0","208426","Tiago Torres","105932","Nikoloz Basilashvili","208426","Tiago Torres","6-4 6-2","2026-07-20-estoril-portugal-2026-clay-round-of-32-208426-105932","true"
"2026-7290","estoril-portugal-2026-clay","Estoril Portugal","2026","2026-07-20","Clay","Round of 32","Round of 32","30","MS022","22.0","200384","Hugo Gaston","106000","Damir Dzumhur","200384","Hugo Gaston","5-0","2026-07-20-estoril-portugal-2026-clay-round-of-32-200384-106000","true"
"2026-7290","estoril-portugal-2026-clay","Estoril Portugal","2026","2026-07-20","Clay","Round of 32","Round of 32","30","MS023","23.0","208169","Titouan Droguet","200116","Camilo Ugo Carabelli","208169","Titouan Droguet","6-0 3-6 6-4","2026-07-20-estoril-portugal-2026-clay-round-of-32-208169-200116","true"
"2026-7290","estoril-portugal-2026-clay","Estoril Portugal","2026","2026-07-20","Clay","Round of 32","Round of 32","30","MS024","24.0","132686","Nuno Borges","126197","Orlando Luz","132686","Nuno Borges","6-3 6-3","2026-07-20-estoril-portugal-2026-clay-round-of-32-132686-126197","true"
"2026-7290","estoril-portugal-2026-clay","Estoril Portugal","2026","2026-07-20","Clay","Round of 32","Round of 32","30","MS025","25.0","208882","Roman Andres Burruchaga","104527","Stan Wawrinka","208882","Roman Andres Burruchaga","6-4 4-6 6-3","2026-07-20-estoril-portugal-2026-clay-round-of-32-208882-104527","true"
"2026-7290","estoril-portugal-2026-clay","Estoril Portugal","2026","2026-07-20","Clay","Round of 32","Round of 32","30","MS026","26.0","208021","Kyrian Jacquet","210017","Daniel Merida Aguilar","208021","Kyrian Jacquet","1-6 6-1 7-5","2026-07-20-estoril-portugal-2026-clay-round-of-32-208021-210017","true"
"2026-7290","estoril-portugal-2026-clay","Estoril Portugal","2026","2026-07-20","Clay","Round of 32","Round of 32","30","MS028","28.0","210262","Jaime Faria","122298","Botic Van De Zandschulp","210262","Jaime Faria","6-3 6-4","2026-07-20-estoril-portugal-2026-clay-round-of-32-210262-122298","true"
