"tournament_id","tournament_slug","tournament_name","year","match_date","surface","round","round_display","round_order","id_num","draw_match_number","player_1_id","player_1_name","player_2_id","player_2_name","winner_id","winner_name","score","match_id","has_match_statistics"
"2026-0322","geneva-switzerland-2026-clay","Geneva Switzerland","2026","2026-05-17","Clay","Round of 32","Round of 32","30","MS017","17.0","126774","Stefanos Tsitsipas","208659","Giovanni Mpetshi Perricard","126774","Stefanos Tsitsipas","6-4 7-6(8)","2026-05-17-geneva-switzerland-2026-clay-round-of-32-126774-208659","true"
"2026-0322","geneva-switzerland-2026-clay","Geneva Switzerland","2026","2026-05-17","Clay","Round of 32","Round of 32","30","MS018","18.0","210506","Alex Michelsen","202104","Sebastian Baez","210506","Alex Michelsen","7-5 6-3","2026-05-17-geneva-switzerland-2026-clay-round-of-32-210506-202104","true"
"2026-0322","geneva-switzerland-2026-clay","Geneva Switzerland","2026","2026-05-17","Clay","Round of 32","Round of 32","30","MS019","19.0","104527","Stan Wawrinka","134840","Raul Brancaccio","104527","Stan Wawrinka","6-2 4-6 7-6(5)","2026-05-17-geneva-switzerland-2026-clay-round-of-32-104527-134840","true"
"2026-0322","geneva-switzerland-2026-clay","Geneva Switzerland","2026","2026-05-17","Clay","Round of 32","Round of 32","30","MS021","21.0","210220","Edas Butvilas","132283","Lorenzo Sonego","210220","Edas Butvilas","6-3 6-1","2026-05-17-geneva-switzerland-2026-clay-round-of-32-210220-132283","true"
"2026-0322","geneva-switzerland-2026-clay","Geneva Switzerland","2026","2026-05-17","Clay","Round of 32","Round of 32","30","MS022","22.0","126239","Arthur Rinderknech","202058","Thiago Agustin Tirante","126239","Arthur Rinderknech","6-4 6-1","2026-05-17-geneva-switzerland-2026-clay-round-of-32-126239-202058","true"
"2026-0322","geneva-switzerland-2026-clay","Geneva Switzerland","2026","2026-05-17","Clay","Round of 32","Round of 32","30","MS023","23.0","111513","Laslo Djere","105902","James Duckworth","111513","Laslo Djere","6-4 3-6 6-3","2026-05-17-geneva-switzerland-2026-clay-round-of-32-111513-105902","true"
"2026-0322","geneva-switzerland-2026-clay","Geneva Switzerland","2026","2026-05-17","Clay","Round of 32","Round of 32","30","MS024","24.0","208363","Mariano Navone","105477","Marco Trungelliti","208363","Mariano Navone","5-7 7-5 6-1","2026-05-17-geneva-switzerland-2026-clay-round-of-32-208363-105477","true"
"2026-0322","geneva-switzerland-2026-clay","Geneva Switzerland","2026","2026-05-17","Clay","Round of 32","Round of 32","30","MS026","26.0","144719","Jaume Munar","210460","Nishesh Basavareddy","144719","Jaume Munar","6-0 6-3","2026-05-17-geneva-switzerland-2026-clay-round-of-32-144719-210460","true"
"2026-0322","geneva-switzerland-2026-clay","Geneva Switzerland","2026","2026-05-17","Clay","Round of 32","Round of 32","30","MS027","27.0","207681","Francisco Comesana","208316","Valentin Royer","207681","Francisco Comesana","2-6 6-3 6-4","2026-05-17-geneva-switzerland-2026-clay-round-of-32-207681-208316","true"
"2026-0322","geneva-switzerland-2026-clay","Geneva Switzerland","2026","2026-05-17","Clay","Round of 32","Round of 32","30","MS028","28.0","134770","Casper Ruud","202385","Jenson Brooksby","134770","Casper Ruud","6-3 7-5","2026-05-17-geneva-switzerland-2026-clay-round-of-32-134770-202385","true"
