"tournament_id","tournament_slug","tournament_name","year","match_date","surface","round","round_display","round_order","id_num","draw_match_number","player_1_id","player_1_name","player_2_id","player_2_name","winner_id","winner_name","score","match_id","has_match_statistics"
"2026-0314","gstaad-switzerland-2026-clay","Gstaad Switzerland","2026","2026-07-13","Clay","Round of 32","Round of 32","30","MS017","17.0","111460","Quentin Halys","210748","Federico Cina","111460","Quentin Halys","6-3 3-6 7-6(6)","2026-07-13-gstaad-switzerland-2026-clay-round-of-32-111460-210748","true"
"2026-0314","gstaad-switzerland-2026-clay","Gstaad Switzerland","2026","2026-07-13","Clay","Round of 32","Round of 32","30","MS018","18.0","207686","Alexander Shevchenko","124186","Alexandre Muller","207686","Alexander Shevchenko","3-6 6-3 6-4","2026-07-13-gstaad-switzerland-2026-clay-round-of-32-207686-124186","true"
"2026-0314","gstaad-switzerland-2026-clay","Gstaad Switzerland","2026","2026-07-13","Clay","Round of 32","Round of 32","30","MS019","19.0","208502","Dominic Stricker","144719","Jaume Munar","208502","Dominic Stricker","6-2 6-4","2026-07-13-gstaad-switzerland-2026-clay-round-of-32-208502-144719","true"
"2026-0314","gstaad-switzerland-2026-clay","Gstaad Switzerland","2026","2026-07-13","Clay","Round of 32","Round of 32","30","MS021","21.0","202127","Clement Tabur","200514","Jurij Rodionov","202127","Clement Tabur","4-6 7-5 6-4","2026-07-13-gstaad-switzerland-2026-clay-round-of-32-202127-200514","true"
"2026-0314","gstaad-switzerland-2026-clay","Gstaad Switzerland","2026","2026-07-13","Clay","Round of 32","Round of 32","30","MS022","22.0","208843","Jerome Kym","210157","Dylan Dietrich","208843","Jerome Kym","7-6(3) 2-6 7-6(5)","2026-07-13-gstaad-switzerland-2026-clay-round-of-32-208843-210157","true"
"2026-0314","gstaad-switzerland-2026-clay","Gstaad Switzerland","2026","2026-07-13","Clay","Round of 32","Round of 32","30","MS023","23.0","126774","Stefanos Tsitsipas","209860","Ignacio Buse","126774","Stefanos Tsitsipas","6-4 6-4","2026-07-13-gstaad-switzerland-2026-clay-round-of-32-126774-209860","true"
"2026-0314","gstaad-switzerland-2026-clay","Gstaad Switzerland","2026","2026-07-13","Clay","Round of 32","Round of 32","30","MS024","24.0","209920","Raphael Collignon","207608","Timofey Skatov","209920","Raphael Collignon","3-6 7-6(1) 6-4","2026-07-13-gstaad-switzerland-2026-clay-round-of-32-209920-207608","true"
"2026-0314","gstaad-switzerland-2026-clay","Gstaad Switzerland","2026","2026-07-13","Clay","Round of 32","Round of 32","30","MS025","25.0","132283","Lorenzo Sonego","212082","Joel Schwaerzler","132283","Lorenzo Sonego","6-4 7-6(4)","2026-07-13-gstaad-switzerland-2026-clay-round-of-32-132283-212082","true"
"2026-0314","gstaad-switzerland-2026-clay","Gstaad Switzerland","2026","2026-07-13","Clay","Round of 32","Round of 32","30","MS026","26.0","105870","Yannick Hanfmann","124079","Pedro Martinez","105870","Yannick Hanfmann","7-6(6) 6-1","2026-07-13-gstaad-switzerland-2026-clay-round-of-32-105870-124079","true"
"2026-0314","gstaad-switzerland-2026-clay","Gstaad Switzerland","2026","2026-07-13","Clay","Round of 32","Round of 32","30","MS028","28.0","207678","Juan Manuel Cerundolo","144645","Zdenek Kolar","207678","Juan Manuel Cerundolo","4-6 6-3 6-4","2026-07-13-gstaad-switzerland-2026-clay-round-of-32-207678-144645","true"
"2026-0314","gstaad-switzerland-2026-clay","Gstaad Switzerland","2026","2026-07-13","Clay","Round of 32","Round of 32","30","MS029","29.0","200175","Miomir Kecmanovic","210005","Kilian Feldbausch","200175","Miomir Kecmanovic","6-1 1-6 6-3","2026-07-13-gstaad-switzerland-2026-clay-round-of-32-200175-210005","true"
"2026-0314","gstaad-switzerland-2026-clay","Gstaad Switzerland","2026","2026-07-13","Clay","Round of 32","Round of 32","30","MS030","30.0","210262","Jaime Faria","104527","Stan Wawrinka","210262","Jaime Faria","6-7(8) 6-4 6-4","2026-07-13-gstaad-switzerland-2026-clay-round-of-32-210262-104527","true"
"2026-0314","gstaad-switzerland-2026-clay","Gstaad Switzerland","2026","2026-07-13","Clay","Round of 16","Round of 16","40","MS008","8.0","111460","Quentin Halys","122330","Alexander Bublik","111460","Quentin Halys","6-7(4) 6-4 7-6(5)","2026-07-13-gstaad-switzerland-2026-clay-round-of-16-111460-122330","true"
"2026-0314","gstaad-switzerland-2026-clay","Gstaad Switzerland","2026","2026-07-13","Clay","Round of 16","Round of 16","40","MS009","9.0","207686","Alexander Shevchenko","208502","Dominic Stricker","207686","Alexander Shevchenko","7-6(5) 6-2","2026-07-13-gstaad-switzerland-2026-clay-round-of-16-207686-208502","true"
"2026-0314","gstaad-switzerland-2026-clay","Gstaad Switzerland","2026","2026-07-13","Clay","Round of 16","Round of 16","40","MS010","10.0","126239","Arthur Rinderknech","202127","Clement Tabur","126239","Arthur Rinderknech","6-7(9) 7-6(5) 7-5","2026-07-13-gstaad-switzerland-2026-clay-round-of-16-126239-202127","true"
"2026-0314","gstaad-switzerland-2026-clay","Gstaad Switzerland","2026","2026-07-13","Clay","Round of 16","Round of 16","40","MS011","11.0","126774","Stefanos Tsitsipas","208843","Jerome Kym","126774","Stefanos Tsitsipas","6-4 6-7(2) 7-6(5)","2026-07-13-gstaad-switzerland-2026-clay-round-of-16-126774-208843","true"
"2026-0314","gstaad-switzerland-2026-clay","Gstaad Switzerland","2026","2026-07-13","Clay","Round of 16","Round of 16","40","MS012","12.0","209920","Raphael Collignon","132283","Lorenzo Sonego","209920","Raphael Collignon","7-6(2) 7-6(5)","2026-07-13-gstaad-switzerland-2026-clay-round-of-16-209920-132283","true"
"2026-0314","gstaad-switzerland-2026-clay","Gstaad Switzerland","2026","2026-07-13","Clay","Round of 16","Round of 16","40","MS013","13.0","200473","Valentin Vacherot","105870","Yannick Hanfmann","200473","Valentin Vacherot","4-6 6-3 6-4","2026-07-13-gstaad-switzerland-2026-clay-round-of-16-200473-105870","true"
"2026-0314","gstaad-switzerland-2026-clay","Gstaad Switzerland","2026","2026-07-13","Clay","Round of 16","Round of 16","40","MS014","14.0","207678","Juan Manuel Cerundolo","200175","Miomir Kecmanovic","207678","Juan Manuel Cerundolo","3-6 6-3 7-5","2026-07-13-gstaad-switzerland-2026-clay-round-of-16-207678-200175","true"
"2026-0314","gstaad-switzerland-2026-clay","Gstaad Switzerland","2026","2026-07-13","Clay","Round of 16","Round of 16","40","MS015","15.0","134770","Casper Ruud","210262","Jaime Faria","134770","Casper Ruud","6-7(1) 6-4 6-2","2026-07-13-gstaad-switzerland-2026-clay-round-of-16-134770-210262","true"
"2026-0314","gstaad-switzerland-2026-clay","Gstaad Switzerland","2026","2026-07-13","Clay","Quarterfinals","Quarterfinals","50","MS004","4.0","207686","Alexander Shevchenko","111460","Quentin Halys","207686","Alexander Shevchenko","7-6(5) 6-3","2026-07-13-gstaad-switzerland-2026-clay-quarterfinals-207686-111460","true"
"2026-0314","gstaad-switzerland-2026-clay","Gstaad Switzerland","2026","2026-07-13","Clay","Quarterfinals","Quarterfinals","50","MS005","5.0","126774","Stefanos Tsitsipas","126239","Arthur Rinderknech","126774","Stefanos Tsitsipas","6-3 3-6 6-3","2026-07-13-gstaad-switzerland-2026-clay-quarterfinals-126774-126239","true"
"2026-0314","gstaad-switzerland-2026-clay","Gstaad Switzerland","2026","2026-07-13","Clay","Quarterfinals","Quarterfinals","50","MS006","6.0","209920","Raphael Collignon","200473","Valentin Vacherot","209920","Raphael Collignon","7-6(7) 4-6 7-5","2026-07-13-gstaad-switzerland-2026-clay-quarterfinals-209920-200473","true"
"2026-0314","gstaad-switzerland-2026-clay","Gstaad Switzerland","2026","2026-07-13","Clay","Quarterfinals","Quarterfinals","50","MS007","7.0","207678","Juan Manuel Cerundolo","134770","Casper Ruud","207678","Juan Manuel Cerundolo","3-6 7-5 6-2","2026-07-13-gstaad-switzerland-2026-clay-quarterfinals-207678-134770","true"
"2026-0314","gstaad-switzerland-2026-clay","Gstaad Switzerland","2026","2026-07-13","Clay","Semifinals","Semifinals","60","MS002","2.0","126774","Stefanos Tsitsipas","207686","Alexander Shevchenko","126774","Stefanos Tsitsipas","6-4 3-6 6-3","2026-07-13-gstaad-switzerland-2026-clay-semifinals-126774-207686","true"
"2026-0314","gstaad-switzerland-2026-clay","Gstaad Switzerland","2026","2026-07-13","Clay","Semifinals","Semifinals","60","MS003","3.0","209920","Raphael Collignon","207678","Juan Manuel Cerundolo","209920","Raphael Collignon","1-6 7-6(5) 7-5","2026-07-13-gstaad-switzerland-2026-clay-semifinals-209920-207678","true"
"2026-0314","gstaad-switzerland-2026-clay","Gstaad Switzerland","2026","2026-07-13","Clay","Final","Final","70","MS001","1.0","126774","Stefanos Tsitsipas","209920","Raphael Collignon","126774","Stefanos Tsitsipas","6-4 6-7(3) 6-3","2026-07-13-gstaad-switzerland-2026-clay-final-126774-209920","true"
"2026-0314","gstaad-switzerland-2026-clay","Gstaad Switzerland","2026","2026-07-13","Clay","1st Round Qualifying","1st Round Qualifying","80","QS013","","123921","Calvin Hemery","207415","Daniel Michalski","123921","Calvin Hemery","7-6(2) 2-6 6-3","2026-07-13-gstaad-switzerland-2026-clay-1st-round-qualifying-123921-207415","true"
"2026-0314","gstaad-switzerland-2026-clay","Gstaad Switzerland","2026","2026-07-13","Clay","1st Round Qualifying","1st Round Qualifying","80","QS009","","106329","Thiago Monteiro","105732","Pierre Hugues Herbert","106329","Thiago Monteiro","7-6(7) 6-7(4) 7-6(8)","2026-07-13-gstaad-switzerland-2026-clay-1st-round-qualifying-106329-105732","true"
"2026-0314","gstaad-switzerland-2026-clay","Gstaad Switzerland","2026","2026-07-13","Clay","1st Round Qualifying","1st Round Qualifying","80","QS015","","144817","Marc Andrea Huesler","210220","Edas Butvilas","144817","Marc Andrea Huesler","6-4 6-3","2026-07-13-gstaad-switzerland-2026-clay-1st-round-qualifying-144817-210220","true"
"2026-0314","gstaad-switzerland-2026-clay","Gstaad Switzerland","2026","2026-07-13","Clay","1st Round Qualifying","1st Round Qualifying","80","QS011","","126964","Vitaliy Sachko","211768","Manas Dhamne","126964","Vitaliy Sachko","6-4 6-1","2026-07-13-gstaad-switzerland-2026-clay-1st-round-qualifying-126964-211768","true"
"2026-0314","gstaad-switzerland-2026-clay","Gstaad Switzerland","2026","2026-07-13","Clay","1st Round Qualifying","1st Round Qualifying","80","QS014","","202127","Clement Tabur","131866","Hendrik Jebens","202127","Clement Tabur","6-3 6-4","2026-07-13-gstaad-switzerland-2026-clay-1st-round-qualifying-202127-131866","true"
"2026-0314","gstaad-switzerland-2026-clay","Gstaad Switzerland","2026","2026-07-13","Clay","1st Round Qualifying","1st Round Qualifying","80","QS012","","210748","Federico Cina","200452","Patrick Zahraj","210748","Federico Cina","7-5 6-3","2026-07-13-gstaad-switzerland-2026-clay-1st-round-qualifying-210748-200452","true"
"2026-0314","gstaad-switzerland-2026-clay","Gstaad Switzerland","2026","2026-07-13","Clay","1st Round Qualifying","1st Round Qualifying","80","QS010","","207608","Timofey Skatov","200562","Anirudh Chandrasekar","207608","Timofey Skatov","6-2 6-4","2026-07-13-gstaad-switzerland-2026-clay-1st-round-qualifying-207608-200562","true"
"2026-0314","gstaad-switzerland-2026-clay","Gstaad Switzerland","2026","2026-07-13","Clay","1st Round Qualifying","1st Round Qualifying","80","QS008","","210157","Dylan Dietrich","202261","Otto Virtanen","210157","Dylan Dietrich","6-4 7-6(4)","2026-07-13-gstaad-switzerland-2026-clay-1st-round-qualifying-210157-202261","true"
