"tournament_id","tournament_slug","tournament_name","year","match_date","surface","round","round_display","round_order","id_num","draw_match_number","player_1_id","player_1_name","player_2_id","player_2_name","winner_id","winner_name","score","match_id","has_match_statistics"
"2026-0500","halle-germany-2026-grass","Halle Germany","2026","2026-06-15","Grass","Round of 32","Round of 32","30","MS016","16.0","100644","Alexander Zverev","200240","Vit Kopriva","100644","Alexander Zverev","6-3 4-6 6-2","2026-06-15-halle-germany-2026-grass-round-of-32-100644-200240","true"
"2026-0500","halle-germany-2026-grass","Halle Germany","2026","2026-06-15","Grass","Round of 32","Round of 32","30","MS017","17.0","105870","Yannick Hanfmann","211663","Joao Fonseca","105870","Yannick Hanfmann","6-2 6-2","2026-06-15-halle-germany-2026-grass-round-of-32-105870-211663","true"
"2026-0500","halle-germany-2026-grass","Halle Germany","2026","2026-06-15","Grass","Round of 32","Round of 32","30","MS018","18.0","209920","Raphael Collignon","200615","Alexei Popyrin","209920","Raphael Collignon","6-4 6-2","2026-06-15-halle-germany-2026-grass-round-of-32-209920-200615","true"
"2026-0500","halle-germany-2026-grass","Halle Germany","2026","2026-06-15","Grass","Round of 32","Round of 32","30","MS019","19.0","208233","Mattia Bellucci","122330","Alexander Bublik","208233","Mattia Bellucci","7-6(6) 6-1","2026-06-15-halle-germany-2026-grass-round-of-32-208233-122330","true"
"2026-0500","halle-germany-2026-grass","Halle Germany","2026","2026-06-15","Grass","Round of 32","Round of 32","30","MS020","20.0","210097","Ben Shelton","132283","Lorenzo Sonego","210097","Ben Shelton","7-5 6-3","2026-06-15-halle-germany-2026-grass-round-of-32-210097-132283","true"
"2026-0500","halle-germany-2026-grass","Halle Germany","2026","2026-06-15","Grass","Round of 32","Round of 32","30","MS021","21.0","210319","Ethan Quinn","111575","Karen Khachanov","210319","Ethan Quinn","1-6 6-4 6-4","2026-06-15-halle-germany-2026-grass-round-of-32-210319-111575","true"
"2026-0500","halle-germany-2026-grass","Halle Germany","2026","2026-06-15","Grass","Round of 32","Round of 32","30","MS022","22.0","206681","Fabian Marozsan","200175","Miomir Kecmanovic","206681","Fabian Marozsan","6-3 3-6 6-4","2026-06-15-halle-germany-2026-grass-round-of-32-206681-200175","true"
"2026-0500","halle-germany-2026-grass","Halle Germany","2026","2026-06-15","Grass","Round of 32","Round of 32","30","MS023","23.0","126203","Taylor Fritz","200267","Zizou Bergs","126203","Taylor Fritz","7-6(4) 5-7 6-4","2026-06-15-halle-germany-2026-grass-round-of-32-126203-200267","true"
"2026-0500","halle-germany-2026-grass","Halle Germany","2026","2026-06-15","Grass","Round of 32","Round of 32","30","MS024","24.0","128034","Hubert Hurkacz","126094","Andrey Rublev","128034","Hubert Hurkacz","6-3 6-2","2026-06-15-halle-germany-2026-grass-round-of-32-128034-126094","true"
"2026-0500","halle-germany-2026-grass","Halle Germany","2026","2026-06-15","Grass","Round of 32","Round of 32","30","MS025","25.0","127157","Daniel Altmaier","105932","Nikoloz Basilashvili","127157","Daniel Altmaier","7-5 6-4","2026-06-15-halle-germany-2026-grass-round-of-32-127157-105932","true"
"2026-0500","halle-germany-2026-grass","Halle Germany","2026","2026-06-15","Grass","Round of 32","Round of 32","30","MS026","26.0","209279","Terence Atmane","212021","Martin Landaluce","209279","Terence Atmane","6-3 3-6 7-6(2)","2026-06-15-halle-germany-2026-grass-round-of-32-209279-212021","true"
"2026-0500","halle-germany-2026-grass","Halle Germany","2026","2026-06-15","Grass","Round of 32","Round of 32","30","MS027","27.0","106421","Daniil Medvedev","144869","Tomas Martin Etcheverry","106421","Daniil Medvedev","6-3 6-4","2026-06-15-halle-germany-2026-grass-round-of-32-106421-144869","true"
"2026-0500","halle-germany-2026-grass","Halle Germany","2026","2026-06-15","Grass","Round of 32","Round of 32","30","MS028","28.0","126207","Frances Tiafoe","207925","Flavio Cobolli","126207","Frances Tiafoe","6-2 7-6(4)","2026-06-15-halle-germany-2026-grass-round-of-32-126207-207925","true"
"2026-0500","halle-germany-2026-grass","Halle Germany","2026","2026-06-15","Grass","Round of 32","Round of 32","30","MS029","29.0","200647","Sho Shimabukuro","134868","Tallon Griekspoor","200647","Sho Shimabukuro","6-4 3-6 6-4","2026-06-15-halle-germany-2026-grass-round-of-32-200647-134868","true"
"2026-0500","halle-germany-2026-grass","Halle Germany","2026","2026-06-15","Grass","Round of 32","Round of 32","30","MS030","30.0","210530","Learner Tien","212268","Max Schoenhaus","210530","Learner Tien","6-2 6-4","2026-06-15-halle-germany-2026-grass-round-of-32-210530-212268","true"
"2026-0500","halle-germany-2026-grass","Halle Germany","2026","2026-06-15","Grass","Round of 32","Round of 32","30","MS031","31.0","200000","Felix Auger Aliassime","132686","Nuno Borges","200000","Felix Auger Aliassime","6-3 3-6 6-3","2026-06-15-halle-germany-2026-grass-round-of-32-200000-132686","true"
"2026-0500","halle-germany-2026-grass","Halle Germany","2026","2026-06-15","Grass","Round of 16","Round of 16","40","MS008","8.0","100644","Alexander Zverev","105870","Yannick Hanfmann","100644","Alexander Zverev","6-3 7-6(4)","2026-06-15-halle-germany-2026-grass-round-of-16-100644-105870","true"
"2026-0500","halle-germany-2026-grass","Halle Germany","2026","2026-06-15","Grass","Round of 16","Round of 16","40","MS009","9.0","209920","Raphael Collignon","208233","Mattia Bellucci","209920","Raphael Collignon","4-6 6-4 6-3","2026-06-15-halle-germany-2026-grass-round-of-16-209920-208233","true"
"2026-0500","halle-germany-2026-grass","Halle Germany","2026","2026-06-15","Grass","Round of 16","Round of 16","40","MS010","10.0","210097","Ben Shelton","210319","Ethan Quinn","210097","Ben Shelton","6-4 5-7 6-4","2026-06-15-halle-germany-2026-grass-round-of-16-210097-210319","true"
"2026-0500","halle-germany-2026-grass","Halle Germany","2026","2026-06-15","Grass","Round of 16","Round of 16","40","MS011","11.0","126203","Taylor Fritz","206681","Fabian Marozsan","126203","Taylor Fritz","6-2 6-4","2026-06-15-halle-germany-2026-grass-round-of-16-126203-206681","true"
"2026-0500","halle-germany-2026-grass","Halle Germany","2026","2026-06-15","Grass","Round of 16","Round of 16","40","MS012","12.0","127157","Daniel Altmaier","128034","Hubert Hurkacz","127157","Daniel Altmaier","3-6 6-3 7-5","2026-06-15-halle-germany-2026-grass-round-of-16-127157-128034","true"
"2026-0500","halle-germany-2026-grass","Halle Germany","2026","2026-06-15","Grass","Round of 16","Round of 16","40","MS013","13.0","106421","Daniil Medvedev","209279","Terence Atmane","106421","Daniil Medvedev","6-4 6-4","2026-06-15-halle-germany-2026-grass-round-of-16-106421-209279","true"
"2026-0500","halle-germany-2026-grass","Halle Germany","2026","2026-06-15","Grass","Round of 16","Round of 16","40","MS014","14.0","126207","Frances Tiafoe","200647","Sho Shimabukuro","126207","Frances Tiafoe","6-4 7-5","2026-06-15-halle-germany-2026-grass-round-of-16-126207-200647","true"
"2026-0500","halle-germany-2026-grass","Halle Germany","2026","2026-06-15","Grass","Round of 16","Round of 16","40","MS015","15.0","200000","Felix Auger Aliassime","210530","Learner Tien","200000","Felix Auger Aliassime","6-7(5) 7-5 7-6(5)","2026-06-15-halle-germany-2026-grass-round-of-16-200000-210530","true"
"2026-0500","halle-germany-2026-grass","Halle Germany","2026","2026-06-15","Grass","Quarterfinals","Quarterfinals","50","MS004","4.0","100644","Alexander Zverev","209920","Raphael Collignon","100644","Alexander Zverev","7-6(10) 7-6(2)","2026-06-15-halle-germany-2026-grass-quarterfinals-100644-209920","true"
