"tournament_id","tournament_slug","tournament_name","year","match_date","surface","round","round_display","round_order","id_num","draw_match_number","player_1_id","player_1_name","player_2_id","player_2_name","winner_id","winner_name","score","match_id","has_match_statistics"
"2026-0414","hamburg-germany-2026-clay","Hamburg Germany","2026","2026-05-17","Clay","Round of 32","Round of 32","30","MS016","16.0","209860","Ignacio Buse","207925","Flavio Cobolli","209860","Ignacio Buse","6-2 7-5","2026-05-17-hamburg-germany-2026-clay-round-of-32-209860-207925","true"
"2026-0414","hamburg-germany-2026-clay","Hamburg Germany","2026","2026-05-17","Clay","Round of 32","Round of 32","30","MS017","17.0","210150","Jakub Mensik","105526","Jan Lennard Struff","210150","Jakub Mensik","7-6(3) 6-2","2026-05-17-hamburg-germany-2026-clay-round-of-32-210150-105526","true"
"2026-0414","hamburg-germany-2026-clay","Hamburg Germany","2026","2026-05-17","Clay","Round of 32","Round of 32","30","MS018","18.0","200005","Ugo Humbert","211514","Justin Engel","200005","Ugo Humbert","6-3 3-6 7-6(2)","2026-05-17-hamburg-germany-2026-clay-round-of-32-200005-211514","true"
"2026-0414","hamburg-germany-2026-clay","Hamburg Germany","2026","2026-05-17","Clay","Round of 32","Round of 32","30","MS019","19.0","111575","Karen Khachanov","200384","Hugo Gaston","111575","Karen Khachanov","3-6 6-3 7-6(4)","2026-05-17-hamburg-germany-2026-clay-round-of-32-111575-200384","true"
"2026-0414","hamburg-germany-2026-clay","Hamburg Germany","2026","2026-05-17","Clay","Round of 32","Round of 32","30","MS020","20.0","206499","Aleksandar Kovacevic","210338","Arthur Gea","206499","Aleksandar Kovacevic","6-2 7-6(3)","2026-05-17-hamburg-germany-2026-clay-round-of-32-206499-210338","true"
"2026-0414","hamburg-germany-2026-clay","Hamburg Germany","2026","2026-05-17","Clay","Round of 32","Round of 32","30","MS021","21.0","200000","Felix Auger Aliassime","200240","Vit Kopriva","200000","Felix Auger Aliassime","7-5 6-1","2026-05-17-hamburg-germany-2026-clay-round-of-32-200000-200240","true"
"2026-0414","hamburg-germany-2026-clay","Hamburg Germany","2026","2026-05-17","Clay","Round of 32","Round of 32","30","MS022","22.0","200116","Camilo Ugo Carabelli","111794","Kamil Majchrzak","200116","Camilo Ugo Carabelli","1-6 6-2 6-3","2026-05-17-hamburg-germany-2026-clay-round-of-32-200116-111794","true"
"2026-0414","hamburg-germany-2026-clay","Hamburg Germany","2026","2026-05-17","Clay","Round of 32","Round of 32","30","MS023","23.0","126207","Frances Tiafoe","212309","Diego Dedura Palomero","126207","Frances Tiafoe","6-4 6-4","2026-05-17-hamburg-germany-2026-clay-round-of-32-126207-212309","true"
"2026-0414","hamburg-germany-2026-clay","Hamburg Germany","2026","2026-05-17","Clay","Round of 32","Round of 32","30","MS024","24.0","126205","Tommy Paul","210319","Ethan Quinn","126205","Tommy Paul","6-1 6-3","2026-05-17-hamburg-germany-2026-clay-round-of-32-126205-210319","true"
"2026-0414","hamburg-germany-2026-clay","Hamburg Germany","2026","2026-05-17","Clay","Round of 32","Round of 32","30","MS025","25.0","144869","Tomas Martin Etcheverry","209279","Terence Atmane","144869","Tomas Martin Etcheverry","6-2 7-6(4)","2026-05-17-hamburg-germany-2026-clay-round-of-32-144869-209279","true"
