"tournament_id","tournament_slug","tournament_name","year","match_date","surface","round","round_display","round_order","id_num","draw_match_number","player_1_id","player_1_name","player_2_id","player_2_name","winner_id","winner_name","score","match_id","has_match_statistics"
"2026-0336","hong-kong-hong-kong-2026-hard","Hong Kong Hong Kong","2026","2026-01-05","Hard","Round of 32","Round of 32","30","MS017","17.0","122298","Botic Van De Zandschulp","105526","Jan Lennard Struff","122298","Botic Van De Zandschulp","6-3 1-6 6-1","2026-01-05-hong-kong-hong-kong-2026-hard-round-of-32-122298-105526","true"
"2026-0336","hong-kong-hong-kong-2026-hard","Hong Kong Hong Kong","2026","2026-01-05","Hard","Round of 32","Round of 32","30","MS018","18.0","209992","Juncheng Shang","207681","Francisco Comesana","209992","Juncheng Shang","6-4 6-4","2026-01-05-hong-kong-hong-kong-2026-hard-round-of-32-209992-207681","true"
"2026-0336","hong-kong-hong-kong-2026-hard","Hong Kong Hong Kong","2026","2026-01-05","Hard","Round of 32","Round of 32","30","MS019","19.0","132283","Lorenzo Sonego","210536","Rei Sakamoto","132283","Lorenzo Sonego","6-2 7-6(4)","2026-01-05-hong-kong-hong-kong-2026-hard-round-of-32-132283-210536","true"
"2026-0336","hong-kong-hong-kong-2026-hard","Hong Kong Hong Kong","2026","2026-01-05","Hard","Round of 32","Round of 32","30","MS020","20.0","106218","Marcos Giron","111513","Laslo Djere","106218","Marcos Giron","6-2 6-0","2026-01-05-hong-kong-hong-kong-2026-hard-round-of-32-106218-111513","true"
"2026-0336","hong-kong-hong-kong-2026-hard","Hong Kong Hong Kong","2026","2026-01-05","Hard","Round of 32","Round of 32","30","MS021","21.0","124186","Alexandre Muller","200175","Miomir Kecmanovic","124186","Alexandre Muller","7-5 6-4","2026-01-05-hong-kong-hong-kong-2026-hard-round-of-32-124186-200175","true"
"2026-0336","hong-kong-hong-kong-2026-hard","Hong Kong Hong Kong","2026","2026-01-05","Hard","Round of 32","Round of 32","30","MS022","22.0","111581","Michael Mmoh","126214","Alejandro Tabilo","111581","Michael Mmoh","7-5 6-4","2026-01-05-hong-kong-hong-kong-2026-hard-round-of-32-111581-126214","true"
"2026-0336","hong-kong-hong-kong-2026-hard","Hong Kong Hong Kong","2026","2026-01-05","Hard","Round of 32","Round of 32","30","MS025","25.0","144869","Tomas Martin Etcheverry","208316","Valentin Royer","144869","Tomas Martin Etcheverry","6-4 7-5","2026-01-05-hong-kong-hong-kong-2026-hard-round-of-32-144869-208316","true"
"2026-0336","hong-kong-hong-kong-2026-hard","Hong Kong Hong Kong","2026","2026-01-05","Hard","Round of 32","Round of 32","30","MS026","26.0","209409","Coleman Wong","208363","Mariano Navone","209409","Coleman Wong","6-3 7-5","2026-01-05-hong-kong-hong-kong-2026-hard-round-of-32-209409-208363","true"
"2026-0336","hong-kong-hong-kong-2026-hard","Hong Kong Hong Kong","2026","2026-01-05","Hard","Round of 32","Round of 32","30","MS027","27.0","209113","Gabriel Diallo","207411","Jesper De Jong","209113","Gabriel Diallo","6-4 7-6(7)","2026-01-05-hong-kong-hong-kong-2026-hard-round-of-32-209113-207411","true"
"2026-0336","hong-kong-hong-kong-2026-hard","Hong Kong Hong Kong","2026","2026-01-05","Hard","Round of 32","Round of 32","30","MS029","29.0","200059","Yibing Wu","206681","Fabian Marozsan","200059","Yibing Wu","6-4 6-2","2026-01-05-hong-kong-hong-kong-2026-hard-round-of-32-200059-206681","true"
"2026-0336","hong-kong-hong-kong-2026-hard","Hong Kong Hong Kong","2026","2026-01-05","Hard","Round of 32","Round of 32","30","MS030","30.0","132686","Nuno Borges","106000","Damir Dzumhur","132686","Nuno Borges","6-4 6-3","2026-01-05-hong-kong-hong-kong-2026-hard-round-of-32-132686-106000","true"
"2026-0336","hong-kong-hong-kong-2026-hard","Hong Kong Hong Kong","2026","2026-01-05","Hard","Round of 32","Round of 32","30","MS031","31.0","105227","Marin Cilic","105173","Adrian Mannarino","105227","Marin Cilic","6-3 6-2","2026-01-05-hong-kong-hong-kong-2026-hard-round-of-32-105227-105173","true"
"2026-0336","hong-kong-hong-kong-2026-hard","Hong Kong Hong Kong","2026","2026-01-05","Hard","Round of 16","Round of 16","40","MS008","8.0","122330","Alexander Bublik","122298","Botic Van De Zandschulp","122330","Alexander Bublik","6-3 6-3","2026-01-05-hong-kong-hong-kong-2026-hard-round-of-16-122330-122298","true"
"2026-0336","hong-kong-hong-kong-2026-hard","Hong Kong Hong Kong","2026","2026-01-05","Hard","Round of 16","Round of 16","40","MS009","9.0","209992","Juncheng Shang","132283","Lorenzo Sonego","209992","Juncheng Shang","6-3 6-4","2026-01-05-hong-kong-hong-kong-2026-hard-round-of-16-209992-132283","true"
