"tournament_id","tournament_slug","tournament_name","year","match_date","surface","round","round_display","round_order","id_num","draw_match_number","player_1_id","player_1_name","player_2_id","player_2_name","winner_id","winner_name","score","match_id","has_match_statistics"
"2026-0717","houston-united-states-2026-clay","Houston United States","2026","2026-03-30","Clay","Round of 32","Round of 32","30","MS017","17.0","209226","Adolfo Daniel Vallejo","208260","Zachary Svajda","209226","Adolfo Daniel Vallejo","6-1 6-4","2026-03-30-houston-united-states-2026-clay-round-of-32-209226-208260","true"
"2026-0717","houston-united-states-2026-clay","Houston United States","2026","2026-03-30","Clay","Round of 32","Round of 32","30","MS018","18.0","144869","Tomas Martin Etcheverry","144870","Federico Agustin Gomez","144869","Tomas Martin Etcheverry","1-6 6-1 6-4","2026-03-30-houston-united-states-2026-clay-round-of-32-144869-144870","true"
"2026-0717","houston-united-states-2026-clay","Houston United States","2026","2026-03-30","Clay","Round of 32","Round of 32","30","MS019","19.0","106109","Alex Bolt","200059","Yibing Wu","106109","Alex Bolt","7-6(6) 6-2","2026-03-30-houston-united-states-2026-clay-round-of-32-106109-200059","true"
"2026-0717","houston-united-states-2026-clay","Houston United States","2026","2026-03-30","Clay","Round of 32","Round of 32","30","MS021","21.0","208014","Rinky Hijikata","206499","Aleksandar Kovacevic","208014","Rinky Hijikata","6-4 6-2","2026-03-30-houston-united-states-2026-clay-round-of-32-208014-206499","true"
"2026-0717","houston-united-states-2026-clay","Houston United States","2026","2026-03-30","Clay","Round of 32","Round of 32","30","MS022","22.0","200615","Alexei Popyrin","200516","Patrick Kypson","200615","Alexei Popyrin","4-6 6-4 6-3","2026-03-30-houston-united-states-2026-clay-round-of-32-200615-200516","true"
"2026-0717","houston-united-states-2026-clay","Houston United States","2026","2026-03-30","Clay","Round of 32","Round of 32","30","MS023","23.0","210506","Alex Michelsen","209409","Coleman Wong","210506","Alex Michelsen","6-4 6-2","2026-03-30-houston-united-states-2026-clay-round-of-32-210506-209409","true"
"2026-0717","houston-united-states-2026-clay","Houston United States","2026","2026-03-30","Clay","Round of 32","Round of 32","30","MS024","24.0","208882","Roman Andres Burruchaga","200443","Adam Walton","208882","Roman Andres Burruchaga","6-2 6-3","2026-03-30-houston-united-states-2026-clay-round-of-32-208882-200443","true"
"2026-0717","houston-united-states-2026-clay","Houston United States","2026","2026-03-30","Clay","Round of 32","Round of 32","30","MS025","25.0","206909","Brandon Nakashima","102093","Martin Damm","206909","Brandon Nakashima","7-6(0) 6-2","2026-03-30-houston-united-states-2026-clay-round-of-32-206909-102093","true"
"2026-0717","houston-united-states-2026-clay","Houston United States","2026","2026-03-30","Clay","Round of 32","Round of 32","30","MS027","27.0","210460","Nishesh Basavareddy","208119","Liam Draxl","210460","Nishesh Basavareddy","6-3 2-6 6-4","2026-03-30-houston-united-states-2026-clay-round-of-32-210460-208119","true"
"2026-0717","houston-united-states-2026-clay","Houston United States","2026","2026-03-30","Clay","Round of 32","Round of 32","30","MS028","28.0","202058","Thiago Agustin Tirante","212256","Colton Smith","202058","Thiago Agustin Tirante","6-0 6-3","2026-03-30-houston-united-states-2026-clay-round-of-32-202058-212256","true"
"2026-0717","houston-united-states-2026-clay","Houston United States","2026","2026-03-30","Clay","Round of 32","Round of 32","30","MS029","29.0","111456","Mackenzie Mcdonald","202385","Jenson Brooksby","111456","Mackenzie Mcdonald","6-4 6-2","2026-03-30-houston-united-states-2026-clay-round-of-32-111456-202385","true"
"2026-0717","houston-united-states-2026-clay","Houston United States","2026","2026-03-30","Clay","Round of 32","Round of 32","30","MS031","31.0","111190","Zhizhen Zhang","209957","Jack Pinnington Jones","111190","Zhizhen Zhang","6-1 6-3","2026-03-30-houston-united-states-2026-clay-round-of-32-111190-209957","true"
"2026-0717","houston-united-states-2026-clay","Houston United States","2026","2026-03-30","Clay","Round of 16","Round of 16","40","MS008","8.0","126205","Tommy Paul","209226","Adolfo Daniel Vallejo","126205","Tommy Paul","3-6 6-4 6-4","2026-03-30-houston-united-states-2026-clay-round-of-16-126205-209226","true"
"2026-0717","houston-united-states-2026-clay","Houston United States","2026","2026-03-30","Clay","Round of 16","Round of 16","40","MS009","9.0","144869","Tomas Martin Etcheverry","106109","Alex Bolt","144869","Tomas Martin Etcheverry","6-7(5) 6-0 6-3","2026-03-30-houston-united-states-2026-clay-round-of-16-144869-106109","true"
"2026-0717","houston-united-states-2026-clay","Houston United States","2026","2026-03-30","Clay","Round of 16","Round of 16","40","MS010","10.0","126207","Frances Tiafoe","208014","Rinky Hijikata","126207","Frances Tiafoe","6-4 3-6 6-2","2026-03-30-houston-united-states-2026-clay-round-of-16-126207-208014","true"
"2026-0717","houston-united-states-2026-clay","Houston United States","2026","2026-03-30","Clay","Round of 16","Round of 16","40","MS011","11.0","200615","Alexei Popyrin","210506","Alex Michelsen","200615","Alexei Popyrin","6-0 4-6 6-1","2026-03-30-houston-united-states-2026-clay-round-of-16-200615-210506","true"
"2026-0717","houston-united-states-2026-clay","Houston United States","2026","2026-03-30","Clay","Round of 16","Round of 16","40","MS012","12.0","208882","Roman Andres Burruchaga","206909","Brandon Nakashima","208882","Roman Andres Burruchaga","6-4 2-6 6-4","2026-03-30-houston-united-states-2026-clay-round-of-16-208882-206909","true"
"2026-0717","houston-united-states-2026-clay","Houston United States","2026","2026-03-30","Clay","Round of 16","Round of 16","40","MS013","13.0","210530","Learner Tien","210460","Nishesh Basavareddy","210530","Learner Tien","6-3 3-6 6-1","2026-03-30-houston-united-states-2026-clay-round-of-16-210530-210460","true"
