"tournament_id","tournament_slug","tournament_name","year","match_date","surface","round","round_display","round_order","id_num","draw_match_number","player_1_id","player_1_name","player_2_id","player_2_name","winner_id","winner_name","score","match_id","has_match_statistics"
"2026-0404","indian-wells-united-states-2026-hard","Indian Wells United States","2026","2026-03-04","Hard","Round of 64","Round of 64","20","","","207989","Carlos Alcaraz","105777","Grigor Dimitrov","207989","Carlos Alcaraz","6-2 6-3","2026-03-04-indian-wells-united-states-2026-hard-round-of-64-207989-105777","true"
"2026-0404","indian-wells-united-states-2026-hard","Indian Wells United States","2026","2026-03-04","Hard","Round of 64","Round of 64","20","","","126239","Arthur Rinderknech","207678","Juan Manuel Cerundolo","126239","Arthur Rinderknech","W/O","2026-03-04-indian-wells-united-states-2026-hard-round-of-64-126239-207678","true"
"2026-0404","indian-wells-united-states-2026-hard","Indian Wells United States","2026","2026-03-04","Hard","Round of 64","Round of 64","20","","","200473","Valentin Vacherot","132686","Nuno Borges","200473","Valentin Vacherot","7-5 7-5","2026-03-04-indian-wells-united-states-2026-hard-round-of-64-200473-132686","true"
"2026-0404","indian-wells-united-states-2026-hard","Indian Wells United States","2026","2026-03-04","Hard","Round of 64","Round of 64","20","","","134770","Casper Ruud","207686","Alexander Shevchenko","134770","Casper Ruud","6-1 7-6(4)","2026-03-04-indian-wells-united-states-2026-hard-round-of-64-134770-207686","true"
"2026-0404","indian-wells-united-states-2026-hard","Indian Wells United States","2026","2026-03-04","Hard","Round of 64","Round of 64","20","","","122330","Alexander Bublik","200240","Vit Kopriva","122330","Alexander Bublik","3-6 7-6(3) 6-2","2026-03-04-indian-wells-united-states-2026-hard-round-of-64-122330-200240","true"
"2026-0404","indian-wells-united-states-2026-hard","Indian Wells United States","2026","2026-03-04","Hard","Round of 64","Round of 64","20","","","208014","Rinky Hijikata","209260","Luciano Darderi","208014","Rinky Hijikata","4-6 6-2 6-4","2026-03-04-indian-wells-united-states-2026-hard-round-of-64-208014-209260","true"
"2026-0404","indian-wells-united-states-2026-hard","Indian Wells United States","2026","2026-03-04","Hard","Round of 64","Round of 64","20","","","111815","Cameron Norrie","111456","Mackenzie Mcdonald","111815","Cameron Norrie","6-2 6-3","2026-03-04-indian-wells-united-states-2026-hard-round-of-64-111815-111456","true"
"2026-0404","indian-wells-united-states-2026-hard","Indian Wells United States","2026","2026-03-04","Hard","Round of 64","Round of 64","20","","","200282","Alex De Minaur","200624","Sebastian Korda","200282","Alex De Minaur","4-6 6-4 6-4","2026-03-04-indian-wells-united-states-2026-hard-round-of-64-200282-200624","true"
"2026-0404","indian-wells-united-states-2026-hard","Indian Wells United States","2026","2026-03-04","Hard","Round of 64","Round of 64","20","","","104925","Novak Djokovic","111794","Kamil Majchrzak","104925","Novak Djokovic","4-6 6-1 6-2","2026-03-04-indian-wells-united-states-2026-hard-round-of-64-104925-111794","true"
"2026-0404","indian-wells-united-states-2026-hard","Indian Wells United States","2026","2026-03-04","Hard","Round of 64","Round of 64","20","","","206499","Aleksandar Kovacevic","144895","Corentin Moutet","206499","Aleksandar Kovacevic","6-1 6-4","2026-03-04-indian-wells-united-states-2026-hard-round-of-64-206499-144895","true"
