"tournament_id","tournament_slug","tournament_name","year","match_date","surface","round","round_display","round_order","id_num","draw_match_number","player_1_id","player_1_name","player_2_id","player_2_name","winner_id","winner_name","score","match_id","has_match_statistics"
"2026-0319","kitzbuhel-austria-2026-clay","Kitzbuhel Austria","2026","2026-07-20","Clay","Round of 32","Round of 32","30","MS017","17.0","207680","Facundo Diaz Acosta","210748","Federico Cina","207680","Facundo Diaz Acosta","4-6 6-3 6-4","2026-07-20-kitzbuhel-austria-2026-clay-round-of-32-207680-210748","true"
"2026-0319","kitzbuhel-austria-2026-clay","Kitzbuhel Austria","2026","2026-07-20","Clay","Round of 32","Round of 32","30","MS018","18.0","144684","Alex Molcan","124116","Sebastian Ofner","144684","Alex Molcan","6-4 6-4","2026-07-20-kitzbuhel-austria-2026-clay-round-of-32-144684-124116","true"
"2026-0319","kitzbuhel-austria-2026-clay","Kitzbuhel Austria","2026","2026-07-20","Clay","Round of 32","Round of 32","30","MS019","19.0","127157","Daniel Altmaier","209920","Raphael Collignon","127157","Daniel Altmaier","6-3 6-2","2026-07-20-kitzbuhel-austria-2026-clay-round-of-32-127157-209920","true"
"2026-0319","kitzbuhel-austria-2026-clay","Kitzbuhel Austria","2026","2026-07-20","Clay","Round of 32","Round of 32","30","MS021","21.0","200514","Jurij Rodionov","212082","Joel Schwaerzler","200514","Jurij Rodionov","6-4 6-2","2026-07-20-kitzbuhel-austria-2026-clay-round-of-32-200514-212082","true"
"2026-0319","kitzbuhel-austria-2026-clay","Kitzbuhel Austria","2026","2026-07-20","Clay","Round of 32","Round of 32","30","MS022","22.0","210005","Kilian Feldbausch","209226","Adolfo Daniel Vallejo","210005","Kilian Feldbausch","7-6(2) 6-1","2026-07-20-kitzbuhel-austria-2026-clay-round-of-32-210005-209226","true"
"2026-0319","kitzbuhel-austria-2026-clay","Kitzbuhel Austria","2026","2026-07-20","Clay","Round of 32","Round of 32","30","MS023","23.0","209860","Ignacio Buse","200240","Vit Kopriva","209860","Ignacio Buse","7-5 6-7(3) 6-1","2026-07-20-kitzbuhel-austria-2026-clay-round-of-32-209860-200240","true"
"2026-0319","kitzbuhel-austria-2026-clay","Kitzbuhel Austria","2026","2026-07-20","Clay","Round of 32","Round of 32","30","MS024","24.0","105477","Marco Trungelliti","207678","Juan Manuel Cerundolo","105477","Marco Trungelliti","6-2 6-1","2026-07-20-kitzbuhel-austria-2026-clay-round-of-32-105477-207678","true"
"2026-0319","kitzbuhel-austria-2026-clay","Kitzbuhel Austria","2026","2026-07-20","Clay","Round of 32","Round of 32","30","MS025","25.0","105870","Yannick Hanfmann","209903","Lukas Neumayer","105870","Yannick Hanfmann","7-6(5) 6-4","2026-07-20-kitzbuhel-austria-2026-clay-round-of-32-105870-209903","true"
"2026-0319","kitzbuhel-austria-2026-clay","Kitzbuhel Austria","2026","2026-07-20","Clay","Round of 32","Round of 32","30","MS026","26.0","202104","Sebastian Baez","200175","Miomir Kecmanovic","202104","Sebastian Baez","6-3 3-6 6-4","2026-07-20-kitzbuhel-austria-2026-clay-round-of-32-202104-200175","true"
"2026-0319","kitzbuhel-austria-2026-clay","Kitzbuhel Austria","2026","2026-07-20","Clay","Round of 32","Round of 32","30","MS028","28.0","105526","Jan Lennard Struff","207686","Alexander Shevchenko","105526","Jan Lennard Struff","3-6 7-6(5) 6-4","2026-07-20-kitzbuhel-austria-2026-clay-round-of-32-105526-207686","true"
"2026-0319","kitzbuhel-austria-2026-clay","Kitzbuhel Austria","2026","2026-07-20","Clay","Round of 32","Round of 32","30","MS029","29.0","208363","Mariano Navone","124186","Alexandre Muller","208363","Mariano Navone","6-4 6-0","2026-07-20-kitzbuhel-austria-2026-clay-round-of-32-208363-124186","true"
"2026-0319","kitzbuhel-austria-2026-clay","Kitzbuhel Austria","2026","2026-07-20","Clay","Round of 32","Round of 32","30","MS030","30.0","111460","Quentin Halys","111513","Laslo Djere","111460","Quentin Halys","7-6(4) 6-4","2026-07-20-kitzbuhel-austria-2026-clay-round-of-32-111460-111513","true"
"2026-0319","kitzbuhel-austria-2026-clay","Kitzbuhel Austria","2026","2026-07-20","Clay","Round of 16","Round of 16","40","MS008","8.0","122330","Alexander Bublik","207680","Facundo Diaz Acosta","122330","Alexander Bublik","6-3 7-5","2026-07-20-kitzbuhel-austria-2026-clay-round-of-16-122330-207680","true"
"2026-0319","kitzbuhel-austria-2026-clay","Kitzbuhel Austria","2026","2026-07-20","Clay","Round of 16","Round of 16","40","MS009","9.0","144684","Alex Molcan","127157","Daniel Altmaier","144684","Alex Molcan","6-3 3-6 7-5","2026-07-20-kitzbuhel-austria-2026-clay-round-of-16-144684-127157","true"
"2026-0319","kitzbuhel-austria-2026-clay","Kitzbuhel Austria","2026","2026-07-20","Clay","Round of 16","Round of 16","40","MS010","10.0","144869","Tomas Martin Etcheverry","200514","Jurij Rodionov","144869","Tomas Martin Etcheverry","6-2 7-6(4)","2026-07-20-kitzbuhel-austria-2026-clay-round-of-16-144869-200514","true"
"2026-0319","kitzbuhel-austria-2026-clay","Kitzbuhel Austria","2026","2026-07-20","Clay","Round of 16","Round of 16","40","MS011","11.0","209860","Ignacio Buse","210005","Kilian Feldbausch","209860","Ignacio Buse","2-6 6-2 6-2","2026-07-20-kitzbuhel-austria-2026-clay-round-of-16-209860-210005","true"
"2026-0319","kitzbuhel-austria-2026-clay","Kitzbuhel Austria","2026","2026-07-20","Clay","Round of 16","Round of 16","40","MS012","12.0","105870","Yannick Hanfmann","105477","Marco Trungelliti","105870","Yannick Hanfmann","6-4 7-6(2)","2026-07-20-kitzbuhel-austria-2026-clay-round-of-16-105870-105477","true"
"2026-0319","kitzbuhel-austria-2026-clay","Kitzbuhel Austria","2026","2026-07-20","Clay","Round of 16","Round of 16","40","MS013","13.0","202104","Sebastian Baez","126239","Arthur Rinderknech","202104","Sebastian Baez","7-6(6) 2-6 6-4","2026-07-20-kitzbuhel-austria-2026-clay-round-of-16-202104-126239","true"
"2026-0319","kitzbuhel-austria-2026-clay","Kitzbuhel Austria","2026","2026-07-20","Clay","Round of 16","Round of 16","40","MS014","14.0","208363","Mariano Navone","105526","Jan Lennard Struff","208363","Mariano Navone","6-0 6-3","2026-07-20-kitzbuhel-austria-2026-clay-round-of-16-208363-105526","true"
"2026-0319","kitzbuhel-austria-2026-clay","Kitzbuhel Austria","2026","2026-07-20","Clay","Round of 16","Round of 16","40","MS015","15.0","111460","Quentin Halys","200473","Valentin Vacherot","111460","Quentin Halys","6-3 6-4","2026-07-20-kitzbuhel-austria-2026-clay-round-of-16-111460-200473","true"
