"tournament_id","tournament_slug","tournament_name","year","match_date","surface","round","round_display","round_order","id_num","draw_match_number","player_1_id","player_1_name","player_2_id","player_2_name","winner_id","winner_name","score","match_id","has_match_statistics"
"2026-7480","los-cabos-mexico-2026-hard","Los Cabos Mexico","2026","2026-07-27","Hard","Round of 32","Round of 32","30","MS017","17.0","209409","Coleman Wong","210464","Darwin Blanch","209409","Coleman Wong","6-3 6-4","2026-07-27-los-cabos-mexico-2026-hard-round-of-32-209409-210464","true"
"2026-7480","los-cabos-mexico-2026-hard","Los Cabos Mexico","2026","2026-07-27","Hard","Round of 32","Round of 32","30","MS018","18.0","210399","Edward Winter","213608","Moise Kouame","210399","Edward Winter","6-1 6-4","2026-07-27-los-cabos-mexico-2026-hard-round-of-32-210399-213608","true"
"2026-7480","los-cabos-mexico-2026-hard","Los Cabos Mexico","2026","2026-07-27","Hard","Round of 32","Round of 32","30","MS019","19.0","202385","Jenson Brooksby","144895","Corentin Moutet","202385","Jenson Brooksby","6-4 6-4","2026-07-27-los-cabos-mexico-2026-hard-round-of-32-202385-144895","true"
"2026-7480","los-cabos-mexico-2026-hard","Los Cabos Mexico","2026","2026-07-27","Hard","Round of 32","Round of 32","30","MS021","21.0","207729","Tristan Boyer","209113","Gabriel Diallo","207729","Tristan Boyer","7-5 6-2","2026-07-27-los-cabos-mexico-2026-hard-round-of-32-207729-209113","true"
"2026-7480","los-cabos-mexico-2026-hard","Los Cabos Mexico","2026","2026-07-27","Hard","Round of 32","Round of 32","30","MS022","22.0","210338","Arthur Gea","126952","Soon Woo Kwon","210338","Arthur Gea","6-4 6-7(8) 6-2","2026-07-27-los-cabos-mexico-2026-hard-round-of-32-210338-126952","true"
"2026-7480","los-cabos-mexico-2026-hard","Los Cabos Mexico","2026","2026-07-27","Hard","Round of 32","Round of 32","30","MS023","23.0","210116","Michael Zheng","212021","Martin Landaluce","210116","Michael Zheng","6-4 6-3","2026-07-27-los-cabos-mexico-2026-hard-round-of-32-210116-212021","true"
"2026-7480","los-cabos-mexico-2026-hard","Los Cabos Mexico","2026","2026-07-27","Hard","Round of 32","Round of 32","30","MS024","24.0","111815","Cameron Norrie","206499","Aleksandar Kovacevic","111815","Cameron Norrie","6-4 6-1","2026-07-27-los-cabos-mexico-2026-hard-round-of-32-111815-206499","true"
"2026-7480","los-cabos-mexico-2026-hard","Los Cabos Mexico","2026","2026-07-27","Hard","Round of 32","Round of 32","30","MS025","25.0","105902","James Duckworth","208854","Aidan Mayo","105902","James Duckworth","4-6 6-3 6-4","2026-07-27-los-cabos-mexico-2026-hard-round-of-32-105902-208854","true"
"2026-7480","los-cabos-mexico-2026-hard","Los Cabos Mexico","2026","2026-07-27","Hard","Round of 32","Round of 32","30","MS026","26.0","106071","Bernard Tomic","207834","Juan Alejandro Hernandez Serrano","106071","Bernard Tomic","6-1 6-0","2026-07-27-los-cabos-mexico-2026-hard-round-of-32-106071-207834","true"
"2026-7480","los-cabos-mexico-2026-hard","Los Cabos Mexico","2026","2026-07-27","Hard","Round of 32","Round of 32","30","MS028","28.0","133430","Denis Shapovalov","208014","Rinky Hijikata","133430","Denis Shapovalov","2-6 6-3 6-2","2026-07-27-los-cabos-mexico-2026-hard-round-of-32-133430-208014","true"
"2026-7480","los-cabos-mexico-2026-hard","Los Cabos Mexico","2026","2026-07-27","Hard","Round of 32","Round of 32","30","MS029","29.0","210202","Rodrigo Pacheco Mendez","200647","Sho Shimabukuro","210202","Rodrigo Pacheco Mendez","6-7(4) 7-5 6-2","2026-07-27-los-cabos-mexico-2026-hard-round-of-32-210202-200647","true"
"2026-7480","los-cabos-mexico-2026-hard","Los Cabos Mexico","2026","2026-07-27","Hard","Round of 32","Round of 32","30","MS030","30.0","207494","Dalibor Svrcina","200443","Adam Walton","207494","Dalibor Svrcina","6-7(2) 7-6(2) 6-3","2026-07-27-los-cabos-mexico-2026-hard-round-of-32-207494-200443","true"
"2026-7480","los-cabos-mexico-2026-hard","Los Cabos Mexico","2026","2026-07-27","Hard","1st Round Qualifying","1st Round Qualifying","80","QS014","","208854","Aidan Mayo","105960","Evan King","208854","Aidan Mayo","6-4 6-2","2026-07-27-los-cabos-mexico-2026-hard-1st-round-qualifying-208854-105960","true"
"2026-7480","los-cabos-mexico-2026-hard","Los Cabos Mexico","2026","2026-07-27","Hard","1st Round Qualifying","1st Round Qualifying","80","QS011","","210399","Edward Winter","210545","Luis Carlos Alvarez","210399","Edward Winter","3-6 6-4 6-2","2026-07-27-los-cabos-mexico-2026-hard-1st-round-qualifying-210399-210545","true"
