"tournament_id","tournament_slug","tournament_name","year","match_date","surface","round","round_display","round_order","id_num","draw_match_number","player_1_id","player_1_name","player_2_id","player_2_name","winner_id","winner_name","score","match_id","has_match_statistics"
"2026-1536","madrid-spain-2026-clay","Madrid Spain","2026","2026-04-22","Clay","Round of 64","Round of 64","20","","","206173","Jannik Sinner","126127","Benjamin Bonzi","206173","Jannik Sinner","6-7(6) 6-1 6-4","2026-04-22-madrid-spain-2026-clay-round-of-64-206173-126127","true"
"2026-1536","madrid-spain-2026-clay","Madrid Spain","2026","2026-04-22","Clay","Round of 64","Round of 64","20","","","209284","Elmer Moller","209113","Gabriel Diallo","209284","Elmer Moller","7-5 3-3 RET","2026-04-22-madrid-spain-2026-clay-round-of-64-209284-209113","true"
"2026-1536","madrid-spain-2026-clay","Madrid Spain","2026","2026-04-22","Clay","Round of 64","Round of 64","20","","","111815","Cameron Norrie","207830","Tomas Machac","111815","Cameron Norrie","6-2 6-7(6) 7-6(5)","2026-04-22-madrid-spain-2026-clay-round-of-64-111815-207830","true"
"2026-1536","madrid-spain-2026-clay","Madrid Spain","2026","2026-04-22","Clay","Round of 64","Round of 64","20","","","202058","Thiago Agustin Tirante","126205","Tommy Paul","202058","Thiago Agustin Tirante","7-5 6-4","2026-04-22-madrid-spain-2026-clay-round-of-64-202058-126205","true"
"2026-1536","madrid-spain-2026-clay","Madrid Spain","2026","2026-04-22","Clay","Round of 64","Round of 64","20","","","200240","Vit Kopriva","126094","Andrey Rublev","200240","Vit Kopriva","6-3 6-4","2026-04-22-madrid-spain-2026-clay-round-of-64-200240-126094","true"
"2026-1536","madrid-spain-2026-clay","Madrid Spain","2026","2026-04-22","Clay","Round of 64","Round of 64","20","","","126239","Arthur Rinderknech","105583","Dusan Lajovic","126239","Arthur Rinderknech","6-3 6-2","2026-04-22-madrid-spain-2026-clay-round-of-64-126239-105583","true"
"2026-1536","madrid-spain-2026-clay","Madrid Spain","2026","2026-04-22","Clay","Round of 64","Round of 64","20","","","211663","Joao Fonseca","105227","Marin Cilic","211663","Joao Fonseca","W/O","2026-04-22-madrid-spain-2026-clay-round-of-64-211663-105227","true"
"2026-1536","madrid-spain-2026-clay","Madrid Spain","2026","2026-04-22","Clay","Round of 64","Round of 64","20","","","212588","Rafael Jodar","200282","Alex De Minaur","212588","Rafael Jodar","6-3 6-1","2026-04-22-madrid-spain-2026-clay-round-of-64-212588-200282","true"
"2026-1536","madrid-spain-2026-clay","Madrid Spain","2026","2026-04-22","Clay","Round of 64","Round of 64","20","","","209976","Dino Prizmic","210097","Ben Shelton","209976","Dino Prizmic","6-4 6-7(4) 7-6(5)","2026-04-22-madrid-spain-2026-clay-round-of-64-209976-210097","true"
"2026-1536","madrid-spain-2026-clay","Madrid Spain","2026","2026-04-22","Clay","Round of 64","Round of 64","20","","","144869","Tomas Martin Etcheverry","124116","Sebastian Ofner","144869","Tomas Martin Etcheverry","6-4 6-4","2026-04-22-madrid-spain-2026-clay-round-of-64-144869-124116","true"
"2026-1536","madrid-spain-2026-clay","Madrid Spain","2026","2026-04-22","Clay","Round of 64","Round of 64","20","","","209950","Arthur Fils","209860","Ignacio Buse","209950","Arthur Fils","6-7(4) 7-6(3) 7-5","2026-04-22-madrid-spain-2026-clay-round-of-64-209950-209860","true"
"2026-1536","madrid-spain-2026-clay","Madrid Spain","2026","2026-04-22","Clay","Round of 64","Round of 64","20","","","207182","Emilio Nava","200473","Valentin Vacherot","207182","Emilio Nava","6-7(5) 7-6(1) 6-3","2026-04-22-madrid-spain-2026-clay-round-of-64-207182-200473","true"
"2026-1536","madrid-spain-2026-clay","Madrid Spain","2026","2026-04-22","Clay","Round of 64","Round of 64","20","","","208103","Jiri Lehecka","126214","Alejandro Tabilo","208103","Jiri Lehecka","3-6 7-6(3) 6-4","2026-04-22-madrid-spain-2026-clay-round-of-64-208103-126214","true"
"2026-1536","madrid-spain-2026-clay","Madrid Spain","2026","2026-04-22","Clay","Round of 64","Round of 64","20","","","210506","Alex Michelsen","105526","Jan Lennard Struff","210506","Alex Michelsen","6-2 6-1","2026-04-22-madrid-spain-2026-clay-round-of-64-210506-105526","true"
"2026-1536","madrid-spain-2026-clay","Madrid Spain","2026","2026-04-22","Clay","Round of 64","Round of 64","20","","","134868","Tallon Griekspoor","106000","Damir Dzumhur","134868","Tallon Griekspoor","6-3 6-4","2026-04-22-madrid-spain-2026-clay-round-of-64-134868-106000","true"
"2026-1536","madrid-spain-2026-clay","Madrid Spain","2026","2026-04-22","Clay","Round of 64","Round of 64","20","","","207518","Lorenzo Musetti","128034","Hubert Hurkacz","207518","Lorenzo Musetti","6-4 7-6(4)","2026-04-22-madrid-spain-2026-clay-round-of-64-207518-128034","true"
