"tournament_id","tournament_slug","tournament_name","year","match_date","surface","round","round_display","round_order","id_num","draw_match_number","player_1_id","player_1_name","player_2_id","player_2_name","winner_id","winner_name","score","match_id","has_match_statistics"
"2026-8994","mallorca-spain-2026-grass","Mallorca Spain","2026","2026-06-21","Grass","Round of 32","Round of 32","30","MS017","17.0","105870","Yannick Hanfmann","209226","Adolfo Daniel Vallejo","105870","Yannick Hanfmann","7-6(2) 7-6(2)","2026-06-21-mallorca-spain-2026-grass-round-of-32-105870-209226","true"
"2026-8994","mallorca-spain-2026-grass","Mallorca Spain","2026","2026-06-21","Grass","Round of 32","Round of 32","30","MS018","18.0","105526","Jan Lennard Struff","212021","Martin Landaluce","105526","Jan Lennard Struff","6-3 1-6 7-5","2026-06-21-mallorca-spain-2026-grass-round-of-32-105526-212021","true"
"2026-8994","mallorca-spain-2026-grass","Mallorca Spain","2026","2026-06-21","Grass","Round of 32","Round of 32","30","MS019","19.0","132686","Nuno Borges","105173","Adrian Mannarino","132686","Nuno Borges","6-2 6-2","2026-06-21-mallorca-spain-2026-grass-round-of-32-132686-105173","true"
"2026-8994","mallorca-spain-2026-grass","Mallorca Spain","2026","2026-06-21","Grass","Round of 32","Round of 32","30","MS021","21.0","210319","Ethan Quinn","208316","Valentin Royer","210319","Ethan Quinn","6-4 6-3","2026-06-21-mallorca-spain-2026-grass-round-of-32-210319-208316","true"
"2026-8994","mallorca-spain-2026-grass","Mallorca Spain","2026","2026-06-21","Grass","Round of 32","Round of 32","30","MS022","22.0","200240","Vit Kopriva","106000","Damir Dzumhur","200240","Vit Kopriva","6-3 6-4","2026-06-21-mallorca-spain-2026-grass-round-of-32-200240-106000","true"
"2026-8994","mallorca-spain-2026-grass","Mallorca Spain","2026","2026-06-21","Grass","Round of 32","Round of 32","30","MS023","23.0","209860","Ignacio Buse","126774","Stefanos Tsitsipas","209860","Ignacio Buse","7-6(4) 6-3","2026-06-21-mallorca-spain-2026-grass-round-of-32-209860-126774","true"
"2026-8994","mallorca-spain-2026-grass","Mallorca Spain","2026","2026-06-21","Grass","Round of 32","Round of 32","30","MS024","24.0","132283","Lorenzo Sonego","208363","Mariano Navone","132283","Lorenzo Sonego","7-6(2) 2-6 6-4","2026-06-21-mallorca-spain-2026-grass-round-of-32-132283-208363","true"
"2026-8994","mallorca-spain-2026-grass","Mallorca Spain","2026","2026-06-21","Grass","Round of 32","Round of 32","30","MS025","25.0","200175","Miomir Kecmanovic","211577","Antoine Ghibaudo","200175","Miomir Kecmanovic","2-6 6-3 7-6(6)","2026-06-21-mallorca-spain-2026-grass-round-of-32-200175-211577","true"
"2026-8994","mallorca-spain-2026-grass","Mallorca Spain","2026","2026-06-21","Grass","Round of 32","Round of 32","30","MS026","26.0","206681","Fabian Marozsan","144684","Alex Molcan","206681","Fabian Marozsan","2-6 7-6(10) 7-6(5)","2026-06-21-mallorca-spain-2026-grass-round-of-32-206681-144684","true"
"2026-8994","mallorca-spain-2026-grass","Mallorca Spain","2026","2026-06-21","Grass","Round of 32","Round of 32","30","MS028","28.0","209406","Abedallah Shelbayh","144895","Corentin Moutet","209406","Abedallah Shelbayh","7-5 6-4","2026-06-21-mallorca-spain-2026-grass-round-of-32-209406-144895","true"
"2026-8994","mallorca-spain-2026-grass","Mallorca Spain","2026","2026-06-21","Grass","Round of 32","Round of 32","30","MS029","29.0","105777","Grigor Dimitrov","117360","Marc Polmans","105777","Grigor Dimitrov","6-1 7-6(3)","2026-06-21-mallorca-spain-2026-grass-round-of-32-105777-117360","true"
"2026-8994","mallorca-spain-2026-grass","Mallorca Spain","2026","2026-06-21","Grass","Round of 32","Round of 32","30","MS030","30.0","200443","Adam Walton","106401","Nick Kyrgios","200443","Adam Walton","6-3 6-4","2026-06-21-mallorca-spain-2026-grass-round-of-32-200443-106401","true"
"2026-8994","mallorca-spain-2026-grass","Mallorca Spain","2026","2026-06-21","Grass","Round of 16","Round of 16","40","MS008","8.0","209260","Luciano Darderi","105870","Yannick Hanfmann","209260","Luciano Darderi","7-5 6-3","2026-06-21-mallorca-spain-2026-grass-round-of-16-209260-105870","true"
"2026-8994","mallorca-spain-2026-grass","Mallorca Spain","2026","2026-06-21","Grass","Round of 16","Round of 16","40","MS009","9.0","132686","Nuno Borges","105526","Jan Lennard Struff","132686","Nuno Borges","6-4 7-5","2026-06-21-mallorca-spain-2026-grass-round-of-16-132686-105526","true"
"2026-8994","mallorca-spain-2026-grass","Mallorca Spain","2026","2026-06-21","Grass","Round of 16","Round of 16","40","MS010","10.0","210319","Ethan Quinn","209326","Murphy Cassone","210319","Ethan Quinn","6-3 6-7(4) 6-3","2026-06-21-mallorca-spain-2026-grass-round-of-16-210319-209326","true"
"2026-8994","mallorca-spain-2026-grass","Mallorca Spain","2026","2026-06-21","Grass","Round of 16","Round of 16","40","MS011","11.0","200240","Vit Kopriva","209860","Ignacio Buse","200240","Vit Kopriva","7-5 6-1","2026-06-21-mallorca-spain-2026-grass-round-of-16-200240-209860","true"
"2026-8994","mallorca-spain-2026-grass","Mallorca Spain","2026","2026-06-21","Grass","Round of 16","Round of 16","40","MS012","12.0","200175","Miomir Kecmanovic","132283","Lorenzo Sonego","200175","Miomir Kecmanovic","2-6 7-6(4) 6-4","2026-06-21-mallorca-spain-2026-grass-round-of-16-200175-132283","true"
"2026-8994","mallorca-spain-2026-grass","Mallorca Spain","2026","2026-06-21","Grass","Round of 16","Round of 16","40","MS013","13.0","206681","Fabian Marozsan","126214","Alejandro Tabilo","206681","Fabian Marozsan","6-2 6-3","2026-06-21-mallorca-spain-2026-grass-round-of-16-206681-126214","true"
"2026-8994","mallorca-spain-2026-grass","Mallorca Spain","2026","2026-06-21","Grass","Round of 16","Round of 16","40","MS014","14.0","105777","Grigor Dimitrov","209406","Abedallah Shelbayh","105777","Grigor Dimitrov","6-2 6-4","2026-06-21-mallorca-spain-2026-grass-round-of-16-105777-209406","true"
"2026-8994","mallorca-spain-2026-grass","Mallorca Spain","2026","2026-06-21","Grass","Round of 16","Round of 16","40","MS015","15.0","200221","Alejandro Davidovich Fokina","200443","Adam Walton","200221","Alejandro Davidovich Fokina","6-4 7-5","2026-06-21-mallorca-spain-2026-grass-round-of-16-200221-200443","true"
"2026-8994","mallorca-spain-2026-grass","Mallorca Spain","2026","2026-06-21","Grass","Quarterfinals","Quarterfinals","50","MS004","4.0","132686","Nuno Borges","209260","Luciano Darderi","132686","Nuno Borges","7-6(1) 6-4","2026-06-21-mallorca-spain-2026-grass-quarterfinals-132686-209260","true"
"2026-8994","mallorca-spain-2026-grass","Mallorca Spain","2026","2026-06-21","Grass","Quarterfinals","Quarterfinals","50","MS005","5.0","210319","Ethan Quinn","200240","Vit Kopriva","210319","Ethan Quinn","5-7 7-5 6-3","2026-06-21-mallorca-spain-2026-grass-quarterfinals-210319-200240","true"
"2026-8994","mallorca-spain-2026-grass","Mallorca Spain","2026","2026-06-21","Grass","Quarterfinals","Quarterfinals","50","MS006","6.0","206681","Fabian Marozsan","200175","Miomir Kecmanovic","206681","Fabian Marozsan","6-4 6-3","2026-06-21-mallorca-spain-2026-grass-quarterfinals-206681-200175","true"
"2026-8994","mallorca-spain-2026-grass","Mallorca Spain","2026","2026-06-21","Grass","Quarterfinals","Quarterfinals","50","MS007","7.0","200221","Alejandro Davidovich Fokina","105777","Grigor Dimitrov","200221","Alejandro Davidovich Fokina","6-3 6-3","2026-06-21-mallorca-spain-2026-grass-quarterfinals-200221-105777","true"
"2026-8994","mallorca-spain-2026-grass","Mallorca Spain","2026","2026-06-21","Grass","Semifinals","Semifinals","60","MS002","2.0","210319","Ethan Quinn","132686","Nuno Borges","210319","Ethan Quinn","6-1 6-2","2026-06-21-mallorca-spain-2026-grass-semifinals-210319-132686","true"
"2026-8994","mallorca-spain-2026-grass","Mallorca Spain","2026","2026-06-21","Grass","Semifinals","Semifinals","60","MS003","3.0","200221","Alejandro Davidovich Fokina","206681","Fabian Marozsan","200221","Alejandro Davidovich Fokina","5-7 6-2 6-4","2026-06-21-mallorca-spain-2026-grass-semifinals-200221-206681","true"
"2026-8994","mallorca-spain-2026-grass","Mallorca Spain","2026","2026-06-21","Grass","Final","Final","70","MS001","1.0","200221","Alejandro Davidovich Fokina","210319","Ethan Quinn","200221","Alejandro Davidovich Fokina","7-6(4) 6-3","2026-06-21-mallorca-spain-2026-grass-final-200221-210319","true"
"2026-8994","mallorca-spain-2026-grass","Mallorca Spain","2026","2026-06-21","Grass","1st Round Qualifying","1st Round Qualifying","80","QS013","","117360","Marc Polmans","214018","Jamie Mackenzie","117360","Marc Polmans","7-6(4) 6-1","2026-06-21-mallorca-spain-2026-grass-1st-round-qualifying-117360-214018","true"
"2026-8994","mallorca-spain-2026-grass","Mallorca Spain","2026","2026-06-21","Grass","1st Round Qualifying","1st Round Qualifying","80","QS015","","209326","Murphy Cassone","211542","Filippo Romano","209326","Murphy Cassone","7-5 6-1","2026-06-21-mallorca-spain-2026-grass-1st-round-qualifying-209326-211542","true"
"2026-8994","mallorca-spain-2026-grass","Mallorca Spain","2026","2026-06-21","Grass","1st Round Qualifying","1st Round Qualifying","80","QS011","","211577","Antoine Ghibaudo","209951","Petr Bar Biryukov","211577","Antoine Ghibaudo","6-2 6-4","2026-06-21-mallorca-spain-2026-grass-1st-round-qualifying-211577-209951","true"
"2026-8994","mallorca-spain-2026-grass","Mallorca Spain","2026","2026-06-21","Grass","1st Round Qualifying","1st Round Qualifying","80","QS009","","106000","Damir Dzumhur","105062","Mikhail Kukushkin","106000","Damir Dzumhur","6-2 6-1","2026-06-21-mallorca-spain-2026-grass-1st-round-qualifying-106000-105062","true"
"2026-8994","mallorca-spain-2026-grass","Mallorca Spain","2026","2026-06-21","Grass","1st Round Qualifying","1st Round Qualifying","80","QS014","","144684","Alex Molcan","212949","Ziga Sesko","144684","Alex Molcan","6-2 6-2","2026-06-21-mallorca-spain-2026-grass-1st-round-qualifying-144684-212949","true"
"2026-8994","mallorca-spain-2026-grass","Mallorca Spain","2026","2026-06-21","Grass","1st Round Qualifying","1st Round Qualifying","80","QS012","","209406","Abedallah Shelbayh","207686","Alexander Shevchenko","209406","Abedallah Shelbayh","6-4 6-3","2026-06-21-mallorca-spain-2026-grass-1st-round-qualifying-209406-207686","true"
"2026-8994","mallorca-spain-2026-grass","Mallorca Spain","2026","2026-06-21","Grass","1st Round Qualifying","1st Round Qualifying","80","QS010","","200443","Adam Walton","210682","Federico Bondioli","200443","Adam Walton","6-1 7-5","2026-06-21-mallorca-spain-2026-grass-1st-round-qualifying-200443-210682","true"
