"tournament_id","tournament_slug","tournament_name","year","match_date","surface","round","round_display","round_order","id_num","draw_match_number","player_1_id","player_1_name","player_2_id","player_2_name","winner_id","winner_name","score","match_id","has_match_statistics"
"2026-0360","marrakech-morocco-2026-clay","Marrakech Morocco","2026","2026-03-30","Clay","Round of 32","Round of 32","30","MS016","16.0","212588","Rafael Jodar","105583","Dusan Lajovic","212588","Rafael Jodar","6-3 6-4","2026-03-30-marrakech-morocco-2026-clay-round-of-32-212588-105583","true"
"2026-0360","marrakech-morocco-2026-clay","Marrakech Morocco","2026","2026-03-30","Clay","Round of 32","Round of 32","30","MS018","18.0","124186","Alexandre Muller","210748","Federico Cina","124186","Alexandre Muller","6-2 6-3","2026-03-30-marrakech-morocco-2026-clay-round-of-32-124186-210748","true"
"2026-0360","marrakech-morocco-2026-clay","Marrakech Morocco","2026","2026-03-30","Clay","Round of 32","Round of 32","30","MS019","19.0","200240","Vit Kopriva","209098","Hamad Medjedovic","200240","Vit Kopriva","6-7(4) 7-5 6-2","2026-03-30-marrakech-morocco-2026-clay-round-of-32-200240-209098","true"
"2026-0360","marrakech-morocco-2026-clay","Marrakech Morocco","2026","2026-03-30","Clay","Round of 32","Round of 32","30","MS020","20.0","200116","Camilo Ugo Carabelli","207608","Timofey Skatov","200116","Camilo Ugo Carabelli","6-7(2) 6-3 6-4","2026-03-30-marrakech-morocco-2026-clay-round-of-32-200116-207608","true"
"2026-0360","marrakech-morocco-2026-clay","Marrakech Morocco","2026","2026-03-30","Clay","Round of 32","Round of 32","30","MS021","21.0","209860","Ignacio Buse","126610","Matteo Berrettini","209860","Ignacio Buse","7-6(5) 6-7(2) 6-4","2026-03-30-marrakech-morocco-2026-clay-round-of-32-209860-126610","true"
"2026-0360","marrakech-morocco-2026-clay","Marrakech Morocco","2026","2026-03-30","Clay","Round of 32","Round of 32","30","MS022","22.0","209414","Luca Van Assche","200384","Hugo Gaston","209414","Luca Van Assche","6-4 7-6(5)","2026-03-30-marrakech-morocco-2026-clay-round-of-32-209414-200384","true"
"2026-0360","marrakech-morocco-2026-clay","Marrakech Morocco","2026","2026-03-30","Clay","Round of 32","Round of 32","30","MS024","24.0","105477","Marco Trungelliti","210012","Henrique Rocha","105477","Marco Trungelliti","7-6(5) 6-2","2026-03-30-marrakech-morocco-2026-clay-round-of-32-105477-210012","true"
"2026-0360","marrakech-morocco-2026-clay","Marrakech Morocco","2026","2026-03-30","Clay","Round of 32","Round of 32","30","MS025","25.0","111794","Kamil Majchrzak","207678","Juan Manuel Cerundolo","111794","Kamil Majchrzak","7-6(3) 3-6 6-3","2026-03-30-marrakech-morocco-2026-clay-round-of-32-111794-207678","true"
"2026-0360","marrakech-morocco-2026-clay","Marrakech Morocco","2026","2026-03-30","Clay","Round of 32","Round of 32","30","MS027","27.0","207220","Taha Baadi","126846","Aleksandar Vukic","207220","Taha Baadi","6-2 3-6 6-1","2026-03-30-marrakech-morocco-2026-clay-round-of-32-207220-126846","true"
"2026-0360","marrakech-morocco-2026-clay","Marrakech Morocco","2026","2026-03-30","Clay","Round of 32","Round of 32","30","MS029","29.0","208233","Mattia Bellucci","210730","Reda Bennani","208233","Mattia Bellucci","6-3 3-6 6-4","2026-03-30-marrakech-morocco-2026-clay-round-of-32-208233-210730","true"
"2026-0360","marrakech-morocco-2026-clay","Marrakech Morocco","2026","2026-03-30","Clay","Round of 32","Round of 32","30","MS030","30.0","105870","Yannick Hanfmann","207411","Jesper De Jong","105870","Yannick Hanfmann","7-6(6) 6-4","2026-03-30-marrakech-morocco-2026-clay-round-of-32-105870-207411","true"
"2026-0360","marrakech-morocco-2026-clay","Marrakech Morocco","2026","2026-03-30","Clay","Round of 32","Round of 32","30","MS031","31.0","211558","Karim Bennani","111460","Quentin Halys","211558","Karim Bennani","6-4 6-7(5) 6-2","2026-03-30-marrakech-morocco-2026-clay-round-of-32-211558-111460","true"
"2026-0360","marrakech-morocco-2026-clay","Marrakech Morocco","2026","2026-03-30","Clay","Round of 16","Round of 16","40","MS008","8.0","212588","Rafael Jodar","207830","Tomas Machac","212588","Rafael Jodar","6-4 4-6 6-3","2026-03-30-marrakech-morocco-2026-clay-round-of-16-212588-207830","true"
"2026-0360","marrakech-morocco-2026-clay","Marrakech Morocco","2026","2026-03-30","Clay","Round of 16","Round of 16","40","MS009","9.0","124186","Alexandre Muller","200240","Vit Kopriva","124186","Alexandre Muller","6-3 7-6(3)","2026-03-30-marrakech-morocco-2026-clay-round-of-16-124186-200240","true"
"2026-0360","marrakech-morocco-2026-clay","Marrakech Morocco","2026","2026-03-30","Clay","Round of 16","Round of 16","40","MS010","10.0","200116","Camilo Ugo Carabelli","209860","Ignacio Buse","200116","Camilo Ugo Carabelli","6-3 3-6 7-5","2026-03-30-marrakech-morocco-2026-clay-round-of-16-200116-209860","true"
"2026-0360","marrakech-morocco-2026-clay","Marrakech Morocco","2026","2026-03-30","Clay","Round of 16","Round of 16","40","MS011","11.0","209414","Luca Van Assche","134868","Tallon Griekspoor","209414","Luca Van Assche","6-4 1-6 6-3","2026-03-30-marrakech-morocco-2026-clay-round-of-16-209414-134868","true"
"2026-0360","marrakech-morocco-2026-clay","Marrakech Morocco","2026","2026-03-30","Clay","Round of 16","Round of 16","40","MS012","12.0","105477","Marco Trungelliti","111794","Kamil Majchrzak","105477","Marco Trungelliti","7-6(4) 6-3","2026-03-30-marrakech-morocco-2026-clay-round-of-16-105477-111794","true"
"2026-0360","marrakech-morocco-2026-clay","Marrakech Morocco","2026","2026-03-30","Clay","Round of 16","Round of 16","40","MS013","13.0","144895","Corentin Moutet","207220","Taha Baadi","144895","Corentin Moutet","6-0 6-2","2026-03-30-marrakech-morocco-2026-clay-round-of-16-144895-207220","true"
"2026-0360","marrakech-morocco-2026-clay","Marrakech Morocco","2026","2026-03-30","Clay","Round of 16","Round of 16","40","MS014","14.0","209260","Luciano Darderi","208233","Mattia Bellucci","209260","Luciano Darderi","6-4 6-2","2026-03-30-marrakech-morocco-2026-clay-round-of-16-209260-208233","true"
"2026-0360","marrakech-morocco-2026-clay","Marrakech Morocco","2026","2026-03-30","Clay","Round of 16","Round of 16","40","MS015","15.0","105870","Yannick Hanfmann","211558","Karim Bennani","105870","Yannick Hanfmann","6-4 6-7(3) 6-2","2026-03-30-marrakech-morocco-2026-clay-round-of-16-105870-211558","true"
"2026-0360","marrakech-morocco-2026-clay","Marrakech Morocco","2026","2026-03-30","Clay","Quarter-Finals","Quarter-Finals","50","MS004","4.0","212588","Rafael Jodar","124186","Alexandre Muller","212588","Rafael Jodar","6-2 2-0 RET","2026-03-30-marrakech-morocco-2026-clay-quarter-finals-212588-124186","true"
"2026-0360","marrakech-morocco-2026-clay","Marrakech Morocco","2026","2026-03-30","Clay","Quarter-Finals","Quarter-Finals","50","MS005","5.0","200116","Camilo Ugo Carabelli","209414","Luca Van Assche","200116","Camilo Ugo Carabelli","0-6 6-3 6-2","2026-03-30-marrakech-morocco-2026-clay-quarter-finals-200116-209414","true"
"2026-0360","marrakech-morocco-2026-clay","Marrakech Morocco","2026","2026-03-30","Clay","Quarter-Finals","Quarter-Finals","50","MS006","6.0","105477","Marco Trungelliti","144895","Corentin Moutet","105477","Marco Trungelliti","4-6 6-3 6-4","2026-03-30-marrakech-morocco-2026-clay-quarter-finals-105477-144895","true"
"2026-0360","marrakech-morocco-2026-clay","Marrakech Morocco","2026","2026-03-30","Clay","Quarter-Finals","Quarter-Finals","50","MS007","7.0","209260","Luciano Darderi","105870","Yannick Hanfmann","209260","Luciano Darderi","W/O","2026-03-30-marrakech-morocco-2026-clay-quarter-finals-209260-105870","true"
