"tournament_id","tournament_slug","tournament_name","year","match_date","surface","round","round_display","round_order","id_num","draw_match_number","player_1_id","player_1_name","player_2_id","player_2_name","winner_id","winner_name","score","match_id","has_match_statistics"
"2026-0403","miami-united-states-2026-hard","Miami United States","2026","2026-03-18","Hard","Round of 64","Round of 64","20","","","207989","Carlos Alcaraz","211663","Joao Fonseca","207989","Carlos Alcaraz","6-4 6-4","2026-03-18-miami-united-states-2026-hard-round-of-64-207989-211663","true"
"2026-0403","miami-united-states-2026-hard","Miami United States","2026","2026-03-18","Hard","Round of 64","Round of 64","20","","","200624","Sebastian Korda","200116","Camilo Ugo Carabelli","200624","Sebastian Korda","6-0 6-3","2026-03-18-miami-united-states-2026-hard-round-of-64-200624-200116","true"
"2026-0403","miami-united-states-2026-hard","Miami United States","2026","2026-03-18","Hard","Round of 64","Round of 64","20","","","212021","Martin Landaluce","209260","Luciano Darderi","212021","Martin Landaluce","6-3 6-7(4) 6-4","2026-03-18-miami-united-states-2026-hard-round-of-64-212021-209260","true"
"2026-0403","miami-united-states-2026-hard","Miami United States","2026","2026-03-18","Hard","Round of 64","Round of 64","20","","","111575","Karen Khachanov","105138","Roberto Bautista Agut","111575","Karen Khachanov","6-3 6-3","2026-03-18-miami-united-states-2026-hard-round-of-64-111575-105138","true"
"2026-0403","miami-united-states-2026-hard","Miami United States","2026","2026-03-18","Hard","Round of 64","Round of 64","20","","","210319","Ethan Quinn","134770","Casper Ruud","210319","Ethan Quinn","6-4 7-6(7)","2026-03-18-miami-united-states-2026-hard-round-of-64-210319-134770","true"
"2026-0403","miami-united-states-2026-hard","Miami United States","2026","2026-03-18","Hard","Round of 64","Round of 64","20","","","208103","Jiri Lehecka","213608","Moise Kouame","208103","Jiri Lehecka","6-2 7-5","2026-03-18-miami-united-states-2026-hard-round-of-64-208103-213608","true"
"2026-0403","miami-united-states-2026-hard","Miami United States","2026","2026-03-18","Hard","Round of 64","Round of 64","20","","","124187","Reilly Opelka","207733","Jack Draper","124187","Reilly Opelka","7-6(3) 7-6(0)","2026-03-18-miami-united-states-2026-hard-round-of-64-124187-207733","true"
"2026-0403","miami-united-states-2026-hard","Miami United States","2026","2026-03-18","Hard","Round of 64","Round of 64","20","","","126203","Taylor Fritz","122298","Botic Van De Zandschulp","126203","Taylor Fritz","6-3 6-7(2) 6-3","2026-03-18-miami-united-states-2026-hard-round-of-64-126203-122298","true"
"2026-0403","miami-united-states-2026-hard","Miami United States","2026","2026-03-18","Hard","Round of 64","Round of 64","20","","","212588","Rafael Jodar","126846","Aleksandar Vukic","212588","Rafael Jodar","6-1 6-2","2026-03-18-miami-united-states-2026-hard-round-of-64-212588-126846","true"
"2026-0403","miami-united-states-2026-hard","Miami United States","2026","2026-03-18","Hard","Round of 64","Round of 64","20","","","144869","Tomas Martin Etcheverry","200267","Zizou Bergs","144869","Tomas Martin Etcheverry","7-6(5) 7-6(3)","2026-03-18-miami-united-states-2026-hard-round-of-64-144869-200267","true"
"2026-0403","miami-united-states-2026-hard","Miami United States","2026","2026-03-18","Hard","Round of 64","Round of 64","20","","","126205","Tommy Paul","105173","Adrian Mannarino","126205","Tommy Paul","6-2 2-6 6-4","2026-03-18-miami-united-states-2026-hard-round-of-64-126205-105173","true"
"2026-0403","miami-united-states-2026-hard","Miami United States","2026","2026-03-18","Hard","Round of 64","Round of 64","20","","","209920","Raphael Collignon","207925","Flavio Cobolli","209920","Raphael Collignon","7-5 6-3","2026-03-18-miami-united-states-2026-hard-round-of-64-209920-207925","true"
"2026-0403","miami-united-states-2026-hard","Miami United States","2026","2026-03-18","Hard","Round of 64","Round of 64","20","","","126610","Matteo Berrettini","122330","Alexander Bublik","126610","Matteo Berrettini","6-4 6-4","2026-03-18-miami-united-states-2026-hard-round-of-64-126610-122330","true"
"2026-0403","miami-united-states-2026-hard","Miami United States","2026","2026-03-18","Hard","Round of 64","Round of 64","20","","","200473","Valentin Vacherot","208363","Mariano Navone","200473","Valentin Vacherot","6-3 6-4","2026-03-18-miami-united-states-2026-hard-round-of-64-200473-208363","true"
"2026-0403","miami-united-states-2026-hard","Miami United States","2026","2026-03-18","Hard","Round of 64","Round of 64","20","","","209950","Arthur Fils","210464","Darwin Blanch","209950","Arthur Fils","6-2 6-3","2026-03-18-miami-united-states-2026-hard-round-of-64-209950-210464","true"
"2026-0403","miami-united-states-2026-hard","Miami United States","2026","2026-03-18","Hard","Round of 64","Round of 64","20","","","126774","Stefanos Tsitsipas","200282","Alex De Minaur","126774","Stefanos Tsitsipas","6-3 7-6(3)","2026-03-18-miami-united-states-2026-hard-round-of-64-126774-200282","true"
"2026-0403","miami-united-states-2026-hard","Miami United States","2026","2026-03-18","Hard","Round of 64","Round of 64","20","","","207686","Alexander Shevchenko","210097","Ben Shelton","207686","Alexander Shevchenko","6-7(3) 7-6(3) 6-3","2026-03-18-miami-united-states-2026-hard-round-of-64-207686-210097","true"
"2026-0403","miami-united-states-2026-hard","Miami United States","2026","2026-03-18","Hard","Round of 64","Round of 64","20","","","200005","Ugo Humbert","209113","Gabriel Diallo","200005","Ugo Humbert","6-1 6-4","2026-03-18-miami-united-states-2026-hard-round-of-64-200005-209113","true"
"2026-0403","miami-united-states-2026-hard","Miami United States","2026","2026-03-18","Hard","Round of 64","Round of 64","20","","","202103","Francisco Cerundolo","202058","Thiago Agustin Tirante","202103","Francisco Cerundolo","6-4 6-2","2026-03-18-miami-united-states-2026-hard-round-of-64-202103-202058","true"
"2026-0403","miami-united-states-2026-hard","Miami United States","2026","2026-03-18","Hard","Round of 64","Round of 64","20","","","106421","Daniil Medvedev","210536","Rei Sakamoto","106421","Daniil Medvedev","6-7(10) 6-3 6-1","2026-03-18-miami-united-states-2026-hard-round-of-64-106421-210536","true"
"2026-0403","miami-united-states-2026-hard","Miami United States","2026","2026-03-18","Hard","Round of 64","Round of 64","20","","","111460","Quentin Halys","200221","Alejandro Davidovich Fokina","111460","Quentin Halys","7-6(8) 6-4","2026-03-18-miami-united-states-2026-hard-round-of-64-111460-200221","true"
"2026-0403","miami-united-states-2026-hard","Miami United States","2026","2026-03-18","Hard","Round of 64","Round of 64","20","","","111794","Kamil Majchrzak","210530","Learner Tien","111794","Kamil Majchrzak","6-2 4-6 6-2","2026-03-18-miami-united-states-2026-hard-round-of-64-111794-210530","true"
"2026-0403","miami-united-states-2026-hard","Miami United States","2026","2026-03-18","Hard","Round of 64","Round of 64","20","","","105227","Marin Cilic","206909","Brandon Nakashima","105227","Marin Cilic","2-6 6-4 7-6(7)","2026-03-18-miami-united-states-2026-hard-round-of-64-105227-206909","true"
"2026-0403","miami-united-states-2026-hard","Miami United States","2026","2026-03-18","Hard","Round of 64","Round of 64","20","","","100644","Alexander Zverev","102093","Martin Damm","100644","Alexander Zverev","6-2 6-4","2026-03-18-miami-united-states-2026-hard-round-of-64-100644-102093","true"
"2026-0403","miami-united-states-2026-hard","Miami United States","2026","2026-03-18","Hard","Round of 64","Round of 64","20","","","200000","Felix Auger Aliassime","105916","Marton Fucsovics","200000","Felix Auger Aliassime","7-6(3) 7-5","2026-03-18-miami-united-states-2026-hard-round-of-64-200000-105916","true"
"2026-0403","miami-united-states-2026-hard","Miami United States","2026","2026-03-18","Hard","Round of 64","Round of 64","20","","","209279","Terence Atmane","126239","Arthur Rinderknech","209279","Terence Atmane","7-6(4) 6-3","2026-03-18-miami-united-states-2026-hard-round-of-64-209279-126239","true"
"2026-0403","miami-united-states-2026-hard","Miami United States","2026","2026-03-18","Hard","Round of 64","Round of 64","20","","","126207","Frances Tiafoe","209070","Arthur Cazaux","126207","Frances Tiafoe","7-6(1) 6-1","2026-03-18-miami-united-states-2026-hard-round-of-64-126207-209070","true"
"2026-0403","miami-united-states-2026-hard","Miami United States","2026","2026-03-18","Hard","Round of 64","Round of 64","20","","","210150","Jakub Mensik","200443","Adam Walton","210150","Jakub Mensik","3-6 6-2 6-4","2026-03-18-miami-united-states-2026-hard-round-of-64-210150-200443","true"
"2026-0403","miami-united-states-2026-hard","Miami United States","2026","2026-03-18","Hard","Round of 64","Round of 64","20","","","126214","Alejandro Tabilo","126094","Andrey Rublev","126214","Alejandro Tabilo","6-7(5) 6-2 6-4","2026-03-18-miami-united-states-2026-hard-round-of-64-126214-126094","true"
"2026-0403","miami-united-states-2026-hard","Miami United States","2026","2026-03-18","Hard","Round of 64","Round of 64","20","","","210506","Alex Michelsen","111815","Cameron Norrie","210506","Alex Michelsen","7-5 6-7(4) 6-4","2026-03-18-miami-united-states-2026-hard-round-of-64-210506-111815","true"
