"tournament_id","tournament_slug","tournament_name","year","match_date","surface","round","round_display","round_order","id_num","draw_match_number","player_1_id","player_1_name","player_2_id","player_2_name","winner_id","winner_name","score","match_id","has_match_statistics"
"2026-0410","montecarlo-monaco-2026-clay","MonteCarlo Monaco","2026","2026-04-05","Clay","Round of 64","Round of 64","20","MS033","33.0","200005","Ugo Humbert","213608","Moise Kouame","200005","Ugo Humbert","6-3 7-5","2026-04-05-montecarlo-monaco-2026-clay-round-of-64-200005-213608","true"
"2026-0410","montecarlo-monaco-2026-clay","MonteCarlo Monaco","2026","2026-04-05","Clay","Round of 64","Round of 64","20","MS034","34.0","207830","Tomas Machac","127157","Daniel Altmaier","207830","Tomas Machac","6-4 1-6 6-3","2026-04-05-montecarlo-monaco-2026-clay-round-of-64-207830-127157","true"
"2026-0410","montecarlo-monaco-2026-clay","MonteCarlo Monaco","2026","2026-04-05","Clay","Round of 64","Round of 64","20","MS035","35.0","202103","Francisco Cerundolo","126774","Stefanos Tsitsipas","202103","Francisco Cerundolo","7-5 6-4","2026-04-05-montecarlo-monaco-2026-clay-round-of-64-202103-126774","true"
"2026-0410","montecarlo-monaco-2026-clay","MonteCarlo Monaco","2026","2026-04-05","Clay","Round of 64","Round of 64","20","MS037","37.0","105227","Marin Cilic","207686","Alexander Shevchenko","105227","Marin Cilic","6-1 6-3","2026-04-05-montecarlo-monaco-2026-clay-round-of-64-105227-207686","true"
"2026-0410","montecarlo-monaco-2026-clay","MonteCarlo Monaco","2026","2026-04-05","Clay","Round of 64","Round of 64","20","MS038","38.0","134770","Casper Ruud","200615","Alexei Popyrin","134770","Casper Ruud","6-3 6-4","2026-04-05-montecarlo-monaco-2026-clay-round-of-64-134770-200615","true"
"2026-0410","montecarlo-monaco-2026-clay","MonteCarlo Monaco","2026","2026-04-05","Clay","Round of 64","Round of 64","20","MS039","39.0","144895","Corentin Moutet","124186","Alexandre Muller","144895","Corentin Moutet","6-4 6-1","2026-04-05-montecarlo-monaco-2026-clay-round-of-64-144895-124186","true"
"2026-0410","montecarlo-monaco-2026-clay","MonteCarlo Monaco","2026","2026-04-05","Clay","Round of 64","Round of 64","20","MS041","41.0","106426","Cristian Garin","208286","Matteo Arnaldi","106426","Cristian Garin","6-2 6-4","2026-04-05-montecarlo-monaco-2026-clay-round-of-64-106426-208286","true"
"2026-0410","montecarlo-monaco-2026-clay","MonteCarlo Monaco","2026","2026-04-05","Clay","Round of 64","Round of 64","20","MS042","42.0","200267","Zizou Bergs","105173","Adrian Mannarino","200267","Zizou Bergs","6-4 6-3","2026-04-05-montecarlo-monaco-2026-clay-round-of-64-200267-105173","true"
"2026-0410","montecarlo-monaco-2026-clay","MonteCarlo Monaco","2026","2026-04-05","Clay","Round of 64","Round of 64","20","MS043","43.0","126094","Andrey Rublev","132686","Nuno Borges","126094","Andrey Rublev","6-4 1-6 6-1","2026-04-05-montecarlo-monaco-2026-clay-round-of-64-126094-132686","true"
"2026-0410","montecarlo-monaco-2026-clay","MonteCarlo Monaco","2026","2026-04-05","Clay","Round of 64","Round of 64","20","MS044","44.0","211663","Joao Fonseca","209113","Gabriel Diallo","211663","Joao Fonseca","6-2 6-3","2026-04-05-montecarlo-monaco-2026-clay-round-of-64-211663-209113","true"
"2026-0410","montecarlo-monaco-2026-clay","MonteCarlo Monaco","2026","2026-04-05","Clay","Round of 64","Round of 64","20","MS045","45.0","126239","Arthur Rinderknech","111575","Karen Khachanov","126239","Arthur Rinderknech","7-5 6-2","2026-04-05-montecarlo-monaco-2026-clay-round-of-64-126239-111575","true"
"2026-0410","montecarlo-monaco-2026-clay","MonteCarlo Monaco","2026","2026-04-05","Clay","Round of 64","Round of 64","20","MS046","46.0","126610","Matteo Berrettini","105138","Roberto Bautista Agut","126610","Matteo Berrettini","4-0 RET","2026-04-05-montecarlo-monaco-2026-clay-round-of-64-126610-105138","true"
"2026-0410","montecarlo-monaco-2026-clay","MonteCarlo Monaco","2026","2026-04-05","Clay","Round of 64","Round of 64","20","MS049","49.0","202104","Sebastian Baez","104527","Stan Wawrinka","202104","Sebastian Baez","7-5 7-5","2026-04-05-montecarlo-monaco-2026-clay-round-of-64-202104-104527","true"
"2026-0410","montecarlo-monaco-2026-clay","MonteCarlo Monaco","2026","2026-04-05","Clay","Round of 64","Round of 64","20","MS050","50.0","144869","Tomas Martin Etcheverry","105777","Grigor Dimitrov","144869","Tomas Martin Etcheverry","6-4 2-6 6-3","2026-04-05-montecarlo-monaco-2026-clay-round-of-64-144869-105777","true"
"2026-0410","montecarlo-monaco-2026-clay","MonteCarlo Monaco","2026","2026-04-05","Clay","Round of 64","Round of 64","20","MS051","51.0","209279","Terence Atmane","210319","Ethan Quinn","209279","Terence Atmane","6-1 6-4","2026-04-05-montecarlo-monaco-2026-clay-round-of-64-209279-210319","true"
"2026-0410","montecarlo-monaco-2026-clay","MonteCarlo Monaco","2026","2026-04-05","Clay","Round of 64","Round of 64","20","MS053","53.0","104792","Gael Monfils","134868","Tallon Griekspoor","104792","Gael Monfils","6-7(7) 6-1 6-4","2026-04-05-montecarlo-monaco-2026-clay-round-of-64-104792-134868","true"
"2026-0410","montecarlo-monaco-2026-clay","MonteCarlo Monaco","2026","2026-04-05","Clay","Round of 64","Round of 64","20","MS054","54.0","208103","Jiri Lehecka","207182","Emilio Nava","208103","Jiri Lehecka","7-6(1) 6-7(8) 6-2","2026-04-05-montecarlo-monaco-2026-clay-round-of-64-208103-207182","true"
"2026-0410","montecarlo-monaco-2026-clay","MonteCarlo Monaco","2026","2026-04-05","Clay","Round of 64","Round of 64","20","MS055","55.0","126214","Alejandro Tabilo","105916","Marton Fucsovics","126214","Alejandro Tabilo","6-4 6-3","2026-04-05-montecarlo-monaco-2026-clay-round-of-64-126214-105916","true"
"2026-0410","montecarlo-monaco-2026-clay","MonteCarlo Monaco","2026","2026-04-05","Clay","Round of 64","Round of 64","20","MS056","56.0","200473","Valentin Vacherot","207678","Juan Manuel Cerundolo","200473","Valentin Vacherot","5-7 6-2 6-1","2026-04-05-montecarlo-monaco-2026-clay-round-of-64-200473-207678","true"
"2026-0410","montecarlo-monaco-2026-clay","MonteCarlo Monaco","2026","2026-04-05","Clay","Round of 64","Round of 64","20","MS058","58.0","128034","Hubert Hurkacz","209260","Luciano Darderi","128034","Hubert Hurkacz","7-6(4) 5-7 6-1","2026-04-05-montecarlo-monaco-2026-clay-round-of-64-128034-209260","true"
"2026-0410","montecarlo-monaco-2026-clay","MonteCarlo Monaco","2026","2026-04-05","Clay","Round of 64","Round of 64","20","MS059","59.0","206681","Fabian Marozsan","106000","Damir Dzumhur","206681","Fabian Marozsan","6-2 6-1","2026-04-05-montecarlo-monaco-2026-clay-round-of-64-206681-106000","true"
"2026-0410","montecarlo-monaco-2026-clay","MonteCarlo Monaco","2026","2026-04-05","Clay","Round of 64","Round of 64","20","MS061","61.0","111815","Cameron Norrie","200175","Miomir Kecmanovic","111815","Cameron Norrie","6-2 4-6 7-6(0)","2026-04-05-montecarlo-monaco-2026-clay-round-of-64-111815-200175","true"
"2026-0410","montecarlo-monaco-2026-clay","MonteCarlo Monaco","2026","2026-04-05","Clay","Round of 64","Round of 64","20","MS062","62.0","210696","Alexander Blockx","133430","Denis Shapovalov","210696","Alexander Blockx","6-4 4-6 6-3","2026-04-05-montecarlo-monaco-2026-clay-round-of-64-210696-133430","true"
"2026-0410","montecarlo-monaco-2026-clay","MonteCarlo Monaco","2026","2026-04-05","Clay","Round of 64","Round of 64","20","MS063","63.0","207925","Flavio Cobolli","207681","Francisco Comesana","207925","Flavio Cobolli","7-5 2-6 6-3","2026-04-05-montecarlo-monaco-2026-clay-round-of-64-207925-207681","true"
