"tournament_id","tournament_slug","tournament_name","year","match_date","surface","round","round_display","round_order","id_num","draw_match_number","player_1_id","player_1_name","player_2_id","player_2_name","winner_id","winner_name","score","match_id","has_match_statistics"
"2026-0375","montpellier-france-2026-hard","Montpellier France","2026","2026-02-02","Hard","Round of 32","Round of 32","30","MS017","17.0","104527","Stan Wawrinka","209098","Hamad Medjedovic","104527","Stan Wawrinka","7-6(3) 6-4","2026-02-02-montpellier-france-2026-hard-round-of-32-104527-209098","true"
"2026-0375","montpellier-france-2026-hard","Montpellier France","2026","2026-02-02","Hard","Round of 32","Round of 32","30","MS018","18.0","209950","Arthur Fils","208316","Valentin Royer","209950","Arthur Fils","7-6(7) 6-7(4) 6-2","2026-02-02-montpellier-france-2026-hard-round-of-32-209950-208316","true"
"2026-0375","montpellier-france-2026-hard","Montpellier France","2026","2026-02-02","Hard","Round of 32","Round of 32","30","MS019","19.0","200259","Ugo Blanchet","131934","Andrea Vavassori","200259","Ugo Blanchet","6-4 6-3","2026-02-02-montpellier-france-2026-hard-round-of-32-200259-131934","true"
"2026-0375","montpellier-france-2026-hard","Montpellier France","2026","2026-02-02","Hard","Round of 32","Round of 32","30","MS020","20.0","208169","Titouan Droguet","123828","Jan Choinski","208169","Titouan Droguet","6-2 7-6(2)","2026-02-02-montpellier-france-2026-hard-round-of-32-208169-123828","true"
"2026-0375","montpellier-france-2026-hard","Montpellier France","2026","2026-02-02","Hard","Round of 32","Round of 32","30","MS021","21.0","206499","Aleksandar Kovacevic","213608","Moise Kouame","206499","Aleksandar Kovacevic","6-7(5) 6-2 6-2","2026-02-02-montpellier-france-2026-hard-round-of-32-206499-213608","true"
"2026-0375","montpellier-france-2026-hard","Montpellier France","2026","2026-02-02","Hard","Round of 32","Round of 32","30","MS023","23.0","105807","Pablo Carreno Busta","200175","Miomir Kecmanovic","105807","Pablo Carreno Busta","4-6 6-3 7-6(4)","2026-02-02-montpellier-france-2026-hard-round-of-32-105807-200175","true"
"2026-0375","montpellier-france-2026-hard","Montpellier France","2026","2026-02-02","Hard","Round of 32","Round of 32","30","MS024","24.0","105173","Adrian Mannarino","124079","Pedro Martinez","105173","Adrian Mannarino","7-6(3) 6-1","2026-02-02-montpellier-france-2026-hard-round-of-32-105173-124079","true"
"2026-0375","montpellier-france-2026-hard","Montpellier France","2026","2026-02-02","Hard","Round of 32","Round of 32","30","MS025","25.0","200005","Ugo Humbert","122298","Botic Van De Zandschulp","200005","Ugo Humbert","6-3 6-4","2026-02-02-montpellier-france-2026-hard-round-of-32-200005-122298","true"
"2026-0375","montpellier-france-2026-hard","Montpellier France","2026","2026-02-02","Hard","Round of 32","Round of 32","30","MS026","26.0","210338","Arthur Gea","208659","Giovanni Mpetshi Perricard","210338","Arthur Gea","6-3 0-0 RET","2026-02-02-montpellier-france-2026-hard-round-of-32-210338-208659","true"
"2026-0375","montpellier-france-2026-hard","Montpellier France","2026","2026-02-02","Hard","Round of 32","Round of 32","30","MS028","28.0","102093","Martin Damm","128034","Hubert Hurkacz","102093","Martin Damm","7-6(5) 6-4","2026-02-02-montpellier-france-2026-hard-round-of-32-102093-128034","true"
"2026-0375","montpellier-france-2026-hard","Montpellier France","2026","2026-02-02","Hard","Round of 32","Round of 32","30","MS029","29.0","105138","Roberto Bautista Agut","106331","Christopher Oconnell","105138","Roberto Bautista Agut","5-7 6-3 7-5","2026-02-02-montpellier-france-2026-hard-round-of-32-105138-106331","true"
"2026-0375","montpellier-france-2026-hard","Montpellier France","2026","2026-02-02","Hard","Round of 32","Round of 32","30","MS030","30.0","208134","Luca Nardi","105932","Nikoloz Basilashvili","208134","Luca Nardi","6-3 6-3","2026-02-02-montpellier-france-2026-hard-round-of-32-208134-105932","true"
"2026-0375","montpellier-france-2026-hard","Montpellier France","2026","2026-02-02","Hard","Round of 16","Round of 16","40","MS008","8.0","200000","Felix Auger Aliassime","104527","Stan Wawrinka","200000","Felix Auger Aliassime","6-4 7-6(3)","2026-02-02-montpellier-france-2026-hard-round-of-16-200000-104527","true"
"2026-0375","montpellier-france-2026-hard","Montpellier France","2026","2026-02-02","Hard","Round of 16","Round of 16","40","MS009","9.0","209950","Arthur Fils","200259","Ugo Blanchet","209950","Arthur Fils","7-6(4) 7-5","2026-02-02-montpellier-france-2026-hard-round-of-16-209950-200259","true"
"2026-0375","montpellier-france-2026-hard","Montpellier France","2026","2026-02-02","Hard","Round of 16","Round of 16","40","MS010","10.0","208169","Titouan Droguet","206499","Aleksandar Kovacevic","208169","Titouan Droguet","4-6 7-6(5) 6-4","2026-02-02-montpellier-france-2026-hard-round-of-16-208169-206499","true"
"2026-0375","montpellier-france-2026-hard","Montpellier France","2026","2026-02-02","Hard","Round of 16","Round of 16","40","MS011","11.0","134868","Tallon Griekspoor","105807","Pablo Carreno Busta","134868","Tallon Griekspoor","6-4 6-4","2026-02-02-montpellier-france-2026-hard-round-of-16-134868-105807","true"
"2026-0375","montpellier-france-2026-hard","Montpellier France","2026","2026-02-02","Hard","Round of 16","Round of 16","40","MS012","12.0","105173","Adrian Mannarino","200005","Ugo Humbert","105173","Adrian Mannarino","6-7(4) 6-3 7-6(4)","2026-02-02-montpellier-france-2026-hard-round-of-16-105173-200005","true"
"2026-0375","montpellier-france-2026-hard","Montpellier France","2026","2026-02-02","Hard","Round of 16","Round of 16","40","MS013","13.0","210338","Arthur Gea","207830","Tomas Machac","210338","Arthur Gea","6-3 4-5 RET","2026-02-02-montpellier-france-2026-hard-round-of-16-210338-207830","true"
"2026-0375","montpellier-france-2026-hard","Montpellier France","2026","2026-02-02","Hard","Round of 16","Round of 16","40","MS014","14.0","102093","Martin Damm","105138","Roberto Bautista Agut","102093","Martin Damm","6-1 6-3","2026-02-02-montpellier-france-2026-hard-round-of-16-102093-105138","true"
"2026-0375","montpellier-france-2026-hard","Montpellier France","2026","2026-02-02","Hard","Round of 16","Round of 16","40","MS015","15.0","208134","Luca Nardi","207925","Flavio Cobolli","208134","Luca Nardi","6-2 6-3","2026-02-02-montpellier-france-2026-hard-round-of-16-208134-207925","true"
"2026-0375","montpellier-france-2026-hard","Montpellier France","2026","2026-02-02","Hard","Quarter-Finals","Quarter-Finals","50","MS004","4.0","200000","Felix Auger Aliassime","209950","Arthur Fils","200000","Felix Auger Aliassime","6-4 6-2","2026-02-02-montpellier-france-2026-hard-quarter-finals-200000-209950","true"
"2026-0375","montpellier-france-2026-hard","Montpellier France","2026","2026-02-02","Hard","Quarter-Finals","Quarter-Finals","50","MS005","5.0","208169","Titouan Droguet","134868","Tallon Griekspoor","208169","Titouan Droguet","7-6(5) 7-6(1)","2026-02-02-montpellier-france-2026-hard-quarter-finals-208169-134868","true"
"2026-0375","montpellier-france-2026-hard","Montpellier France","2026","2026-02-02","Hard","Quarter-Finals","Quarter-Finals","50","MS006","6.0","105173","Adrian Mannarino","210338","Arthur Gea","105173","Adrian Mannarino","5-7 6-4 6-4","2026-02-02-montpellier-france-2026-hard-quarter-finals-105173-210338","true"
"2026-0375","montpellier-france-2026-hard","Montpellier France","2026","2026-02-02","Hard","Quarter-Finals","Quarter-Finals","50","MS007","7.0","102093","Martin Damm","208134","Luca Nardi","102093","Martin Damm","6-3 7-6(8)","2026-02-02-montpellier-france-2026-hard-quarter-finals-102093-208134","true"
"2026-0375","montpellier-france-2026-hard","Montpellier France","2026","2026-02-02","Hard","Semi-Finals","Semi-Finals","60","MS002","2.0","200000","Felix Auger Aliassime","208169","Titouan Droguet","200000","Felix Auger Aliassime","6-4 6-7(5) 6-1","2026-02-02-montpellier-france-2026-hard-semi-finals-200000-208169","true"
"2026-0375","montpellier-france-2026-hard","Montpellier France","2026","2026-02-02","Hard","Semi-Finals","Semi-Finals","60","MS003","3.0","105173","Adrian Mannarino","102093","Martin Damm","105173","Adrian Mannarino","1-6 6-3 6-4","2026-02-02-montpellier-france-2026-hard-semi-finals-105173-102093","true"
"2026-0375","montpellier-france-2026-hard","Montpellier France","2026","2026-02-02","Hard","Finals","Finals","70","MS001","1.0","200000","Felix Auger Aliassime","105173","Adrian Mannarino","200000","Felix Auger Aliassime","6-3 7-6(4)","2026-02-02-montpellier-france-2026-hard-finals-200000-105173","true"
