"tournament_id","tournament_slug","tournament_name","year","match_date","surface","round","round_display","round_order","id_num","draw_match_number","player_1_id","player_1_name","player_2_id","player_2_name","winner_id","winner_name","score","match_id","has_match_statistics"
"2026-0421","montreal-canada-2026-hard","Montreal Canada","2026","2026-08-02","Hard","Round of 128","Round of 128","10","MS065","65.0","134868","Tallon Griekspoor","132283","Lorenzo Sonego","134868","Tallon Griekspoor","7-6(5) 7-5","2026-08-02-montreal-canada-2026-hard-round-of-128-134868-132283","true"
"2026-0421","montreal-canada-2026-hard","Montreal Canada","2026","2026-08-02","Hard","Round of 128","Round of 128","10","MS066","66.0","206681","Fabian Marozsan","208278","Shintaro Mochizuki","206681","Fabian Marozsan","6-4 6-3","2026-08-02-montreal-canada-2026-hard-round-of-128-206681-208278","true"
"2026-0421","montreal-canada-2026-hard","Montreal Canada","2026","2026-08-02","Hard","Round of 128","Round of 128","10","MS069","69.0","210017","Daniel Merida Aguilar","208119","Liam Draxl","210017","Daniel Merida Aguilar","3-6 6-4 6-4","2026-08-02-montreal-canada-2026-hard-round-of-128-210017-208119","true"
"2026-0421","montreal-canada-2026-hard","Montreal Canada","2026","2026-08-02","Hard","Round of 128","Round of 128","10","MS070","70.0","210506","Alex Michelsen","105526","Jan Lennard Struff","210506","Alex Michelsen","6-1 3-6 6-1","2026-08-02-montreal-canada-2026-hard-round-of-128-210506-105526","true"
"2026-0421","montreal-canada-2026-hard","Montreal Canada","2026","2026-08-02","Hard","Round of 128","Round of 128","10","MS073","73.0","104792","Gael Monfils","111794","Kamil Majchrzak","104792","Gael Monfils","6-4 6-4","2026-08-02-montreal-canada-2026-hard-round-of-128-104792-111794","true"
"2026-0421","montreal-canada-2026-hard","Montreal Canada","2026","2026-08-02","Hard","Round of 128","Round of 128","10","MS074","74.0","208316","Valentin Royer","105807","Pablo Carreno Busta","208316","Valentin Royer","1-6 7-5 6-2","2026-08-02-montreal-canada-2026-hard-round-of-128-208316-105807","true"
"2026-0421","montreal-canada-2026-hard","Montreal Canada","2026","2026-08-02","Hard","Round of 128","Round of 128","10","MS077","77.0","200615","Alexei Popyrin","208882","Roman Andres Burruchaga","200615","Alexei Popyrin","4-6 7-5 6-3","2026-08-02-montreal-canada-2026-hard-round-of-128-200615-208882","true"
"2026-0421","montreal-canada-2026-hard","Montreal Canada","2026","2026-08-02","Hard","Round of 128","Round of 128","10","MS078","78.0","202058","Thiago Agustin Tirante","211673","Duncan Chan","202058","Thiago Agustin Tirante","6-3 1-6 7-6(3)","2026-08-02-montreal-canada-2026-hard-round-of-128-202058-211673","true"
"2026-0421","montreal-canada-2026-hard","Montreal Canada","2026","2026-08-02","Hard","Round of 128","Round of 128","10","MS081","81.0","122298","Botic Van De Zandschulp","208659","Giovanni Mpetshi Perricard","122298","Botic Van De Zandschulp","6-2 3-6 6-3","2026-08-02-montreal-canada-2026-hard-round-of-128-122298-208659","true"
"2026-0421","montreal-canada-2026-hard","Montreal Canada","2026","2026-08-02","Hard","Round of 128","Round of 128","10","MS082","82.0","128034","Hubert Hurkacz","106218","Marcos Giron","128034","Hubert Hurkacz","7-5 4-6 6-2","2026-08-02-montreal-canada-2026-hard-round-of-128-128034-106218","true"
