"tournament_id","tournament_slug","tournament_name","year","match_date","surface","round","round_display","round_order","id_num","draw_match_number","player_1_id","player_1_name","player_2_id","player_2_name","winner_id","winner_name","score","match_id","has_match_statistics"
"2026-0308","munich-germany-2026-clay","Munich Germany","2026","2026-04-13","Clay","Round of 32","Round of 32","30","MS016","16.0","210097","Ben Shelton","207182","Emilio Nava","210097","Ben Shelton","7-6(4) 3-6 6-3","2026-04-13-munich-germany-2026-clay-round-of-32-210097-207182","true"
"2026-0308","munich-germany-2026-clay","Munich Germany","2026","2026-04-13","Clay","Round of 32","Round of 32","30","MS017","17.0","210696","Alexander Blockx","105870","Yannick Hanfmann","210696","Alexander Blockx","7-6(2) 6-2","2026-04-13-munich-germany-2026-clay-round-of-32-210696-105870","true"
"2026-0308","munich-germany-2026-clay","Munich Germany","2026","2026-04-13","Clay","Round of 32","Round of 32","30","MS018","18.0","211663","Joao Fonseca","126214","Alejandro Tabilo","211663","Joao Fonseca","7-6(1) 6-3","2026-04-13-munich-germany-2026-clay-round-of-32-211663-126214","true"
"2026-0308","munich-germany-2026-clay","Munich Germany","2026","2026-04-13","Clay","Round of 32","Round of 32","30","MS019","19.0","126239","Arthur Rinderknech","210506","Alex Michelsen","126239","Arthur Rinderknech","6-3 6-3","2026-04-13-munich-germany-2026-clay-round-of-32-126239-210506","true"
"2026-0308","munich-germany-2026-clay","Munich Germany","2026","2026-04-13","Clay","Round of 32","Round of 32","30","MS020","20.0","144684","Alex Molcan","122330","Alexander Bublik","144684","Alex Molcan","6-4 6-2","2026-04-13-munich-germany-2026-clay-round-of-32-144684-122330","true"
"2026-0308","munich-germany-2026-clay","Munich Germany","2026","2026-04-13","Clay","Round of 32","Round of 32","30","MS021","21.0","127157","Daniel Altmaier","105227","Marin Cilic","127157","Daniel Altmaier","6-2 6-3","2026-04-13-munich-germany-2026-clay-round-of-32-127157-105227","true"
"2026-0308","munich-germany-2026-clay","Munich Germany","2026","2026-04-13","Clay","Round of 32","Round of 32","30","MS022","22.0","133430","Denis Shapovalov","134868","Tallon Griekspoor","133430","Denis Shapovalov","6-4 3-6 6-2","2026-04-13-munich-germany-2026-clay-round-of-32-133430-134868","true"
"2026-0308","munich-germany-2026-clay","Munich Germany","2026","2026-04-13","Clay","Round of 32","Round of 32","30","MS023","23.0","206681","Fabian Marozsan","126774","Stefanos Tsitsipas","206681","Fabian Marozsan","3-6 7-6(5) 6-4","2026-04-13-munich-germany-2026-clay-round-of-32-206681-126774","true"
"2026-0308","munich-germany-2026-clay","Munich Germany","2026","2026-04-13","Clay","Round of 32","Round of 32","30","MS024","24.0","207925","Flavio Cobolli","212309","Diego Dedura Palomero","207925","Flavio Cobolli","6-4 7-5","2026-04-13-munich-germany-2026-clay-round-of-32-207925-212309","true"
"2026-0308","munich-germany-2026-clay","Munich Germany","2026","2026-04-13","Clay","Round of 32","Round of 32","30","MS025","25.0","200267","Zizou Bergs","209916","Marko Topo","200267","Zizou Bergs","6-1 6-4","2026-04-13-munich-germany-2026-clay-round-of-32-200267-209916","true"
"2026-0308","munich-germany-2026-clay","Munich Germany","2026","2026-04-13","Clay","Round of 32","Round of 32","30","MS026","26.0","200240","Vit Kopriva","211514","Justin Engel","200240","Vit Kopriva","6-3 5-7 6-2","2026-04-13-munich-germany-2026-clay-round-of-32-200240-211514","true"
"2026-0308","munich-germany-2026-clay","Munich Germany","2026","2026-04-13","Clay","Round of 32","Round of 32","30","MS027","27.0","209260","Luciano Darderi","111190","Zhizhen Zhang","209260","Luciano Darderi","7-6(5) 3-6 6-1","2026-04-13-munich-germany-2026-clay-round-of-32-209260-111190","true"
"2026-0308","munich-germany-2026-clay","Munich Germany","2026","2026-04-13","Clay","Round of 32","Round of 32","30","MS028","28.0","100644","Alexander Zverev","200175","Miomir Kecmanovic","100644","Alexander Zverev","6-3 3-6 7-6(2)","2026-04-13-munich-germany-2026-clay-round-of-32-100644-200175","true"
"2026-0308","munich-germany-2026-clay","Munich Germany","2026","2026-04-13","Clay","Round of 32","Round of 32","30","MS029","29.0","209113","Gabriel Diallo","126964","Vitaliy Sachko","209113","Gabriel Diallo","6-1 6-2","2026-04-13-munich-germany-2026-clay-round-of-32-209113-126964","true"
"2026-0308","munich-germany-2026-clay","Munich Germany","2026","2026-04-13","Clay","Round of 32","Round of 32","30","MS030","30.0","202103","Francisco Cerundolo","111576","Sumit Nagal","202103","Francisco Cerundolo","6-2 6-2","2026-04-13-munich-germany-2026-clay-round-of-32-202103-111576","true"
"2026-0308","munich-germany-2026-clay","Munich Germany","2026","2026-04-13","Clay","Round of 32","Round of 32","30","MS031","31.0","122298","Botic Van De Zandschulp","144817","Marc Andrea Huesler","122298","Botic Van De Zandschulp","7-6(7) 6-3","2026-04-13-munich-germany-2026-clay-round-of-32-122298-144817","true"
"2026-0308","munich-germany-2026-clay","Munich Germany","2026","2026-04-13","Clay","Round of 16","Round of 16","40","MS008","8.0","210097","Ben Shelton","210696","Alexander Blockx","210097","Ben Shelton","6-4 7-6(8)","2026-04-13-munich-germany-2026-clay-round-of-16-210097-210696","true"
"2026-0308","munich-germany-2026-clay","Munich Germany","2026","2026-04-13","Clay","Round of 16","Round of 16","40","MS009","9.0","211663","Joao Fonseca","126239","Arthur Rinderknech","211663","Joao Fonseca","6-3 6-2","2026-04-13-munich-germany-2026-clay-round-of-16-211663-126239","true"
"2026-0308","munich-germany-2026-clay","Munich Germany","2026","2026-04-13","Clay","Round of 16","Round of 16","40","MS010","10.0","144684","Alex Molcan","127157","Daniel Altmaier","144684","Alex Molcan","6-4 7-6(10)","2026-04-13-munich-germany-2026-clay-round-of-16-144684-127157","true"
"2026-0308","munich-germany-2026-clay","Munich Germany","2026","2026-04-13","Clay","Round of 16","Round of 16","40","MS011","11.0","133430","Denis Shapovalov","206681","Fabian Marozsan","133430","Denis Shapovalov","7-6(4) 6-2","2026-04-13-munich-germany-2026-clay-round-of-16-133430-206681","true"
"2026-0308","munich-germany-2026-clay","Munich Germany","2026","2026-04-13","Clay","Round of 16","Round of 16","40","MS012","12.0","207925","Flavio Cobolli","200267","Zizou Bergs","207925","Flavio Cobolli","6-2 6-3","2026-04-13-munich-germany-2026-clay-round-of-16-207925-200267","true"
"2026-0308","munich-germany-2026-clay","Munich Germany","2026","2026-04-13","Clay","Round of 16","Round of 16","40","MS013","13.0","200240","Vit Kopriva","209260","Luciano Darderi","200240","Vit Kopriva","2-6 6-4 6-1","2026-04-13-munich-germany-2026-clay-round-of-16-200240-209260","true"
"2026-0308","munich-germany-2026-clay","Munich Germany","2026","2026-04-13","Clay","Round of 16","Round of 16","40","MS014","14.0","100644","Alexander Zverev","209113","Gabriel Diallo","100644","Alexander Zverev","6-1 6-2","2026-04-13-munich-germany-2026-clay-round-of-16-100644-209113","true"
"2026-0308","munich-germany-2026-clay","Munich Germany","2026","2026-04-13","Clay","Round of 16","Round of 16","40","MS015","15.0","202103","Francisco Cerundolo","122298","Botic Van De Zandschulp","202103","Francisco Cerundolo","6-3 6-0","2026-04-13-munich-germany-2026-clay-round-of-16-202103-122298","true"
"2026-0308","munich-germany-2026-clay","Munich Germany","2026","2026-04-13","Clay","Quarter-Finals","Quarter-Finals","50","MS004","4.0","210097","Ben Shelton","211663","Joao Fonseca","210097","Ben Shelton","6-3 3-6 6-3","2026-04-13-munich-germany-2026-clay-quarter-finals-210097-211663","true"
"2026-0308","munich-germany-2026-clay","Munich Germany","2026","2026-04-13","Clay","Quarter-Finals","Quarter-Finals","50","MS005","5.0","144684","Alex Molcan","133430","Denis Shapovalov","144684","Alex Molcan","6-4 6-4","2026-04-13-munich-germany-2026-clay-quarter-finals-144684-133430","true"
"2026-0308","munich-germany-2026-clay","Munich Germany","2026","2026-04-13","Clay","Quarter-Finals","Quarter-Finals","50","MS006","6.0","207925","Flavio Cobolli","200240","Vit Kopriva","207925","Flavio Cobolli","6-3 6-2","2026-04-13-munich-germany-2026-clay-quarter-finals-207925-200240","true"
"2026-0308","munich-germany-2026-clay","Munich Germany","2026","2026-04-13","Clay","Quarter-Finals","Quarter-Finals","50","MS007","7.0","100644","Alexander Zverev","202103","Francisco Cerundolo","100644","Alexander Zverev","5-7 6-0 6-2","2026-04-13-munich-germany-2026-clay-quarter-finals-100644-202103","true"
"2026-0308","munich-germany-2026-clay","Munich Germany","2026","2026-04-13","Clay","Semi-Finals","Semi-Finals","60","MS002","2.0","210097","Ben Shelton","144684","Alex Molcan","210097","Ben Shelton","6-3 6-4","2026-04-13-munich-germany-2026-clay-semi-finals-210097-144684","true"
"2026-0308","munich-germany-2026-clay","Munich Germany","2026","2026-04-13","Clay","Semi-Finals","Semi-Finals","60","MS003","3.0","207925","Flavio Cobolli","100644","Alexander Zverev","207925","Flavio Cobolli","6-3 6-3","2026-04-13-munich-germany-2026-clay-semi-finals-207925-100644","true"
"2026-0308","munich-germany-2026-clay","Munich Germany","2026","2026-04-13","Clay","Finals","Finals","70","MS001","1.0","210097","Ben Shelton","207925","Flavio Cobolli","210097","Ben Shelton","6-2 7-5","2026-04-13-munich-germany-2026-clay-finals-210097-207925","true"
