"tournament_id","tournament_slug","tournament_name","year","match_date","surface","round","round_display","round_order","id_num","draw_match_number","player_1_id","player_1_name","player_2_id","player_2_name","winner_id","winner_name","score","match_id","has_match_statistics"
"2026-6932","rio-de-janeiro-brazil-2026-clay","Rio de Janeiro Brazil","2026","2026-02-16","Clay","Round of 32","Round of 32","30","MS016","16.0","144869","Tomas Martin Etcheverry","207681","Francisco Comesana","144869","Tomas Martin Etcheverry","3-6 6-3 6-4","2026-02-16-rio-de-janeiro-brazil-2026-clay-round-of-32-144869-207681","true"
"2026-6932","rio-de-janeiro-brazil-2026-clay","Rio de Janeiro Brazil","2026","2026-02-16","Clay","Round of 32","Round of 32","30","MS017","17.0","209147","Vilius Gaubas","213036","Luis Guto Miguel","209147","Vilius Gaubas","6-3 2-6 6-2","2026-02-16-rio-de-janeiro-brazil-2026-clay-round-of-32-209147-213036","true"
"2026-6932","rio-de-janeiro-brazil-2026-clay","Rio de Janeiro Brazil","2026","2026-02-16","Clay","Round of 32","Round of 32","30","MS018","18.0","210262","Jaime Faria","202104","Sebastian Baez","210262","Jaime Faria","7-5 6-1","2026-02-16-rio-de-janeiro-brazil-2026-clay-round-of-32-210262-202104","true"
"2026-6932","rio-de-janeiro-brazil-2026-clay","Rio de Janeiro Brazil","2026","2026-02-16","Clay","Round of 32","Round of 32","30","MS019","19.0","106000","Damir Dzumhur","124079","Pedro Martinez","106000","Damir Dzumhur","0-6 7-6(5) 6-4","2026-02-16-rio-de-janeiro-brazil-2026-clay-round-of-32-106000-124079","true"
"2026-6932","rio-de-janeiro-brazil-2026-clay","Rio de Janeiro Brazil","2026","2026-02-16","Clay","Round of 32","Round of 32","30","MS020","20.0","200240","Vit Kopriva","208361","Gustavo Heide","200240","Vit Kopriva","6-2 7-6(5)","2026-02-16-rio-de-janeiro-brazil-2026-clay-round-of-32-200240-208361","true"
"2026-6932","rio-de-janeiro-brazil-2026-clay","Rio de Janeiro Brazil","2026","2026-02-16","Clay","Round of 32","Round of 32","30","MS021","21.0","208882","Roman Andres Burruchaga","200116","Camilo Ugo Carabelli","208882","Roman Andres Burruchaga","6-3 6-4","2026-02-16-rio-de-janeiro-brazil-2026-clay-round-of-32-208882-200116","true"
"2026-6932","rio-de-janeiro-brazil-2026-clay","Rio de Janeiro Brazil","2026","2026-02-16","Clay","Round of 32","Round of 32","30","MS022","22.0","207678","Juan Manuel Cerundolo","209260","Luciano Darderi","207678","Juan Manuel Cerundolo","6-1 3-6 6-4","2026-02-16-rio-de-janeiro-brazil-2026-clay-round-of-32-207678-209260","true"
"2026-6932","rio-de-janeiro-brazil-2026-clay","Rio de Janeiro Brazil","2026","2026-02-16","Clay","Round of 32","Round of 32","30","MS023","23.0","105870","Yannick Hanfmann","206307","Joao Lucas Reis Da Silva","105870","Yannick Hanfmann","7-6(3) 6-4","2026-02-16-rio-de-janeiro-brazil-2026-clay-round-of-32-105870-206307","true"
"2026-6932","rio-de-janeiro-brazil-2026-clay","Rio de Janeiro Brazil","2026","2026-02-16","Clay","Round of 32","Round of 32","30","MS024","24.0","126214","Alejandro Tabilo","207182","Emilio Nava","126214","Alejandro Tabilo","6-3 6-3","2026-02-16-rio-de-janeiro-brazil-2026-clay-round-of-32-126214-207182","true"
"2026-6932","rio-de-janeiro-brazil-2026-clay","Rio de Janeiro Brazil","2026","2026-02-16","Clay","Round of 32","Round of 32","30","MS025","25.0","208859","Francesco Passaro","209976","Dino Prizmic","208859","Francesco Passaro","6-3 6-4","2026-02-16-rio-de-janeiro-brazil-2026-clay-round-of-32-208859-209976","true"
"2026-6932","rio-de-janeiro-brazil-2026-clay","Rio de Janeiro Brazil","2026","2026-02-16","Clay","Round of 32","Round of 32","30","MS026","26.0","202058","Thiago Agustin Tirante","106426","Cristian Garin","202058","Thiago Agustin Tirante","7-5 6-3","2026-02-16-rio-de-janeiro-brazil-2026-clay-round-of-32-202058-106426","true"
"2026-6932","rio-de-janeiro-brazil-2026-clay","Rio de Janeiro Brazil","2026","2026-02-16","Clay","Round of 32","Round of 32","30","MS027","27.0","202103","Francisco Cerundolo","208363","Mariano Navone","202103","Francisco Cerundolo","6-3 6-4","2026-02-16-rio-de-janeiro-brazil-2026-clay-round-of-32-202103-208363","true"
"2026-6932","rio-de-janeiro-brazil-2026-clay","Rio de Janeiro Brazil","2026","2026-02-16","Clay","Round of 32","Round of 32","30","MS028","28.0","209860","Ignacio Buse","127108","Igor Ribeiro Marcondes","209860","Ignacio Buse","4-6 7-5 6-4","2026-02-16-rio-de-janeiro-brazil-2026-clay-round-of-32-209860-127108","true"
"2026-6932","rio-de-janeiro-brazil-2026-clay","Rio de Janeiro Brazil","2026","2026-02-16","Clay","Round of 32","Round of 32","30","MS029","29.0","211663","Joao Fonseca","106329","Thiago Monteiro","211663","Joao Fonseca","7-6(1) 6-1","2026-02-16-rio-de-janeiro-brazil-2026-clay-round-of-32-211663-106329","true"
"2026-6932","rio-de-janeiro-brazil-2026-clay","Rio de Janeiro Brazil","2026","2026-02-16","Clay","Round of 32","Round of 32","30","MS030","30.0","126610","Matteo Berrettini","144642","Tomas Barrios Vera","126610","Matteo Berrettini","7-6(1) 7-5","2026-02-16-rio-de-janeiro-brazil-2026-clay-round-of-32-126610-144642","true"
"2026-6932","rio-de-janeiro-brazil-2026-clay","Rio de Janeiro Brazil","2026","2026-02-16","Clay","Round of 32","Round of 32","30","MS031","31.0","105583","Dusan Lajovic","127157","Daniel Altmaier","105583","Dusan Lajovic","6-4 7-6(7)","2026-02-16-rio-de-janeiro-brazil-2026-clay-round-of-32-105583-127157","true"
"2026-6932","rio-de-janeiro-brazil-2026-clay","Rio de Janeiro Brazil","2026","2026-02-16","Clay","Round of 16","Round of 16","40","MS008","8.0","144869","Tomas Martin Etcheverry","209147","Vilius Gaubas","144869","Tomas Martin Etcheverry","7-6(1) 6-4","2026-02-16-rio-de-janeiro-brazil-2026-clay-round-of-16-144869-209147","true"
"2026-6932","rio-de-janeiro-brazil-2026-clay","Rio de Janeiro Brazil","2026","2026-02-16","Clay","Round of 16","Round of 16","40","MS009","9.0","210262","Jaime Faria","106000","Damir Dzumhur","210262","Jaime Faria","7-6(1) 6-4","2026-02-16-rio-de-janeiro-brazil-2026-clay-round-of-16-210262-106000","true"
"2026-6932","rio-de-janeiro-brazil-2026-clay","Rio de Janeiro Brazil","2026","2026-02-16","Clay","Round of 16","Round of 16","40","MS010","10.0","200240","Vit Kopriva","208882","Roman Andres Burruchaga","200240","Vit Kopriva","6-3 6-1","2026-02-16-rio-de-janeiro-brazil-2026-clay-round-of-16-200240-208882","true"
"2026-6932","rio-de-janeiro-brazil-2026-clay","Rio de Janeiro Brazil","2026","2026-02-16","Clay","Round of 16","Round of 16","40","MS011","11.0","207678","Juan Manuel Cerundolo","105870","Yannick Hanfmann","207678","Juan Manuel Cerundolo","6-4 6-7(1) 6-4","2026-02-16-rio-de-janeiro-brazil-2026-clay-round-of-16-207678-105870","true"
"2026-6932","rio-de-janeiro-brazil-2026-clay","Rio de Janeiro Brazil","2026","2026-02-16","Clay","Round of 16","Round of 16","40","MS012","12.0","126214","Alejandro Tabilo","208859","Francesco Passaro","126214","Alejandro Tabilo","4-6 7-6(0) 6-2","2026-02-16-rio-de-janeiro-brazil-2026-clay-round-of-16-126214-208859","true"
"2026-6932","rio-de-janeiro-brazil-2026-clay","Rio de Janeiro Brazil","2026","2026-02-16","Clay","Round of 16","Round of 16","40","MS013","13.0","202058","Thiago Agustin Tirante","202103","Francisco Cerundolo","202058","Thiago Agustin Tirante","6-2 3-1 RET","2026-02-16-rio-de-janeiro-brazil-2026-clay-round-of-16-202058-202103","true"
"2026-6932","rio-de-janeiro-brazil-2026-clay","Rio de Janeiro Brazil","2026","2026-02-16","Clay","Round of 16","Round of 16","40","MS014","14.0","209860","Ignacio Buse","211663","Joao Fonseca","209860","Ignacio Buse","5-7 6-3 6-4","2026-02-16-rio-de-janeiro-brazil-2026-clay-round-of-16-209860-211663","true"
"2026-6932","rio-de-janeiro-brazil-2026-clay","Rio de Janeiro Brazil","2026","2026-02-16","Clay","Round of 16","Round of 16","40","MS015","15.0","126610","Matteo Berrettini","105583","Dusan Lajovic","126610","Matteo Berrettini","3-6 6-4 6-2","2026-02-16-rio-de-janeiro-brazil-2026-clay-round-of-16-126610-105583","true"
"2026-6932","rio-de-janeiro-brazil-2026-clay","Rio de Janeiro Brazil","2026","2026-02-16","Clay","Quarter-Finals","Quarter-Finals","50","MS004","4.0","144869","Tomas Martin Etcheverry","210262","Jaime Faria","144869","Tomas Martin Etcheverry","7-6(4) 6-4","2026-02-16-rio-de-janeiro-brazil-2026-clay-quarter-finals-144869-210262","true"
"2026-6932","rio-de-janeiro-brazil-2026-clay","Rio de Janeiro Brazil","2026","2026-02-16","Clay","Quarter-Finals","Quarter-Finals","50","MS005","5.0","200240","Vit Kopriva","207678","Juan Manuel Cerundolo","200240","Vit Kopriva","6-4 6-4","2026-02-16-rio-de-janeiro-brazil-2026-clay-quarter-finals-200240-207678","true"
"2026-6932","rio-de-janeiro-brazil-2026-clay","Rio de Janeiro Brazil","2026","2026-02-16","Clay","Quarter-Finals","Quarter-Finals","50","MS006","6.0","126214","Alejandro Tabilo","202058","Thiago Agustin Tirante","126214","Alejandro Tabilo","7-6(2) 6-7(6) 6-1","2026-02-16-rio-de-janeiro-brazil-2026-clay-quarter-finals-126214-202058","true"
"2026-6932","rio-de-janeiro-brazil-2026-clay","Rio de Janeiro Brazil","2026","2026-02-16","Clay","Quarter-Finals","Quarter-Finals","50","MS007","7.0","209860","Ignacio Buse","126610","Matteo Berrettini","209860","Ignacio Buse","6-3 2-6 6-3","2026-02-16-rio-de-janeiro-brazil-2026-clay-quarter-finals-209860-126610","true"
"2026-6932","rio-de-janeiro-brazil-2026-clay","Rio de Janeiro Brazil","2026","2026-02-16","Clay","Semi-Finals","Semi-Finals","60","MS002","2.0","144869","Tomas Martin Etcheverry","200240","Vit Kopriva","144869","Tomas Martin Etcheverry","4-6 7-6(2) 7-6(4)","2026-02-16-rio-de-janeiro-brazil-2026-clay-semi-finals-144869-200240","true"
"2026-6932","rio-de-janeiro-brazil-2026-clay","Rio de Janeiro Brazil","2026","2026-02-16","Clay","Semi-Finals","Semi-Finals","60","MS003","3.0","126214","Alejandro Tabilo","209860","Ignacio Buse","126214","Alejandro Tabilo","6-3 6-3","2026-02-16-rio-de-janeiro-brazil-2026-clay-semi-finals-126214-209860","true"
"2026-6932","rio-de-janeiro-brazil-2026-clay","Rio de Janeiro Brazil","2026","2026-02-16","Clay","Finals","Finals","70","MS001","1.0","144869","Tomas Martin Etcheverry","126214","Alejandro Tabilo","144869","Tomas Martin Etcheverry","3-6 7-6(3) 6-4","2026-02-16-rio-de-janeiro-brazil-2026-clay-finals-144869-126214","true"
