"tournament_id","tournament_slug","tournament_name","year","match_date","surface","round","round_display","round_order","id_num","draw_match_number","player_1_id","player_1_name","player_2_id","player_2_name","winner_id","winner_name","score","match_id","has_match_statistics"
"2026-0520","roland-garros-2026-clay","Roland Garros","2026","2026-06-07","Clay","Round of 128","Round of 128","10","MS064","64.0","206173","Jannik Sinner","202127","Clement Tabur","206173","Jannik Sinner","n/a","","false"
"2026-0520","roland-garros-2026-clay","Roland Garros","2026","2026-06-07","Clay","Round of 128","Round of 128","10","MS065","65.0","207678","Juan Manuel Cerundolo","207985","Jacob Fearnley","207678","Juan Manuel Cerundolo","n/a","","false"
"2026-0520","roland-garros-2026-clay","Roland Garros","2026","2026-06-07","Clay","Round of 128","Round of 128","10","MS066","66.0","212021","Martin Landaluce","210178","Juan Carlos Prado Angelo","212021","Martin Landaluce","n/a","","false"
"2026-0520","roland-garros-2026-clay","Roland Garros","2026","2026-06-07","Clay","Round of 128","Round of 128","10","MS067","67.0","200240","Vit Kopriva","144895","Corentin Moutet","200240","Vit Kopriva","n/a","","false"
"2026-0520","roland-garros-2026-clay","Roland Garros","2026","2026-06-07","Clay","Round of 128","Round of 128","10","MS068","68.0","126239","Arthur Rinderknech","200514","Jurij Rodionov","126239","Arthur Rinderknech","n/a","","false"
"2026-0520","roland-garros-2026-clay","Roland Garros","2026","2026-06-07","Clay","Round of 128","Round of 128","10","MS069","69.0","126610","Matteo Berrettini","105916","Marton Fucsovics","126610","Matteo Berrettini","n/a","","false"
"2026-0520","roland-garros-2026-clay","Roland Garros","2026","2026-06-07","Clay","Round of 128","Round of 128","10","MS070","70.0","207681","Francisco Comesana","210319","Ethan Quinn","207681","Francisco Comesana","n/a","","false"
"2026-0520","roland-garros-2026-clay","Roland Garros","2026","2026-06-07","Clay","Round of 128","Round of 128","10","MS071","71.0","209260","Luciano Darderi","124116","Sebastian Ofner","209260","Luciano Darderi","n/a","","false"
"2026-0520","roland-garros-2026-clay","Roland Garros","2026","2026-06-07","Clay","Round of 128","Round of 128","10","MS072","72.0","105526","Jan Lennard Struff","122330","Alexander Bublik","105526","Jan Lennard Struff","n/a","","false"
"2026-0520","roland-garros-2026-clay","Roland Garros","2026","2026-06-07","Clay","Round of 128","Round of 128","10","MS073","73.0","210262","Jaime Faria","133430","Denis Shapovalov","210262","Jaime Faria","n/a","","false"
"2026-0520","roland-garros-2026-clay","Roland Garros","2026","2026-06-07","Clay","Round of 128","Round of 128","10","MS074","74.0","128034","Hubert Hurkacz","144719","Jaume Munar","128034","Hubert Hurkacz","n/a","","false"
"2026-0520","roland-garros-2026-clay","Roland Garros","2026","2026-06-07","Clay","Round of 128","Round of 128","10","MS075","75.0","126207","Frances Tiafoe","208118","Eliot Spizzirri","126207","Frances Tiafoe","n/a","","false"
"2026-0520","roland-garros-2026-clay","Roland Garros","2026","2026-06-07","Clay","Round of 128","Round of 128","10","MS076","76.0","208286","Matteo Arnaldi","134868","Tallon Griekspoor","208286","Matteo Arnaldi","n/a","","false"
"2026-0520","roland-garros-2026-clay","Roland Garros","2026","2026-06-07","Clay","Round of 128","Round of 128","10","MS077","77.0","126774","Stefanos Tsitsipas","124186","Alexandre Muller","126774","Stefanos Tsitsipas","n/a","","false"
"2026-0520","roland-garros-2026-clay","Roland Garros","2026","2026-06-07","Clay","Round of 128","Round of 128","10","MS078","78.0","209920","Raphael Collignon","126846","Aleksandar Vukic","209920","Raphael Collignon","n/a","","false"
