"tournament_id","tournament_slug","tournament_name","year","match_date","surface","round","round_display","round_order","id_num","draw_match_number","player_1_id","player_1_name","player_2_id","player_2_name","winner_id","winner_name","score","match_id","has_match_statistics"
"2026-0416","rome-italy-2026-clay","Rome Italy","2026","2026-05-06","Clay","Round of 64","Round of 64","20","","","206173","Jannik Sinner","124116","Sebastian Ofner","206173","Jannik Sinner","6-3 6-4","2026-05-06-rome-italy-2026-clay-round-of-64-206173-124116","true"
"2026-0416","rome-italy-2026-clay","Rome Italy","2026","2026-05-06","Clay","Round of 64","Round of 64","20","","","200615","Alexei Popyrin","210150","Jakub Mensik","200615","Alexei Popyrin","6-3 2-6 6-4","2026-05-06-rome-italy-2026-clay-round-of-64-200615-210150","true"
"2026-0416","rome-italy-2026-clay","Rome Italy","2026","2026-05-06","Clay","Round of 64","Round of 64","20","","","126207","Frances Tiafoe","209860","Ignacio Buse","126207","Frances Tiafoe","6-7(5) 6-3 6-2","2026-05-06-rome-italy-2026-clay-round-of-64-126207-209860","true"
"2026-0416","rome-italy-2026-clay","Rome Italy","2026","2026-05-06","Clay","Round of 64","Round of 64","20","","","126504","Andrea Pellegrino","209950","Arthur Fils","126504","Andrea Pellegrino","4-0 RET","2026-05-06-rome-italy-2026-clay-round-of-64-126504-209950","true"
"2026-0416","rome-italy-2026-clay","Rome Italy","2026","2026-05-06","Clay","Round of 64","Round of 64","20","","","126094","Andrey Rublev","200175","Miomir Kecmanovic","126094","Andrey Rublev","6-4 6-4","2026-05-06-rome-italy-2026-clay-round-of-64-126094-200175","true"
"2026-0416","rome-italy-2026-clay","Rome Italy","2026","2026-05-06","Clay","Round of 64","Round of 64","20","","","200221","Alejandro Davidovich Fokina","106426","Cristian Garin","200221","Alejandro Davidovich Fokina","7-6(2) 6-4","2026-05-06-rome-italy-2026-clay-round-of-64-200221-106426","true"
"2026-0416","rome-italy-2026-clay","Rome Italy","2026","2026-05-06","Clay","Round of 64","Round of 64","20","","","206909","Brandon Nakashima","105138","Roberto Bautista Agut","206909","Brandon Nakashima","6-4 6-0","2026-05-06-rome-italy-2026-clay-round-of-64-206909-105138","true"
"2026-0416","rome-italy-2026-clay","Rome Italy","2026","2026-05-06","Clay","Round of 64","Round of 64","20","","","105932","Nikoloz Basilashvili","210097","Ben Shelton","105932","Nikoloz Basilashvili","6-4 6-7(5) 6-3","2026-05-06-rome-italy-2026-clay-round-of-64-105932-210097","true"
"2026-0416","rome-italy-2026-clay","Rome Italy","2026","2026-05-06","Clay","Round of 64","Round of 64","20","","","208363","Mariano Navone","200000","Felix Auger Aliassime","208363","Mariano Navone","7-6(4) 7-6(5)","2026-05-06-rome-italy-2026-clay-round-of-64-208363-200000","true"
"2026-0416","rome-italy-2026-clay","Rome Italy","2026","2026-05-06","Clay","Round of 64","Round of 64","20","","","209098","Hamad Medjedovic","211663","Joao Fonseca","209098","Hamad Medjedovic","3-6 6-3 7-6(1)","2026-05-06-rome-italy-2026-clay-round-of-64-209098-211663","true"
"2026-0416","rome-italy-2026-clay","Rome Italy","2026","2026-05-06","Clay","Round of 64","Round of 64","20","","","208233","Mattia Bellucci","144869","Tomas Martin Etcheverry","208233","Mattia Bellucci","5-7 6-2 6-3","2026-05-06-rome-italy-2026-clay-round-of-64-208233-144869","true"
"2026-0416","rome-italy-2026-clay","Rome Italy","2026","2026-05-06","Clay","Round of 64","Round of 64","20","","","212021","Martin Landaluce","105227","Marin Cilic","212021","Martin Landaluce","6-4 6-4","2026-05-06-rome-italy-2026-clay-round-of-64-212021-105227","true"
"2026-0416","rome-italy-2026-clay","Rome Italy","2026","2026-05-06","Clay","Round of 64","Round of 64","20","","","207925","Flavio Cobolli","209279","Terence Atmane","207925","Flavio Cobolli","7-6(1) 6-3","2026-05-06-rome-italy-2026-clay-round-of-64-207925-209279","true"
"2026-0416","rome-italy-2026-clay","Rome Italy","2026","2026-05-06","Clay","Round of 64","Round of 64","20","","","202058","Thiago Agustin Tirante","111815","Cameron Norrie","202058","Thiago Agustin Tirante","6-3 7-5","2026-05-06-rome-italy-2026-clay-round-of-64-202058-111815","true"
"2026-0416","rome-italy-2026-clay","Rome Italy","2026","2026-05-06","Clay","Round of 64","Round of 64","20","","","208010","Pablo Llamas Ruiz","144895","Corentin Moutet","208010","Pablo Llamas Ruiz","6-4 3-6 7-6(4)","2026-05-06-rome-italy-2026-clay-round-of-64-208010-144895","true"
"2026-0416","rome-italy-2026-clay","Rome Italy","2026","2026-05-06","Clay","Round of 64","Round of 64","20","","","106421","Daniil Medvedev","207830","Tomas Machac","106421","Daniil Medvedev","W/O","2026-05-06-rome-italy-2026-clay-round-of-64-106421-207830","true"
"2026-0416","rome-italy-2026-clay","Rome Italy","2026","2026-05-06","Clay","Round of 64","Round of 64","20","","","207518","Lorenzo Musetti","208659","Giovanni Mpetshi Perricard","207518","Lorenzo Musetti","6-4 6-4","2026-05-06-rome-italy-2026-clay-round-of-64-207518-208659","true"
"2026-0416","rome-italy-2026-clay","Rome Italy","2026","2026-05-06","Clay","Round of 64","Round of 64","20","","","202103","Francisco Cerundolo","126214","Alejandro Tabilo","202103","Francisco Cerundolo","6-0 6-2","2026-05-06-rome-italy-2026-clay-round-of-64-202103-126214","true"
"2026-0416","rome-italy-2026-clay","Rome Italy","2026","2026-05-06","Clay","Round of 64","Round of 64","20","","","134770","Casper Ruud","208260","Zachary Svajda","134770","Casper Ruud","6-1 6-3","2026-05-06-rome-italy-2026-clay-round-of-64-134770-208260","true"
