"tournament_id","tournament_slug","tournament_name","year","match_date","surface","round","round_display","round_order","id_num","draw_match_number","player_1_id","player_1_name","player_2_id","player_2_name","winner_id","winner_name","score","match_id","has_match_statistics"
"2026-0407","rotterdam-netherlands-2026-hard","Rotterdam Netherlands","2026","2026-02-09","Hard","Round of 32","Round of 32","30","MS016","16.0","200282","Alex De Minaur","209950","Arthur Fils","200282","Alex De Minaur","7-6(3) 6-2","2026-02-09-rotterdam-netherlands-2026-hard-round-of-32-200282-209950","true"
"2026-0407","rotterdam-netherlands-2026-hard","Rotterdam Netherlands","2026","2026-02-09","Hard","Round of 32","Round of 32","30","MS017","17.0","104527","Stan Wawrinka","212275","Thijs Boogaard","104527","Stan Wawrinka","6-3 6-4","2026-02-09-rotterdam-netherlands-2026-hard-round-of-32-104527-212275","true"
"2026-0407","rotterdam-netherlands-2026-hard","Rotterdam Netherlands","2026","2026-02-09","Hard","Round of 32","Round of 32","30","MS018","18.0","122298","Botic Van De Zandschulp","202146","Luka Pavlovic","122298","Botic Van De Zandschulp","7-6(5) 6-3","2026-02-09-rotterdam-netherlands-2026-hard-round-of-32-122298-202146","true"
"2026-0407","rotterdam-netherlands-2026-hard","Rotterdam Netherlands","2026","2026-02-09","Hard","Round of 32","Round of 32","30","MS019","19.0","126774","Stefanos Tsitsipas","126239","Arthur Rinderknech","126774","Stefanos Tsitsipas","7-5 6-3","2026-02-09-rotterdam-netherlands-2026-hard-round-of-32-126774-126239","true"
"2026-0407","rotterdam-netherlands-2026-hard","Rotterdam Netherlands","2026","2026-02-09","Hard","Round of 32","Round of 32","30","MS020","20.0","200005","Ugo Humbert","106421","Daniil Medvedev","200005","Ugo Humbert","7-6(4) 3-6 6-3","2026-02-09-rotterdam-netherlands-2026-hard-round-of-32-200005-106421","true"
"2026-0407","rotterdam-netherlands-2026-hard","Rotterdam Netherlands","2026","2026-02-09","Hard","Round of 32","Round of 32","30","MS021","21.0","209911","Guy Den Ouden","105916","Marton Fucsovics","209911","Guy Den Ouden","7-6(5) 6-1","2026-02-09-rotterdam-netherlands-2026-hard-round-of-32-209911-105916","true"
"2026-0407","rotterdam-netherlands-2026-hard","Rotterdam Netherlands","2026","2026-02-09","Hard","Round of 32","Round of 32","30","MS022","22.0","106331","Christopher Oconnell","208316","Valentin Royer","106331","Christopher Oconnell","6-4 4-6 7-6(4)","2026-02-09-rotterdam-netherlands-2026-hard-round-of-32-106331-208316","true"
"2026-0407","rotterdam-netherlands-2026-hard","Rotterdam Netherlands","2026","2026-02-09","Hard","Round of 32","Round of 32","30","MS023","23.0","111815","Cameron Norrie","105138","Roberto Bautista Agut","111815","Cameron Norrie","7-6(3) 6-1","2026-02-09-rotterdam-netherlands-2026-hard-round-of-32-111815-105138","true"
"2026-0407","rotterdam-netherlands-2026-hard","Rotterdam Netherlands","2026","2026-02-09","Hard","Round of 32","Round of 32","30","MS024","24.0","200000","Felix Auger Aliassime","200615","Alexei Popyrin","200000","Felix Auger Aliassime","7-5 6-3","2026-02-09-rotterdam-netherlands-2026-hard-round-of-32-200000-200615","true"
"2026-0407","rotterdam-netherlands-2026-hard","Rotterdam Netherlands","2026","2026-02-09","Hard","Round of 32","Round of 32","30","MS025","25.0","209098","Hamad Medjedovic","200267","Zizou Bergs","209098","Hamad Medjedovic","7-6(5) 7-6(5)","2026-02-09-rotterdam-netherlands-2026-hard-round-of-32-209098-200267","true"
