"tournament_id","tournament_slug","tournament_name","year","match_date","surface","round","round_display","round_order","id_num","draw_match_number","player_1_id","player_1_name","player_2_id","player_2_name","winner_id","winner_name","score","match_id","has_match_statistics"
"2026-8996","santiago-chile-2026-clay","Santiago Chile","2026","2026-02-23","Clay","Round of 32","Round of 32","30","MS017","17.0","208363","Mariano Navone","200240","Vit Kopriva","208363","Mariano Navone","3-6 6-0 3-1 RET","2026-02-23-santiago-chile-2026-clay-round-of-32-208363-200240","true"
"2026-8996","santiago-chile-2026-clay","Santiago Chile","2026","2026-02-23","Clay","Round of 32","Round of 32","30","MS018","18.0","126504","Andrea Pellegrino","209875","Alex Barrena","126504","Andrea Pellegrino","6-2 2-6 6-1","2026-02-23-santiago-chile-2026-clay-round-of-32-126504-209875","true"
"2026-8996","santiago-chile-2026-clay","Santiago Chile","2026","2026-02-23","Clay","Round of 32","Round of 32","30","MS019","19.0","207681","Francisco Comesana","124079","Pedro Martinez","207681","Francisco Comesana","6-4 2-6 7-6(4)","2026-02-23-santiago-chile-2026-clay-round-of-32-207681-124079","true"
"2026-8996","santiago-chile-2026-clay","Santiago Chile","2026","2026-02-23","Clay","Round of 32","Round of 32","30","MS021","21.0","106426","Cristian Garin","207678","Juan Manuel Cerundolo","106426","Cristian Garin","3-6 6-3 6-3","2026-02-23-santiago-chile-2026-clay-round-of-32-106426-207678","true"
"2026-8996","santiago-chile-2026-clay","Santiago Chile","2026","2026-02-23","Clay","Round of 32","Round of 32","30","MS022","22.0","126214","Alejandro Tabilo","144642","Tomas Barrios Vera","126214","Alejandro Tabilo","7-5 6-3","2026-02-23-santiago-chile-2026-clay-round-of-32-126214-144642","true"
"2026-8996","santiago-chile-2026-clay","Santiago Chile","2026","2026-02-23","Clay","Round of 32","Round of 32","30","MS023","23.0","202058","Thiago Agustin Tirante","209860","Ignacio Buse","202058","Thiago Agustin Tirante","2-6 7-6(0) 7-6(2)","2026-02-23-santiago-chile-2026-clay-round-of-32-202058-209860","true"
"2026-8996","santiago-chile-2026-clay","Santiago Chile","2026","2026-02-23","Clay","Round of 32","Round of 32","30","MS024","24.0","105870","Yannick Hanfmann","105583","Dusan Lajovic","105870","Yannick Hanfmann","6-0 6-3","2026-02-23-santiago-chile-2026-clay-round-of-32-105870-105583","true"
"2026-8996","santiago-chile-2026-clay","Santiago Chile","2026","2026-02-23","Clay","Round of 32","Round of 32","30","MS026","26.0","209147","Vilius Gaubas","207130","Matias Soto","209147","Vilius Gaubas","6-2 6-3","2026-02-23-santiago-chile-2026-clay-round-of-32-209147-207130","true"
"2026-8996","santiago-chile-2026-clay","Santiago Chile","2026","2026-02-23","Clay","Round of 32","Round of 32","30","MS027","27.0","209976","Dino Prizmic","111797","Nicolas Jarry","209976","Dino Prizmic","6-3 5-7 6-2","2026-02-23-santiago-chile-2026-clay-round-of-32-209976-111797","true"
"2026-8996","santiago-chile-2026-clay","Santiago Chile","2026","2026-02-23","Clay","Round of 32","Round of 32","30","MS029","29.0","209284","Elmer Moller","208882","Roman Andres Burruchaga","209284","Elmer Moller","7-6(4) 0-6 6-4","2026-02-23-santiago-chile-2026-clay-round-of-32-209284-208882","true"
"2026-8996","santiago-chile-2026-clay","Santiago Chile","2026","2026-02-23","Clay","Round of 32","Round of 32","30","MS030","30.0","207182","Emilio Nava","126610","Matteo Berrettini","207182","Emilio Nava","6-3 6-4","2026-02-23-santiago-chile-2026-clay-round-of-32-207182-126610","true"
"2026-8996","santiago-chile-2026-clay","Santiago Chile","2026","2026-02-23","Clay","Round of 32","Round of 32","30","MS031","31.0","209226","Adolfo Daniel Vallejo","208859","Francesco Passaro","209226","Adolfo Daniel Vallejo","6-3 3-3 RET","2026-02-23-santiago-chile-2026-clay-round-of-32-209226-208859","true"
"2026-8996","santiago-chile-2026-clay","Santiago Chile","2026","2026-02-23","Clay","Round of 16","Round of 16","40","MS008","8.0","209260","Luciano Darderi","208363","Mariano Navone","209260","Luciano Darderi","6-3 3-6 6-4","2026-02-23-santiago-chile-2026-clay-round-of-16-209260-208363","true"
"2026-8996","santiago-chile-2026-clay","Santiago Chile","2026","2026-02-23","Clay","Round of 16","Round of 16","40","MS009","9.0","126504","Andrea Pellegrino","207681","Francisco Comesana","126504","Andrea Pellegrino","7-6(3) 6-7(2) 6-3","2026-02-23-santiago-chile-2026-clay-round-of-16-126504-207681","true"
"2026-8996","santiago-chile-2026-clay","Santiago Chile","2026","2026-02-23","Clay","Round of 16","Round of 16","40","MS010","10.0","202104","Sebastian Baez","106426","Cristian Garin","202104","Sebastian Baez","7-6(2) 1-6 7-5","2026-02-23-santiago-chile-2026-clay-round-of-16-202104-106426","true"
"2026-8996","santiago-chile-2026-clay","Santiago Chile","2026","2026-02-23","Clay","Round of 16","Round of 16","40","MS011","11.0","126214","Alejandro Tabilo","202058","Thiago Agustin Tirante","126214","Alejandro Tabilo","4-6 6-3 6-3","2026-02-23-santiago-chile-2026-clay-round-of-16-126214-202058","true"
"2026-8996","santiago-chile-2026-clay","Santiago Chile","2026","2026-02-23","Clay","Round of 16","Round of 16","40","MS012","12.0","105870","Yannick Hanfmann","200116","Camilo Ugo Carabelli","105870","Yannick Hanfmann","6-4 6-3","2026-02-23-santiago-chile-2026-clay-round-of-16-105870-200116","true"
"2026-8996","santiago-chile-2026-clay","Santiago Chile","2026","2026-02-23","Clay","Round of 16","Round of 16","40","MS013","13.0","209147","Vilius Gaubas","209976","Dino Prizmic","209147","Vilius Gaubas","5-7 7-5 6-3","2026-02-23-santiago-chile-2026-clay-round-of-16-209147-209976","true"
"2026-8996","santiago-chile-2026-clay","Santiago Chile","2026","2026-02-23","Clay","Round of 16","Round of 16","40","MS014","14.0","202103","Francisco Cerundolo","209284","Elmer Moller","202103","Francisco Cerundolo","6-2 6-2","2026-02-23-santiago-chile-2026-clay-round-of-16-202103-209284","true"
"2026-8996","santiago-chile-2026-clay","Santiago Chile","2026","2026-02-23","Clay","Round of 16","Round of 16","40","MS015","15.0","207182","Emilio Nava","209226","Adolfo Daniel Vallejo","207182","Emilio Nava","7-5 6-3","2026-02-23-santiago-chile-2026-clay-round-of-16-207182-209226","true"
"2026-8996","santiago-chile-2026-clay","Santiago Chile","2026","2026-02-23","Clay","Quarter-Finals","Quarter-Finals","50","MS004","4.0","209260","Luciano Darderi","126504","Andrea Pellegrino","209260","Luciano Darderi","6-3 3-6 6-2","2026-02-23-santiago-chile-2026-clay-quarter-finals-209260-126504","true"
"2026-8996","santiago-chile-2026-clay","Santiago Chile","2026","2026-02-23","Clay","Quarter-Finals","Quarter-Finals","50","MS005","5.0","202104","Sebastian Baez","126214","Alejandro Tabilo","202104","Sebastian Baez","7-6(2) 6-1","2026-02-23-santiago-chile-2026-clay-quarter-finals-202104-126214","true"
"2026-8996","santiago-chile-2026-clay","Santiago Chile","2026","2026-02-23","Clay","Quarter-Finals","Quarter-Finals","50","MS006","6.0","105870","Yannick Hanfmann","209147","Vilius Gaubas","105870","Yannick Hanfmann","3-6 6-2 6-2","2026-02-23-santiago-chile-2026-clay-quarter-finals-105870-209147","true"
"2026-8996","santiago-chile-2026-clay","Santiago Chile","2026","2026-02-23","Clay","Quarter-Finals","Quarter-Finals","50","MS007","7.0","202103","Francisco Cerundolo","207182","Emilio Nava","202103","Francisco Cerundolo","6-1 6-1","2026-02-23-santiago-chile-2026-clay-quarter-finals-202103-207182","true"
"2026-8996","santiago-chile-2026-clay","Santiago Chile","2026","2026-02-23","Clay","Semi-Finals","Semi-Finals","60","MS002","2.0","209260","Luciano Darderi","202104","Sebastian Baez","209260","Luciano Darderi","6-4 6-3","2026-02-23-santiago-chile-2026-clay-semi-finals-209260-202104","true"
"2026-8996","santiago-chile-2026-clay","Santiago Chile","2026","2026-02-23","Clay","Semi-Finals","Semi-Finals","60","MS003","3.0","105870","Yannick Hanfmann","202103","Francisco Cerundolo","105870","Yannick Hanfmann","6-3 6-4","2026-02-23-santiago-chile-2026-clay-semi-finals-105870-202103","true"
"2026-8996","santiago-chile-2026-clay","Santiago Chile","2026","2026-02-23","Clay","Finals","Finals","70","MS001","1.0","209260","Luciano Darderi","105870","Yannick Hanfmann","209260","Luciano Darderi","7-6(6) 7-5","2026-02-23-santiago-chile-2026-clay-finals-209260-105870","true"
