"tournament_id","tournament_slug","tournament_name","year","match_date","surface","round","round_display","round_order","id_num","draw_match_number","player_1_id","player_1_name","player_2_id","player_2_name","winner_id","winner_name","score","match_id","has_match_statistics"
"2026-0440","shertogenbosch-netherlands-2026-grass","sHertogenbosch Netherlands","2026","2026-06-14","Grass","Round of 32","Round of 32","30","MS017","17.0","105916","Marton Fucsovics","128034","Hubert Hurkacz","105916","Marton Fucsovics","3-6 7-6(5) 7-6(4)","2026-06-14-shertogenbosch-netherlands-2026-grass-round-of-32-105916-128034","true"
"2026-0440","shertogenbosch-netherlands-2026-grass","sHertogenbosch Netherlands","2026","2026-06-14","Grass","Round of 32","Round of 32","30","MS018","18.0","111794","Kamil Majchrzak","202261","Otto Virtanen","111794","Kamil Majchrzak","6-7(7) 6-4 7-6(4)","2026-06-14-shertogenbosch-netherlands-2026-grass-round-of-32-111794-202261","true"
"2026-0440","shertogenbosch-netherlands-2026-grass","sHertogenbosch Netherlands","2026","2026-06-14","Grass","Round of 32","Round of 32","30","MS019","19.0","210317","James Mccabe","200267","Zizou Bergs","210317","James Mccabe","6-7(2) 6-2 7-6(4)","2026-06-14-shertogenbosch-netherlands-2026-grass-round-of-32-210317-200267","true"
"2026-0440","shertogenbosch-netherlands-2026-grass","sHertogenbosch Netherlands","2026","2026-06-14","Grass","Round of 32","Round of 32","30","MS021","21.0","212275","Thijs Boogaard","200059","Yibing Wu","212275","Thijs Boogaard","6-3 2-6 6-4","2026-06-14-shertogenbosch-netherlands-2026-grass-round-of-32-212275-200059","true"
"2026-0440","shertogenbosch-netherlands-2026-grass","sHertogenbosch Netherlands","2026","2026-06-14","Grass","Round of 32","Round of 32","30","MS022","22.0","132686","Nuno Borges","209279","Terence Atmane","132686","Nuno Borges","6-4 6-4","2026-06-14-shertogenbosch-netherlands-2026-grass-round-of-32-132686-209279","true"
"2026-0440","shertogenbosch-netherlands-2026-grass","sHertogenbosch Netherlands","2026","2026-06-14","Grass","Round of 32","Round of 32","30","MS023","23.0","105227","Marin Cilic","133430","Denis Shapovalov","105227","Marin Cilic","6-7(5) 6-4 7-5","2026-06-14-shertogenbosch-netherlands-2026-grass-round-of-32-105227-133430","true"
"2026-0440","shertogenbosch-netherlands-2026-grass","sHertogenbosch Netherlands","2026","2026-06-14","Grass","Round of 32","Round of 32","30","MS024","24.0","134868","Tallon Griekspoor","122298","Botic Van De Zandschulp","134868","Tallon Griekspoor","6-2 6-7(2) 6-4","2026-06-14-shertogenbosch-netherlands-2026-grass-round-of-32-134868-122298","true"
"2026-0440","shertogenbosch-netherlands-2026-grass","sHertogenbosch Netherlands","2026","2026-06-14","Grass","Round of 32","Round of 32","30","MS025","25.0","111190","Zhizhen Zhang","202385","Jenson Brooksby","111190","Zhizhen Zhang","7-6(4) 5-7 6-1","2026-06-14-shertogenbosch-netherlands-2026-grass-round-of-32-111190-202385","true"
"2026-0440","shertogenbosch-netherlands-2026-grass","sHertogenbosch Netherlands","2026","2026-06-14","Grass","Round of 32","Round of 32","30","MS026","26.0","105173","Adrian Mannarino","209113","Gabriel Diallo","105173","Adrian Mannarino","6-4 3-6 7-5","2026-06-14-shertogenbosch-netherlands-2026-grass-round-of-32-105173-209113","true"
"2026-0440","shertogenbosch-netherlands-2026-grass","sHertogenbosch Netherlands","2026","2026-06-14","Grass","Round of 32","Round of 32","30","MS028","28.0","200005","Ugo Humbert","111200","Elias Ymer","200005","Ugo Humbert","6-4 6-3","2026-06-14-shertogenbosch-netherlands-2026-grass-round-of-32-200005-111200","true"
