"tournament_id","tournament_slug","tournament_name","year","match_date","surface","round","round_display","round_order","id_num","draw_match_number","player_1_id","player_1_name","player_2_id","player_2_name","winner_id","winner_name","score","match_id","has_match_statistics"
"2026-0321","stuttgart-germany-2026-grass","Stuttgart Germany","2026","2026-06-14","Grass","Round of 32","Round of 32","30","MS017","17.0","106218","Marcos Giron","105138","Roberto Bautista Agut","106218","Marcos Giron","7-6(3) 7-5","2026-06-14-stuttgart-germany-2026-grass-round-of-32-106218-105138","true"
"2026-0321","stuttgart-germany-2026-grass","Stuttgart Germany","2026","2026-06-14","Grass","Round of 32","Round of 32","30","MS018","18.0","200647","Sho Shimabukuro","111460","Quentin Halys","200647","Sho Shimabukuro","6-4 6-2","2026-06-14-stuttgart-germany-2026-grass-round-of-32-200647-111460","true"
"2026-0321","stuttgart-germany-2026-grass","Stuttgart Germany","2026","2026-06-14","Grass","Round of 32","Round of 32","30","MS019","19.0","106401","Nick Kyrgios","144895","Corentin Moutet","106401","Nick Kyrgios","6-3 6-4","2026-06-14-stuttgart-germany-2026-grass-round-of-32-106401-144895","true"
"2026-0321","stuttgart-germany-2026-grass","Stuttgart Germany","2026","2026-06-14","Grass","Round of 32","Round of 32","30","MS021","21.0","105902","James Duckworth","212309","Diego Dedura Palomero","105902","James Duckworth","6-4 6-3","2026-06-14-stuttgart-germany-2026-grass-round-of-32-105902-212309","true"
"2026-0321","stuttgart-germany-2026-grass","Stuttgart Germany","2026","2026-06-14","Grass","Round of 32","Round of 32","30","MS022","22.0","208014","Rinky Hijikata","210167","Tom Gentzsch","208014","Rinky Hijikata","6-7(7) 7-6(2) 6-3","2026-06-14-stuttgart-germany-2026-grass-round-of-32-208014-210167","true"
"2026-0321","stuttgart-germany-2026-grass","Stuttgart Germany","2026","2026-06-14","Grass","Round of 32","Round of 32","30","MS023","23.0","126207","Frances Tiafoe","127157","Daniel Altmaier","126207","Frances Tiafoe","7-6(3) 4-6 6-4","2026-06-14-stuttgart-germany-2026-grass-round-of-32-126207-127157","true"
"2026-0321","stuttgart-germany-2026-grass","Stuttgart Germany","2026","2026-06-14","Grass","Round of 32","Round of 32","30","MS024","24.0","208659","Giovanni Mpetshi Perricard","126128","Roman Safiullin","208659","Giovanni Mpetshi Perricard","7-5 6-7(4) 7-6(4)","2026-06-14-stuttgart-germany-2026-grass-round-of-32-208659-126128","true"
"2026-0321","stuttgart-germany-2026-grass","Stuttgart Germany","2026","2026-06-14","Grass","Round of 32","Round of 32","30","MS025","25.0","206904","Gauthier Onclin","206681","Fabian Marozsan","206904","Gauthier Onclin","7-6(6) 6-3","2026-06-14-stuttgart-germany-2026-grass-round-of-32-206904-206681","true"
"2026-0321","stuttgart-germany-2026-grass","Stuttgart Germany","2026","2026-06-14","Grass","Round of 32","Round of 32","30","MS026","26.0","105526","Jan Lennard Struff","200008","Alexis Galarneau","105526","Jan Lennard Struff","6-2 6-7(5) 6-3","2026-06-14-stuttgart-germany-2026-grass-round-of-32-105526-200008","true"
"2026-0321","stuttgart-germany-2026-grass","Stuttgart Germany","2026","2026-06-14","Grass","Round of 32","Round of 32","30","MS028","28.0","208233","Mattia Bellucci","200221","Alejandro Davidovich Fokina","208233","Mattia Bellucci","6-2 6-7(5) 6-1","2026-06-14-stuttgart-germany-2026-grass-round-of-32-208233-200221","true"
"2026-0321","stuttgart-germany-2026-grass","Stuttgart Germany","2026","2026-06-14","Grass","Round of 32","Round of 32","30","MS029","29.0","105870","Yannick Hanfmann","206499","Aleksandar Kovacevic","105870","Yannick Hanfmann","7-6(5) 7-6(4)","2026-06-14-stuttgart-germany-2026-grass-round-of-32-105870-206499","true"
"2026-0321","stuttgart-germany-2026-grass","Stuttgart Germany","2026","2026-06-14","Grass","Round of 32","Round of 32","30","MS030","30.0","212021","Martin Landaluce","105732","Pierre Hugues Herbert","212021","Martin Landaluce","5-7 6-3 6-4","2026-06-14-stuttgart-germany-2026-grass-round-of-32-212021-105732","true"
"2026-0321","stuttgart-germany-2026-grass","Stuttgart Germany","2026","2026-06-14","Grass","Round of 16","Round of 16","40","MS008","8.0","210097","Ben Shelton","106218","Marcos Giron","210097","Ben Shelton","6-7(4) 6-4 7-6(5)","2026-06-14-stuttgart-germany-2026-grass-round-of-16-210097-106218","true"
"2026-0321","stuttgart-germany-2026-grass","Stuttgart Germany","2026","2026-06-14","Grass","Round of 16","Round of 16","40","MS009","9.0","200647","Sho Shimabukuro","106401","Nick Kyrgios","200647","Sho Shimabukuro","4-6 7-6(5) 6-4","2026-06-14-stuttgart-germany-2026-grass-round-of-16-200647-106401","true"
"2026-0321","stuttgart-germany-2026-grass","Stuttgart Germany","2026","2026-06-14","Grass","Round of 16","Round of 16","40","MS010","10.0","208103","Jiri Lehecka","105902","James Duckworth","208103","Jiri Lehecka","6-7(8) 6-4 7-6(3)","2026-06-14-stuttgart-germany-2026-grass-round-of-16-208103-105902","true"
"2026-0321","stuttgart-germany-2026-grass","Stuttgart Germany","2026","2026-06-14","Grass","Round of 16","Round of 16","40","MS011","11.0","126207","Frances Tiafoe","208014","Rinky Hijikata","126207","Frances Tiafoe","6-4 6-4","2026-06-14-stuttgart-germany-2026-grass-round-of-16-126207-208014","true"
"2026-0321","stuttgart-germany-2026-grass","Stuttgart Germany","2026","2026-06-14","Grass","Round of 16","Round of 16","40","MS012","12.0","208659","Giovanni Mpetshi Perricard","206904","Gauthier Onclin","208659","Giovanni Mpetshi Perricard","7-6(1) 6-2","2026-06-14-stuttgart-germany-2026-grass-round-of-16-208659-206904","true"
"2026-0321","stuttgart-germany-2026-grass","Stuttgart Germany","2026","2026-06-14","Grass","Round of 16","Round of 16","40","MS013","13.0","122330","Alexander Bublik","105526","Jan Lennard Struff","122330","Alexander Bublik","7-6(3) 3-6 6-2","2026-06-14-stuttgart-germany-2026-grass-round-of-16-122330-105526","true"
"2026-0321","stuttgart-germany-2026-grass","Stuttgart Germany","2026","2026-06-14","Grass","Round of 16","Round of 16","40","MS014","14.0","208233","Mattia Bellucci","105870","Yannick Hanfmann","208233","Mattia Bellucci","7-5 6-7(4) 6-2","2026-06-14-stuttgart-germany-2026-grass-round-of-16-208233-105870","true"
"2026-0321","stuttgart-germany-2026-grass","Stuttgart Germany","2026","2026-06-14","Grass","Round of 16","Round of 16","40","MS015","15.0","126203","Taylor Fritz","212021","Martin Landaluce","126203","Taylor Fritz","6-7(4) 7-5 7-6(3)","2026-06-14-stuttgart-germany-2026-grass-round-of-16-126203-212021","true"
"2026-0321","stuttgart-germany-2026-grass","Stuttgart Germany","2026","2026-06-14","Grass","Quarterfinals","Quarterfinals","50","MS004","4.0","210097","Ben Shelton","200647","Sho Shimabukuro","210097","Ben Shelton","4-6 6-3 6-4","2026-06-14-stuttgart-germany-2026-grass-quarterfinals-210097-200647","true"
"2026-0321","stuttgart-germany-2026-grass","Stuttgart Germany","2026","2026-06-14","Grass","Quarterfinals","Quarterfinals","50","MS005","5.0","208103","Jiri Lehecka","126207","Frances Tiafoe","208103","Jiri Lehecka","6-4 7-6(4)","2026-06-14-stuttgart-germany-2026-grass-quarterfinals-208103-126207","true"
"2026-0321","stuttgart-germany-2026-grass","Stuttgart Germany","2026","2026-06-14","Grass","Quarterfinals","Quarterfinals","50","MS006","6.0","122330","Alexander Bublik","208659","Giovanni Mpetshi Perricard","122330","Alexander Bublik","7-6(5) 7-6(3)","2026-06-14-stuttgart-germany-2026-grass-quarterfinals-122330-208659","true"
