"tournament_id","tournament_slug","tournament_name","year","match_date","surface","round","round_display","round_order","id_num","draw_match_number","player_1_id","player_1_name","player_2_id","player_2_name","winner_id","winner_name","score","match_id","has_match_statistics"
"2026-0439","umag-croatia-2026-clay","Umag Croatia","2026","2026-07-13","Clay","Round of 32","Round of 32","30","MS017","17.0","208882","Roman Andres Burruchaga","106065","Marco Cecchinato","208882","Roman Andres Burruchaga","6-1 6-4","2026-07-13-umag-croatia-2026-clay-round-of-32-208882-106065","true"
"2026-0439","umag-croatia-2026-clay","Umag Croatia","2026","2026-07-13","Clay","Round of 32","Round of 32","30","MS018","18.0","105807","Pablo Carreno Busta","212063","Matej Dodig","105807","Pablo Carreno Busta","6-4 6-2","2026-07-13-umag-croatia-2026-clay-round-of-32-105807-212063","true"
"2026-0439","umag-croatia-2026-clay","Umag Croatia","2026","2026-07-13","Clay","Round of 32","Round of 32","30","MS019","19.0","200116","Camilo Ugo Carabelli","209916","Marko Topo","200116","Camilo Ugo Carabelli","6-7(2) 7-6(3) 6-3","2026-07-13-umag-croatia-2026-clay-round-of-32-200116-209916","true"
"2026-0439","umag-croatia-2026-clay","Umag Croatia","2026","2026-07-13","Clay","Round of 32","Round of 32","30","MS021","21.0","210017","Daniel Merida Aguilar","212949","Ziga Sesko","210017","Daniel Merida Aguilar","6-4 6-1","2026-07-13-umag-croatia-2026-clay-round-of-32-210017-212949","true"
"2026-0439","umag-croatia-2026-clay","Umag Croatia","2026","2026-07-13","Clay","Round of 32","Round of 32","30","MS022","22.0","209414","Luca Van Assche","105583","Dusan Lajovic","209414","Luca Van Assche","2-6 7-5 6-4","2026-07-13-umag-croatia-2026-clay-round-of-32-209414-105583","true"
"2026-0439","umag-croatia-2026-clay","Umag Croatia","2026","2026-07-13","Clay","Round of 32","Round of 32","30","MS023","23.0","208169","Titouan Droguet","210696","Alexander Blockx","208169","Titouan Droguet","3-6 6-2 6-0","2026-07-13-umag-croatia-2026-clay-round-of-32-208169-210696","true"
"2026-0439","umag-croatia-2026-clay","Umag Croatia","2026","2026-07-13","Clay","Round of 32","Round of 32","30","MS024","24.0","210178","Juan Carlos Prado Angelo","209903","Lukas Neumayer","210178","Juan Carlos Prado Angelo","6-3 7-6(6)","2026-07-13-umag-croatia-2026-clay-round-of-32-210178-209903","true"
"2026-0439","umag-croatia-2026-clay","Umag Croatia","2026","2026-07-13","Clay","Round of 32","Round of 32","30","MS025","25.0","106000","Damir Dzumhur","210012","Henrique Rocha","106000","Damir Dzumhur","6-2 6-1","2026-07-13-umag-croatia-2026-clay-round-of-32-106000-210012","true"
"2026-0439","umag-croatia-2026-clay","Umag Croatia","2026","2026-07-13","Clay","Round of 32","Round of 32","30","MS026","26.0","144870","Federico Agustin Gomez","213360","Niels Mcdonald","144870","Federico Agustin Gomez","6-3 7-6(4)","2026-07-13-umag-croatia-2026-clay-round-of-32-144870-213360","true"
"2026-0439","umag-croatia-2026-clay","Umag Croatia","2026","2026-07-13","Clay","Round of 32","Round of 32","30","MS028","28.0","209976","Dino Prizmic","200240","Vit Kopriva","209976","Dino Prizmic","6-1 6-3","2026-07-13-umag-croatia-2026-clay-round-of-32-209976-200240","true"
"2026-0439","umag-croatia-2026-clay","Umag Croatia","2026","2026-07-13","Clay","Round of 32","Round of 32","30","MS029","29.0","144684","Alex Molcan","208316","Valentin Royer","144684","Alex Molcan","6-4 7-5","2026-07-13-umag-croatia-2026-clay-round-of-32-144684-208316","true"
"2026-0439","umag-croatia-2026-clay","Umag Croatia","2026","2026-07-13","Clay","Round of 32","Round of 32","30","MS030","30.0","105477","Marco Trungelliti","208021","Kyrian Jacquet","105477","Marco Trungelliti","6-2 6-3","2026-07-13-umag-croatia-2026-clay-round-of-32-105477-208021","true"
