"tournament_id","tournament_slug","tournament_name","year","match_date","surface","round","round_display","round_order","id_num","draw_match_number","player_1_id","player_1_name","player_2_id","player_2_name","winner_id","winner_name","score","match_id","has_match_statistics"
"2026-9900","united-cup-2026-hard","United Cup","2026","2026-01-05","Hard","Quarter-Finals","Quarter-Finals","50","","","126774","Stefanos Tsitsipas","126203","Taylor Fritz","126774","Stefanos Tsitsipas","6-4 7-5","2026-01-05-united-cup-2026-hard-quarter-finals-126774-126203","true"
"2026-9900","united-cup-2026-hard","United Cup","2026","2026-01-05","Hard","Quarter-Finals","Quarter-Finals","50","","","200282","Alex De Minaur","128034","Hubert Hurkacz","200282","Alex De Minaur","6-4 4-6 6-4","2026-01-05-united-cup-2026-hard-quarter-finals-200282-128034","true"
"2026-9900","united-cup-2026-hard","United Cup","2026","2026-01-05","Hard","Quarter-Finals","Quarter-Finals","50","","","202104","Sebastian Baez","104527","Stan Wawrinka","202104","Sebastian Baez","7-5 6-4","2026-01-05-united-cup-2026-hard-quarter-finals-202104-104527","true"
"2026-9900","united-cup-2026-hard","United Cup","2026","2026-01-05","Hard","Quarter-Finals","Quarter-Finals","50","","","200267","Zizou Bergs","210150","Jakub Mensik","200267","Zizou Bergs","6-2 7-6(4)","2026-01-05-united-cup-2026-hard-quarter-finals-200267-210150","true"
"2026-9900","united-cup-2026-hard","United Cup","2026","2026-01-05","Hard","Semi-Finals","Semi-Finals","60","","","128034","Hubert Hurkacz","126203","Taylor Fritz","128034","Hubert Hurkacz","7-6(1) 7-6(2)","2026-01-05-united-cup-2026-hard-semi-finals-128034-126203","true"
"2026-9900","united-cup-2026-hard","United Cup","2026","2026-01-05","Hard","Semi-Finals","Semi-Finals","60","","","200267","Zizou Bergs","104527","Stan Wawrinka","200267","Zizou Bergs","6-3 6-7(4) 6-3","2026-01-05-united-cup-2026-hard-semi-finals-200267-104527","true"
"2026-9900","united-cup-2026-hard","United Cup","2026","2026-01-05","Hard","Finals","Finals","70","","","128034","Hubert Hurkacz","104527","Stan Wawrinka","128034","Hubert Hurkacz","6-3 3-6 6-3","2026-01-05-united-cup-2026-hard-finals-128034-104527","true"
"2026-9900","united-cup-2026-hard","United Cup","2026","2026-01-05","Hard","Round Robin","Round Robin","90","","","126203","Taylor Fritz","144719","Jaume Munar","126203","Taylor Fritz","7-6(4) 3-6 7-6(6)","2026-01-05-united-cup-2026-hard-round-robin-126203-144719","true"
"2026-9900","united-cup-2026-hard","United Cup","2026","2026-01-05","Hard","Round Robin","Round Robin","90","","","202104","Sebastian Baez","126203","Taylor Fritz","202104","Sebastian Baez","4-6 7-5 6-4","2026-01-05-united-cup-2026-hard-round-robin-202104-126203","true"
"2026-9900","united-cup-2026-hard","United Cup","2026","2026-01-05","Hard","Round Robin","Round Robin","90","","","202104","Sebastian Baez","144719","Jaume Munar","202104","Sebastian Baez","6-4 6-4","2026-01-05-united-cup-2026-hard-round-robin-202104-144719","true"
"2026-9900","united-cup-2026-hard","United Cup","2026","2026-01-05","Hard","Round Robin","Round Robin","90","","","200267","Zizou Bergs","200000","Felix Auger Aliassime","200267","Zizou Bergs","6-4 6-2","2026-01-05-united-cup-2026-hard-round-robin-200267-200000","true"
"2026-9900","united-cup-2026-hard","United Cup","2026","2026-01-05","Hard","Round Robin","Round Robin","90","","","200000","Felix Auger Aliassime","111190","Zhizhen Zhang","200000","Felix Auger Aliassime","6-4 6-4","2026-01-05-united-cup-2026-hard-round-robin-200000-111190","true"
"2026-9900","united-cup-2026-hard","United Cup","2026","2026-01-05","Hard","Round Robin","Round Robin","90","","","111190","Zhizhen Zhang","200267","Zizou Bergs","111190","Zhizhen Zhang","6-7(2) 7-6(3) 7-5","2026-01-05-united-cup-2026-hard-round-robin-111190-200267","true"
"2026-9900","united-cup-2026-hard","United Cup","2026","2026-01-05","Hard","Round Robin","Round Robin","90","","","126239","Arthur Rinderknech","207925","Flavio Cobolli","126239","Arthur Rinderknech","6-7(4) 7-6(5) 7-5","2026-01-05-united-cup-2026-hard-round-robin-126239-207925","true"
"2026-9900","united-cup-2026-hard","United Cup","2026","2026-01-05","Hard","Round Robin","Round Robin","90","","","207925","Flavio Cobolli","104527","Stan Wawrinka","207925","Flavio Cobolli","6-4 6-7(2) 7-6(4)","2026-01-05-united-cup-2026-hard-round-robin-207925-104527","true"
"2026-9900","united-cup-2026-hard","United Cup","2026","2026-01-05","Hard","Round Robin","Round Robin","90","","","104527","Stan Wawrinka","126239","Arthur Rinderknech","104527","Stan Wawrinka","5-7 7-6(5) 7-6(5)","2026-01-05-united-cup-2026-hard-round-robin-104527-126239","true"
"2026-9900","united-cup-2026-hard","United Cup","2026","2026-01-05","Hard","Round Robin","Round Robin","90","","","200282","Alex De Minaur","210150","Jakub Mensik","200282","Alex De Minaur","6-4 6-1","2026-01-05-united-cup-2026-hard-round-robin-200282-210150","true"
"2026-9900","united-cup-2026-hard","United Cup","2026","2026-01-05","Hard","Round Robin","Round Robin","90","","","134770","Casper Ruud","200282","Alex De Minaur","134770","Casper Ruud","6-3 6-3","2026-01-05-united-cup-2026-hard-round-robin-134770-200282","true"
"2026-9900","united-cup-2026-hard","United Cup","2026","2026-01-05","Hard","Round Robin","Round Robin","90","","","210150","Jakub Mensik","134770","Casper Ruud","210150","Jakub Mensik","7-5 7-6(6)","2026-01-05-united-cup-2026-hard-round-robin-210150-134770","true"
"2026-9900","united-cup-2026-hard","United Cup","2026","2026-01-05","Hard","Round Robin","Round Robin","90","","","126774","Stefanos Tsitsipas","126129","Billy Harris","126774","Stefanos Tsitsipas","4-6 6-1 7-6(4)","2026-01-05-united-cup-2026-hard-round-robin-126774-126129","true"
"2026-9900","united-cup-2026-hard","United Cup","2026","2026-01-05","Hard","Round Robin","Round Robin","90","","","126129","Billy Harris","208278","Shintaro Mochizuki","126129","Billy Harris","7-6(4) 6-3","2026-01-05-united-cup-2026-hard-round-robin-126129-208278","true"
"2026-9900","united-cup-2026-hard","United Cup","2026","2026-01-05","Hard","Round Robin","Round Robin","90","","","126774","Stefanos Tsitsipas","208278","Shintaro Mochizuki","126774","Stefanos Tsitsipas","6-3 6-4","2026-01-05-united-cup-2026-hard-round-robin-126774-208278","true"
"2026-9900","united-cup-2026-hard","United Cup","2026","2026-01-05","Hard","Round Robin","Round Robin","90","","","128034","Hubert Hurkacz","100644","Alexander Zverev","128034","Hubert Hurkacz","6-3 6-4","2026-01-05-united-cup-2026-hard-round-robin-128034-100644","true"
"2026-9900","united-cup-2026-hard","United Cup","2026","2026-01-05","Hard","Round Robin","Round Robin","90","","","100644","Alexander Zverev","134868","Tallon Griekspoor","100644","Alexander Zverev","7-5 6-0","2026-01-05-united-cup-2026-hard-round-robin-100644-134868","true"
"2026-9900","united-cup-2026-hard","United Cup","2026","2026-01-05","Hard","Round Robin","Round Robin","90","","","128034","Hubert Hurkacz","134868","Tallon Griekspoor","128034","Hubert Hurkacz","6-3 7-6(4)","2026-01-05-united-cup-2026-hard-round-robin-128034-134868","true"
