"tournament_id","tournament_slug","tournament_name","year","match_date","surface","round","round_display","round_order","id_num","draw_match_number","player_1_id","player_1_name","player_2_id","player_2_name","winner_id","winner_name","score","match_id","has_match_statistics"
"2026-0418","washington-united-states-2026-hard","Washington United States","2026","2026-07-27","Hard","Round of 32","Round of 32","30","MS017","17.0","213178","Cruz Hewitt","106218","Marcos Giron","213178","Cruz Hewitt","6-3 6-4","2026-07-27-washington-united-states-2026-hard-round-of-32-213178-106218","true"
"2026-0418","washington-united-states-2026-hard","Washington United States","2026","2026-07-27","Hard","Round of 32","Round of 32","30","MS018","18.0","206909","Brandon Nakashima","144869","Tomas Martin Etcheverry","206909","Brandon Nakashima","6-3 6-4","2026-07-27-washington-united-states-2026-hard-round-of-32-206909-144869","true"
"2026-0418","washington-united-states-2026-hard","Washington United States","2026","2026-07-27","Hard","Round of 32","Round of 32","30","MS019","19.0","210150","Jakub Mensik","212216","Trevor Svajda","210150","Jakub Mensik","6-2 6-7(5) 6-3","2026-07-27-washington-united-states-2026-hard-round-of-32-210150-212216","true"
"2026-0418","washington-united-states-2026-hard","Washington United States","2026","2026-07-27","Hard","Round of 32","Round of 32","30","MS020","20.0","126203","Taylor Fritz","200267","Zizou Bergs","126203","Taylor Fritz","6-3 6-4","2026-07-27-washington-united-states-2026-hard-round-of-32-126203-200267","true"
"2026-0418","washington-united-states-2026-hard","Washington United States","2026","2026-07-27","Hard","Round of 32","Round of 32","30","MS021","21.0","111794","Kamil Majchrzak","126205","Tommy Paul","111794","Kamil Majchrzak","7-5 7-6(4)","2026-07-27-washington-united-states-2026-hard-round-of-32-111794-126205","true"
"2026-0418","washington-united-states-2026-hard","Washington United States","2026","2026-07-27","Hard","Round of 32","Round of 32","30","MS022","22.0","210506","Alex Michelsen","111456","Mackenzie Mcdonald","210506","Alex Michelsen","6-4 7-5","2026-07-27-washington-united-states-2026-hard-round-of-32-210506-111456","true"
"2026-0418","washington-united-states-2026-hard","Washington United States","2026","2026-07-27","Hard","Round of 32","Round of 32","30","MS023","23.0","105173","Adrian Mannarino","210530","Learner Tien","105173","Adrian Mannarino","7-5 6-4","2026-07-27-washington-united-states-2026-hard-round-of-32-105173-210530","true"
"2026-0418","washington-united-states-2026-hard","Washington United States","2026","2026-07-27","Hard","Round of 32","Round of 32","30","MS024","24.0","212588","Rafael Jodar","209950","Arthur Fils","212588","Rafael Jodar","7-6(5) 6-3","2026-07-27-washington-united-states-2026-hard-round-of-32-212588-209950","true"
"2026-0418","washington-united-states-2026-hard","Washington United States","2026","2026-07-27","Hard","Round of 32","Round of 32","30","MS025","25.0","105453","Kei Nishikori","210234","Juncheng Shang","105453","Kei Nishikori","6-7(3) 6-3 6-4","2026-07-27-washington-united-states-2026-hard-round-of-32-105453-210234","true"
"2026-0418","washington-united-states-2026-hard","Washington United States","2026","2026-07-27","Hard","Round of 32","Round of 32","30","MS026","26.0","126846","Aleksandar Vukic","208260","Zachary Svajda","126846","Aleksandar Vukic","6-3 6-1","2026-07-27-washington-united-states-2026-hard-round-of-32-126846-208260","true"
"2026-0418","washington-united-states-2026-hard","Washington United States","2026","2026-07-27","Hard","Round of 32","Round of 32","30","MS027","27.0","207518","Lorenzo Musetti","208286","Matteo Arnaldi","207518","Lorenzo Musetti","6-0 3-1","2026-07-27-washington-united-states-2026-hard-round-of-32-207518-208286","true"
"2026-0418","washington-united-states-2026-hard","Washington United States","2026","2026-07-27","Hard","Round of 32","Round of 32","30","MS028","28.0","209279","Terence Atmane","126207","Frances Tiafoe","209279","Terence Atmane","4-6 6-3 6-4","2026-07-27-washington-united-states-2026-hard-round-of-32-209279-126207","true"
"2026-0418","washington-united-states-2026-hard","Washington United States","2026","2026-07-27","Hard","Round of 32","Round of 32","30","MS029","29.0","126214","Alejandro Tabilo","134868","Tallon Griekspoor","126214","Alejandro Tabilo","7-6(3) 4-6 6-4","2026-07-27-washington-united-states-2026-hard-round-of-32-126214-134868","true"
"2026-0418","washington-united-states-2026-hard","Washington United States","2026","2026-07-27","Hard","Round of 32","Round of 32","30","MS030","30.0","200005","Ugo Humbert","211346","Andres Martin","200005","Ugo Humbert","6-2 7-5","2026-07-27-washington-united-states-2026-hard-round-of-32-200005-211346","true"
"2026-0418","washington-united-states-2026-hard","Washington United States","2026","2026-07-27","Hard","Round of 32","Round of 32","30","MS031","31.0","210097","Ben Shelton","102093","Martin Damm","210097","Ben Shelton","6-4 4-6 6-4","2026-07-27-washington-united-states-2026-hard-round-of-32-210097-102093","true"
