player_id,player_name,name_first,name_last,hand,dob,ioc,height,wikidata_id,atp_rank,atp_points,elo,elo_rank,best_surface,best_surface_elo,historical_matches,prediction_appearances,wins,losses,win_loss_record,last_match_date,is_active
206173,Jannik Sinner,Jannik,Sinner,R,20010816.0,ITA,191.0,Q54812588,1.0,14750.0,2207.3370102715407,1.0,Hard,2150.5627322035916,900,0,362,88,362-88,2026-07-12,True
207989,Carlos Alcaraz,Carlos,Alcaraz,R,20030505.0,ESP,183.0,Q85518537,2.0,11960.0,2123.8247392875173,2.0,Hard,2022.51269913484,734,0,300,67,300-67,2026-04-13,True
100644,Alexander Zverev,Alexander,Zverev,R,19970420.0,GER,198.0,Q13990552,3.0,5705.0,1938.6607296150605,6.0,Clay,1873.2038339313376,1564,0,549,233,549-233,2026-08-02,True
104925,Novak Djokovic,Novak,Djokovic,R,19870522.0,SRB,188.0,Q5812,4.0,4460.0,1996.750300844531,4.0,Hard,2003.7128957734642,2728,0,1139,225,1139-225,2026-07-12,True
210097,Ben Shelton,Ben,Shelton,L,20021009.0,USA,193.0,Q108532383,5.0,4070.0,1806.2949474541927,17.0,Hard,1811.397352573198,456,2,139,88,139-88,2026-08-02,True
200000,Felix Auger Aliassime,Felix,Auger Aliassime,R,20000808.0,CAN,193.0,Q20752045,6.0,4050.0,1820.2518360277627,14.0,Hard,1809.4548465925754,938,0,288,181,288-181,2026-07-12,True
200282,Alex De Minaur,Alex,De Minaur,R,19990217.0,AUS,183.0,Q22958938,7.0,3855.0,1798.1701668739558,21.0,Hard,1814.1888761281011,1030,0,325,190,325-190,2026-08-02,True
106421,Daniil Medvedev,Daniil,Medvedev,R,19960211.0,RUS,198.0,Q21622022,8.0,3760.0,1796.88410053759,22.0,Hard,1832.024965428038,1272,0,445,191,445-191,2026-08-02,True
126203,Taylor Fritz,Taylor,Fritz,R,19971028.0,USA,196.0,Q17660516,9.0,3720.0,1816.0883369150163,15.0,Hard,1753.7663361420905,1148,0,351,223,351-223,2026-08-02,True
122330,Alexander Bublik,Alexander,Bublik,R,19970617.0,KAZ,196.0,Q23678983,10.0,3320.0,1750.1639507191965,37.0,Hard,1704.27174732174,784,0,211,181,211-181,2026-07-20,True
