player_id,player_name,country,is_active,atp_rank,atp_points,overall_elo,elo_rank,best_surface,matches,last_10_record,last_30_record
206173,Jannik Sinner,ITA,True,1.0,14750.0,2207.3370102715407,1.0,Hard,450.0,9-1,29-1
207989,Carlos Alcaraz,ESP,True,2.0,11960.0,2123.8247392875173,2.0,Hard,367.0,8-2,26-4
100644,Alexander Zverev,GER,True,3.0,5705.0,1938.6607296150605,6.0,Clay,782.0,7-3,25-5
104925,Novak Djokovic,SRB,True,4.0,4460.0,1996.750300844531,4.0,Hard,1364.0,7-3,23-7
210097,Ben Shelton,USA,True,5.0,4070.0,1806.2949474541927,17.0,Hard,227.0,8-2,21-9
200000,Felix Auger Aliassime,CAN,True,6.0,4050.0,1820.2518360277627,14.0,Hard,469.0,7-3,20-10
200282,Alex De Minaur,AUS,True,7.0,3855.0,1798.1701668739558,21.0,Hard,515.0,7-3,18-12
106421,Daniil Medvedev,RUS,True,8.0,3760.0,1796.88410053759,22.0,Hard,636.0,6-4,20-10
126203,Taylor Fritz,USA,True,9.0,3720.0,1816.0883369150163,15.0,Hard,574.0,8-2,19-11
122330,Alexander Bublik,KAZ,True,10.0,3320.0,1750.1639507191965,37.0,Hard,392.0,6-4,16-14
207518,Lorenzo Musetti,ITA,True,11.0,3115.0,1799.992454014923,19.0,Clay,327.0,7-3,19-11
208103,Jiri Lehecka,CZE,True,12.0,2665.0,1776.1774528971819,28.0,Hard,234.0,7-3,20-10
126094,Andrey Rublev,RUS,True,13.0,2460.0,1714.8553822634221,47.0,Clay,609.0,5-5,18-12
207925,Flavio Cobolli,ITA,True,14.0,2340.0,1719.6971347300816,46.0,Clay,180.0,6-4,19-11
111575,Karen Khachanov,RUS,True,15.0,2320.0,1650.43766128243,85.0,Clay,554.0,5-5,15-15
134770,Casper Ruud,NOR,True,16.0,2275.0,1783.0636267473983,25.0,Clay,477.0,6-4,20-10
209260,Luciano Darderi,ITA,True,17.0,2260.0,1702.1412077911455,53.0,Clay,154.0,8-2,18-12
210530,Learner Tien,USA,True,18.0,2180.0,1777.2770369140105,27.0,Hard,105.0,6-4,19-11
200473,Valentin Vacherot,MON,True,19.0,2103.0,1674.9836774509486,68.0,Hard,46.0,6-4,18-12
209950,Arthur Fils,FRA,True,20.0,2040.0,1843.9287674225786,9.0,Hard,173.0,7-3,23-7
126205,Tommy Paul,USA,True,21.0,1945.0,1784.2385189107042,24.0,Hard,383.0,7-3,21-9
126207,Frances Tiafoe,USA,True,22.0,1905.0,1754.0054802820569,35.0,Hard,487.0,7-3,21-9
200221,Alejandro Davidovich Fokina,ESP,True,23.0,1860.0,1734.6415381118675,42.0,Hard,337.0,8-2,19-11
111815,Cameron Norrie,GBR,True,24.0,1785.0,1699.9057640731405,55.0,Hard,446.0,4-6,17-13
126239,Arthur Rinderknech,FRA,True,25.0,1736.0,1656.6344185583982,80.0,Hard,242.0,5-5,14-16
202103,Francisco Cerundolo,ARG,True,26.0,1570.0,1747.446980347716,38.0,Hard,283.0,7-3,19-11
210150,Jakub Mensik,CZE,True,27.0,1550.0,1777.3909626558395,26.0,Hard,139.0,7-3,20-10
144869,Tomas Martin Etcheverry,ARG,True,28.0,1510.0,1608.0549907549153,137.0,Clay,230.0,2-8,14-16
212588,Rafael Jodar,ESP,True,29.0,1461.0,1630.851943174524,114.0,Hard,12.0,8-2,10-2
211663,Joao Fonseca,BRA,True,30.0,1435.0,1767.5379313297879,31.0,Hard,91.0,6-4,19-11
209860,Ignacio Buse,PER,True,31.0,1412.0,1599.9020080507762,151.0,Clay,40.0,4-6,16-14
200005,Ugo Humbert,FRA,True,32.0,1370.0,1693.8841324164623,58.0,Hard,346.0,6-4,16-14
134868,Tallon Griekspoor,NED,True,33.0,1340.0,1613.7720409315596,131.0,Hard,265.0,4-6,12-18
144895,Corentin Moutet,FRA,True,34.0,1323.0,1571.3877198778289,209.0,Hard,234.0,2-8,10-20
206909,Brandon Nakashima,USA,True,35.0,1295.0,1711.402239276301,49.0,Hard,274.0,8-2,19-11
126214,Alejandro Tabilo,CHI,True,36.0,1278.0,1606.5613714592585,139.0,Clay,176.0,3-7,15-15
210696,Alexander Blockx,BEL,True,37.0,1238.0,1645.8768770465044,89.0,Clay,36.0,6-4,19-11
208363,Mariano Navone,ARG,True,38.0,1215.0,1649.9068711239315,86.0,Clay,119.0,4-6,18-12
133430,Denis Shapovalov,CAN,True,39.0,1170.0,1587.4640536618992,179.0,Hard,445.0,3-7,13-17
200267,Zizou Bergs,BEL,True,40.0,1150.0,1652.7477642583951,83.0,Hard,141.0,7-3,14-16
144719,Jaume Munar,ESP,True,41.0,1145.0,1647.0298972345838,88.0,Hard,301.0,5-5,15-15
210506,Alex Michelsen,USA,True,42.0,1115.0,1677.9555320083177,64.0,Hard,164.0,7-3,17-13
207830,Tomas Machac,CZE,True,43.0,1080.0,1710.2556877369782,50.0,Hard,151.0,6-4,15-15
208029,Holger Rune,DEN,True,44.0,1060.0,1761.926049199623,32.0,Hard,271.0,7-3,19-11
105173,Adrian Mannarino,FRA,True,45.0,1037.0,1569.8184131763246,218.0,Grass,704.0,6-4,12-18
