probability_bin,rows,mean_probability,actual_positive_rate,accuracy
"(-0.001, 0.1]",375,0.04100054,0.048,0.952
"(0.1, 0.2]",165,0.14438719,0.109090909090909,0.8909090909090909
"(0.2, 0.3]",117,0.24533817,0.2051282051282051,0.7948717948717948
"(0.3, 0.4]",87,0.34606966,0.367816091954023,0.632183908045977
"(0.4, 0.5]",94,0.44770205,0.4468085106382978,0.5531914893617021
"(0.5, 0.6]",92,0.5466293,0.5760869565217391,0.5760869565217391
"(0.6, 0.7]",96,0.650899,0.71875,0.71875
"(0.7, 0.8]",121,0.7522344,0.768595041322314,0.768595041322314
"(0.8, 0.9]",181,0.8564618,0.8784530386740331,0.8784530386740331
"(0.9, 1.0]",370,0.9587451,0.9675675675675676,0.9675675675675676
