tournament_id,tournament_slug,tournament_name,year,surface,tournament_date,start_date,end_date,location,country,draw_size,prize_money,last_winner,has_completed_matches,has_predictions,completed_matches_count,predictions_count
2026-9900,united-cup-2026-hard,United Cup,2026,Hard,2026-01-02,2026-01-02,2026-01-11,"Perth-Sydney, Australia",,18.0,"$5,903,345",Hubert Hurkacz,True,False,25,0
2026-0339,brisbane-australia-2026-hard,Brisbane Australia,2026,Hard,2026-01-04,2026-01-04,2026-01-11,"Brisbane, Australia",,32.0,"$800,045",Daniil Medvedev,True,False,31,0
2026-0336,hong-kong-hong-kong-2026-hard,Hong Kong Hong Kong,2026,Hard,2026-01-05,2026-01-05,2026-01-11,"Hong Kong, Hong Kong",,28.0,"$700,045",Alexander Bublik,True,False,27,0
2026-8998,adelaide-australia-2026-hard,Adelaide Australia,2026,Hard,2026-01-12,2026-01-12,2026-01-17,"Adelaide, Australia",,28.0,"$700,045",Tomas Machac,True,False,27,0
2026-0301,auckland-new-zealand-2026-hard,Auckland New Zealand,2026,Hard,2026-01-12,2026-01-12,2026-01-17,"Auckland, New Zealand",,28.0,"$700,045",Jakub Mensik,True,False,27,0
2026-0580,australian-open-2026-hard,Australian Open,2026,Hard,2026-01-18,2026-01-18,2026-02-01,"Melbourne, Australia",,128.0,"A$49,171,000",Carlos Alcaraz,True,False,127,0
2026-0375,montpellier-france-2026-hard,Montpellier France,2026,Hard,2026-02-02,2026-02-02,2026-02-08,"Montpellier, France",,28.0,"€612,620",Felix Auger Aliassime,True,False,27,0
2026-8096,davis-cup-qualifiers-1st-rd-2026,Davis Cup Qualifiers 1st Rd,2026,,2026-02-05,2026-02-05,2026-02-08,,,,,,True,False,128,0
2026-0506,buenos-aires-argentina-2026-clay,Buenos Aires Argentina,2026,Clay,2026-02-09,2026-02-09,2026-02-15,"Buenos Aires, Argentina",,28.0,"$675,310",Francisco Cerundolo,True,False,27,0
2026-0424,dallas-united-states-2026-hard,Dallas United States,2026,Hard,2026-02-09,2026-02-09,2026-02-15,"Dallas, United States",,32.0,"$2,833,335",Ben Shelton,True,False,31,0
2026-0407,rotterdam-netherlands-2026-hard,Rotterdam Netherlands,2026,Hard,2026-02-09,2026-02-09,2026-02-15,"Rotterdam, Netherlands",,32.0,"€2,462,660",Alex De Minaur,True,False,31,0
2026-0499,delray-beach-united-states-2026-hard,Delray Beach United States,2026,Hard,2026-02-16,2026-02-16,2026-02-22,"Delray Beach, United States",,28.0,"$700,045",Sebastian Korda,True,False,27,0
2026-0451,doha-qatar-2026-hard,Doha Qatar,2026,Hard,2026-02-16,2026-02-16,2026-02-21,"Doha, Qatar",,32.0,"$2,833,335",Carlos Alcaraz,True,False,31,0
2026-6932,rio-de-janeiro-brazil-2026-clay,Rio de Janeiro Brazil,2026,Clay,2026-02-16,2026-02-16,2026-02-22,"Rio de Janeiro, Brazil",,32.0,"$2,469,450",Tomas Martin Etcheverry,True,False,31,0
2026-0807,acapulco-mexico-2026-hard,Acapulco Mexico,2026,Hard,2026-02-23,2026-02-23,2026-02-28,"Acapulco, Mexico",,32.0,"$2,469,450",Flavio Cobolli,True,False,31,0
2026-0495,dubai-united-arab-emirates-2026-hard,Dubai United Arab Emirates,2026,Hard,2026-02-23,2026-02-23,2026-02-28,"Dubai, United Arab Emirates",,32.0,"$3,311,005",Daniil Medvedev,True,False,31,0
2026-8996,santiago-chile-2026-clay,Santiago Chile,2026,Clay,2026-02-23,2026-02-23,2026-03-01,"Santiago, Chile",,28.0,"$700,045",Luciano Darderi,True,False,27,0
2026-0404,indian-wells-united-states-2026-hard,Indian Wells United States,2026,Hard,2026-03-04,2026-03-04,2026-03-15,"Indian Wells, United States",,96.0,"$9,415,725",Jannik Sinner,True,False,95,0
2026-0403,miami-united-states-2026-hard,Miami United States,2026,Hard,2026-03-18,2026-03-18,2026-03-29,"Miami, United States",,96.0,"$9,415,725",Jannik Sinner,True,False,95,0
2026-4462,bucharest-romania-2026-clay,Bucharest Romania,2026,Clay,2026-03-30,2026-03-30,2026-04-05,"Bucharest, Romania",,28.0,"€612,620",Mariano Navone,True,False,27,0
2026-0717,houston-united-states-2026-clay,Houston United States,2026,Clay,2026-03-30,2026-03-30,2026-04-05,"Houston, United States",,28.0,"$700,045",Tommy Paul,True,False,27,0
2026-0360,marrakech-morocco-2026-clay,Marrakech Morocco,2026,Clay,2026-03-30,2026-03-30,2026-04-05,"Marrakech, Morocco",,28.0,"€612,620",Rafael Jodar,True,False,27,0
