"tournament_id","tournament_slug","tournament_name","year","match_date","surface","round","round_display","round_order","id_num","draw_match_number","player_1_id","player_1_name","player_2_id","player_2_name","winner_id","winner_name","score","match_id","has_match_statistics"
"2026-0807","acapulco-mexico-2026-hard","Acapulco Mexico","2026","2026-02-23","Hard","Round of 32","Round of 32","30","MS016","16.0","207925","Flavio Cobolli","210202","Rodrigo Pacheco Mendez","207925","Flavio Cobolli","7-6(3) 7-6(3)","2026-02-23-acapulco-mexico-2026-hard-round-of-32-207925-210202","true"
"2026-0807","acapulco-mexico-2026-hard","Acapulco Mexico","2026","2026-02-23","Hard","Round of 32","Round of 32","30","MS017","17.0","207494","Dalibor Svrcina","105902","James Duckworth","207494","Dalibor Svrcina","6-4 6-1","2026-02-23-acapulco-mexico-2026-hard-round-of-32-207494-105902","true"
"2026-0807","acapulco-mexico-2026-hard","Acapulco Mexico","2026","2026-02-23","Hard","Round of 32","Round of 32","30","MS018","18.0","200059","Yibing Wu","134770","Casper Ruud","200059","Yibing Wu","7-6(2) 7-6(1)","2026-02-23-acapulco-mexico-2026-hard-round-of-32-200059-134770","true"
"2026-0807","acapulco-mexico-2026-hard","Acapulco Mexico","2026","2026-02-23","Hard","Round of 32","Round of 32","30","MS019","19.0","200647","Sho Shimabukuro","105173","Adrian Mannarino","200647","Sho Shimabukuro","6-3 6-4","2026-02-23-acapulco-mexico-2026-hard-round-of-32-200647-105173","true"
"2026-0807","acapulco-mexico-2026-hard","Acapulco Mexico","2026","2026-02-23","Hard","Round of 32","Round of 32","30","MS020","20.0","200175","Miomir Kecmanovic","209262","Tristan Schoolkate","200175","Miomir Kecmanovic","6-2 6-2","2026-02-23-acapulco-mexico-2026-hard-round-of-32-200175-209262","true"
"2026-0807","acapulco-mexico-2026-hard","Acapulco Mexico","2026","2026-02-23","Hard","Round of 32","Round of 32","30","MS021","21.0","100644","Alexander Zverev","144895","Corentin Moutet","100644","Alexander Zverev","6-2 6-4","2026-02-23-acapulco-mexico-2026-hard-round-of-32-100644-144895","true"
"2026-0807","acapulco-mexico-2026-hard","Acapulco Mexico","2026","2026-02-23","Hard","Round of 32","Round of 32","30","MS022","22.0","209279","Terence Atmane","105777","Grigor Dimitrov","209279","Terence Atmane","6-3 6-3","2026-02-23-acapulco-mexico-2026-hard-round-of-32-209279-105777","true"
"2026-0807","acapulco-mexico-2026-hard","Acapulco Mexico","2026","2026-02-23","Hard","Round of 32","Round of 32","30","MS023","23.0","212588","Rafael Jodar","111815","Cameron Norrie","212588","Rafael Jodar","6-3 6-2","2026-02-23-acapulco-mexico-2026-hard-round-of-32-212588-111815","true"
"2026-0807","acapulco-mexico-2026-hard","Acapulco Mexico","2026","2026-02-23","Hard","Round of 32","Round of 32","30","MS024","24.0","126207","Frances Tiafoe","132686","Nuno Borges","126207","Frances Tiafoe","6-4 6-4","2026-02-23-acapulco-mexico-2026-hard-round-of-32-126207-132686","true"
"2026-0807","acapulco-mexico-2026-hard","Acapulco Mexico","2026","2026-02-23","Hard","Round of 32","Round of 32","30","MS025","25.0","206499","Aleksandar Kovacevic","200443","Adam Walton","206499","Aleksandar Kovacevic","7-6(1) 7-6(3)","2026-02-23-acapulco-mexico-2026-hard-round-of-32-206499-200443","true"
"2026-0807","acapulco-mexico-2026-hard","Acapulco Mexico","2026","2026-02-23","Hard","Round of 32","Round of 32","30","MS026","26.0","208233","Mattia Bellucci","208014","Rinky Hijikata","208233","Mattia Bellucci","7-6(5) 6-3","2026-02-23-acapulco-mexico-2026-hard-round-of-32-208233-208014","true"
"2026-0807","acapulco-mexico-2026-hard","Acapulco Mexico","2026","2026-02-23","Hard","Round of 32","Round of 32","30","MS027","27.0","200221","Alejandro Davidovich Fokina","127157","Daniel Altmaier","200221","Alejandro Davidovich Fokina","7-5 6-3","2026-02-23-acapulco-mexico-2026-hard-round-of-32-200221-127157","true"
"2026-0807","acapulco-mexico-2026-hard","Acapulco Mexico","2026","2026-02-23","Hard","Round of 32","Round of 32","30","MS028","28.0","206909","Brandon Nakashima","111200","Elias Ymer","206909","Brandon Nakashima","6-3 6-4","2026-02-23-acapulco-mexico-2026-hard-round-of-32-206909-111200","true"
"2026-0807","acapulco-mexico-2026-hard","Acapulco Mexico","2026","2026-02-23","Hard","Round of 32","Round of 32","30","MS029","29.0","200516","Patrick Kypson","200282","Alex De Minaur","200516","Patrick Kypson","6-1 6-7(4) 7-6(4)","2026-02-23-acapulco-mexico-2026-hard-round-of-32-200516-200282","true"
"2026-0807","acapulco-mexico-2026-hard","Acapulco Mexico","2026","2026-02-23","Hard","Round of 32","Round of 32","30","MS030","30.0","200473","Valentin Vacherot","209409","Coleman Wong","200473","Valentin Vacherot","4-6 6-3 6-2","2026-02-23-acapulco-mexico-2026-hard-round-of-32-200473-209409","true"
"2026-0807","acapulco-mexico-2026-hard","Acapulco Mexico","2026","2026-02-23","Hard","Round of 32","Round of 32","30","MS031","31.0","104792","Gael Monfils","106000","Damir Dzumhur","104792","Gael Monfils","6-4 7-6(5)","2026-02-23-acapulco-mexico-2026-hard-round-of-32-104792-106000","true"
"2026-0807","acapulco-mexico-2026-hard","Acapulco Mexico","2026","2026-02-23","Hard","Round of 16","Round of 16","40","MS008","8.0","207925","Flavio Cobolli","207494","Dalibor Svrcina","207925","Flavio Cobolli","6-4 6-4","2026-02-23-acapulco-mexico-2026-hard-round-of-16-207925-207494","true"
"2026-0807","acapulco-mexico-2026-hard","Acapulco Mexico","2026","2026-02-23","Hard","Round of 16","Round of 16","40","MS009","9.0","200059","Yibing Wu","200647","Sho Shimabukuro","200059","Yibing Wu","6-3 7-6(4)","2026-02-23-acapulco-mexico-2026-hard-round-of-16-200059-200647","true"
"2026-0807","acapulco-mexico-2026-hard","Acapulco Mexico","2026","2026-02-23","Hard","Round of 16","Round of 16","40","MS010","10.0","200175","Miomir Kecmanovic","100644","Alexander Zverev","200175","Miomir Kecmanovic","6-3 6-7(3) 7-6(4)","2026-02-23-acapulco-mexico-2026-hard-round-of-16-200175-100644","true"
"2026-0807","acapulco-mexico-2026-hard","Acapulco Mexico","2026","2026-02-23","Hard","Round of 16","Round of 16","40","MS011","11.0","209279","Terence Atmane","212588","Rafael Jodar","209279","Terence Atmane","6-2 4-6 6-1","2026-02-23-acapulco-mexico-2026-hard-round-of-16-209279-212588","true"
"2026-0807","acapulco-mexico-2026-hard","Acapulco Mexico","2026","2026-02-23","Hard","Round of 16","Round of 16","40","MS012","12.0","126207","Frances Tiafoe","206499","Aleksandar Kovacevic","126207","Frances Tiafoe","6-4 3-6 7-6(7)","2026-02-23-acapulco-mexico-2026-hard-round-of-16-126207-206499","true"
"2026-0807","acapulco-mexico-2026-hard","Acapulco Mexico","2026","2026-02-23","Hard","Round of 16","Round of 16","40","MS013","13.0","208233","Mattia Bellucci","200221","Alejandro Davidovich Fokina","208233","Mattia Bellucci","6-3 6-3","2026-02-23-acapulco-mexico-2026-hard-round-of-16-208233-200221","true"
"2026-0807","acapulco-mexico-2026-hard","Acapulco Mexico","2026","2026-02-23","Hard","Round of 16","Round of 16","40","MS014","14.0","206909","Brandon Nakashima","200516","Patrick Kypson","206909","Brandon Nakashima","6-4 6-4","2026-02-23-acapulco-mexico-2026-hard-round-of-16-206909-200516","true"
"2026-0807","acapulco-mexico-2026-hard","Acapulco Mexico","2026","2026-02-23","Hard","Round of 16","Round of 16","40","MS015","15.0","200473","Valentin Vacherot","104792","Gael Monfils","200473","Valentin Vacherot","6-3 6-3","2026-02-23-acapulco-mexico-2026-hard-round-of-16-200473-104792","true"
"2026-0807","acapulco-mexico-2026-hard","Acapulco Mexico","2026","2026-02-23","Hard","Quarter-Finals","Quarter-Finals","50","MS004","4.0","207925","Flavio Cobolli","200059","Yibing Wu","207925","Flavio Cobolli","7-6(4) 6-1","2026-02-23-acapulco-mexico-2026-hard-quarter-finals-207925-200059","true"
"2026-0807","acapulco-mexico-2026-hard","Acapulco Mexico","2026","2026-02-23","Hard","Quarter-Finals","Quarter-Finals","50","MS005","5.0","200175","Miomir Kecmanovic","209279","Terence Atmane","200175","Miomir Kecmanovic","6-3 6-3","2026-02-23-acapulco-mexico-2026-hard-quarter-finals-200175-209279","true"
"2026-0807","acapulco-mexico-2026-hard","Acapulco Mexico","2026","2026-02-23","Hard","Quarter-Finals","Quarter-Finals","50","MS006","6.0","126207","Frances Tiafoe","208233","Mattia Bellucci","126207","Frances Tiafoe","6-3 6-4","2026-02-23-acapulco-mexico-2026-hard-quarter-finals-126207-208233","true"
"2026-0807","acapulco-mexico-2026-hard","Acapulco Mexico","2026","2026-02-23","Hard","Quarter-Finals","Quarter-Finals","50","MS007","7.0","206909","Brandon Nakashima","200473","Valentin Vacherot","206909","Brandon Nakashima","2-6 6-2 6-3","2026-02-23-acapulco-mexico-2026-hard-quarter-finals-206909-200473","true"
"2026-0807","acapulco-mexico-2026-hard","Acapulco Mexico","2026","2026-02-23","Hard","Semi-Finals","Semi-Finals","60","MS002","2.0","207925","Flavio Cobolli","200175","Miomir Kecmanovic","207925","Flavio Cobolli","7-6(5) 3-6 6-4","2026-02-23-acapulco-mexico-2026-hard-semi-finals-207925-200175","true"
"2026-0807","acapulco-mexico-2026-hard","Acapulco Mexico","2026","2026-02-23","Hard","Semi-Finals","Semi-Finals","60","MS003","3.0","126207","Frances Tiafoe","206909","Brandon Nakashima","126207","Frances Tiafoe","3-6 7-6(6) 6-4","2026-02-23-acapulco-mexico-2026-hard-semi-finals-126207-206909","true"
"2026-0807","acapulco-mexico-2026-hard","Acapulco Mexico","2026","2026-02-23","Hard","Finals","Finals","70","MS001","1.0","207925","Flavio Cobolli","126207","Frances Tiafoe","207925","Flavio Cobolli","7-6(4) 6-4","2026-02-23-acapulco-mexico-2026-hard-finals-207925-126207","true"
"2026-8998","adelaide-australia-2026-hard","Adelaide Australia","2026","2026-01-12","Hard","Round of 32","Round of 32","30","MS016","16.0","207830","Tomas Machac","105902","James Duckworth","207830","Tomas Machac","6-3 6-3","2026-01-12-adelaide-australia-2026-hard-round-of-32-207830-105902","true"
"2026-8998","adelaide-australia-2026-hard","Adelaide Australia","2026","2026-01-12","Hard","Round of 32","Round of 32","30","MS017","17.0","111460","Quentin Halys","207985","Jacob Fearnley","111460","Quentin Halys","6-3 6-4","2026-01-12-adelaide-australia-2026-hard-round-of-32-111460-207985","true"
"2026-8998","adelaide-australia-2026-hard","Adelaide Australia","2026","2026-01-12","Hard","Round of 32","Round of 32","30","MS018","18.0","144719","Jaume Munar","127157","Daniel Altmaier","144719","Jaume Munar","6-3 6-0","2026-01-12-adelaide-australia-2026-hard-round-of-32-144719-127157","true"
"2026-8998","adelaide-australia-2026-hard","Adelaide Australia","2026","2026-01-12","Hard","Round of 32","Round of 32","30","MS021","21.0","124187","Reilly Opelka","200615","Alexei Popyrin","124187","Reilly Opelka","6-3 7-6(6)","2026-01-12-adelaide-australia-2026-hard-round-of-32-124187-200615","true"
"2026-8998","adelaide-australia-2026-hard","Adelaide Australia","2026","2026-01-12","Hard","Round of 32","Round of 32","30","MS022","22.0","126846","Aleksandar Vukic","126774","Stefanos Tsitsipas","126846","Aleksandar Vukic","7-6(3) 7-6(5)","2026-01-12-adelaide-australia-2026-hard-round-of-32-126846-126774","true"
"2026-8998","adelaide-australia-2026-hard","Adelaide Australia","2026","2026-01-12","Hard","Round of 32","Round of 32","30","MS023","23.0","131934","Andrea Vavassori","209113","Gabriel Diallo","131934","Andrea Vavassori","6-3 7-6(4)","2026-01-12-adelaide-australia-2026-hard-round-of-32-131934-209113","true"
"2026-8998","adelaide-australia-2026-hard","Adelaide Australia","2026","2026-01-12","Hard","Round of 32","Round of 32","30","MS024","24.0","200005","Ugo Humbert","209279","Terence Atmane","200005","Ugo Humbert","6-3 7-6(3)","2026-01-12-adelaide-australia-2026-hard-round-of-32-200005-209279","true"
"2026-8998","adelaide-australia-2026-hard","Adelaide Australia","2026","2026-01-12","Hard","Round of 32","Round of 32","30","MS026","26.0","207686","Alexander Shevchenko","106000","Damir Dzumhur","207686","Alexander Shevchenko","4-6 6-4 7-5","2026-01-12-adelaide-australia-2026-hard-round-of-32-207686-106000","true"
"2026-8998","adelaide-australia-2026-hard","Adelaide Australia","2026","2026-01-12","Hard","Round of 32","Round of 32","30","MS027","27.0","105916","Marton Fucsovics","210319","Ethan Quinn","105916","Marton Fucsovics","6-4 6-4","2026-01-12-adelaide-australia-2026-hard-round-of-32-105916-210319","true"
"2026-8998","adelaide-australia-2026-hard","Adelaide Australia","2026","2026-01-12","Hard","Round of 32","Round of 32","30","MS029","29.0","208014","Rinky Hijikata","209262","Tristan Schoolkate","208014","Rinky Hijikata","6-4 6-4","2026-01-12-adelaide-australia-2026-hard-round-of-32-208014-209262","true"
"2026-8998","adelaide-australia-2026-hard","Adelaide Australia","2026","2026-01-12","Hard","Round of 32","Round of 32","30","MS030","30.0","200473","Valentin Vacherot","200175","Miomir Kecmanovic","200473","Valentin Vacherot","7-6(5) 6-4","2026-01-12-adelaide-australia-2026-hard-round-of-32-200473-200175","true"
"2026-8998","adelaide-australia-2026-hard","Adelaide Australia","2026","2026-01-12","Hard","Round of 32","Round of 32","30","MS031","31.0","106423","Thanasi Kokkinakis","200624","Sebastian Korda","106423","Thanasi Kokkinakis","3-6 6-3 7-6(3)","2026-01-12-adelaide-australia-2026-hard-round-of-32-106423-200624","true"
